Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1684672651,2023-05-21T12:37:31Z,CTM1022,"34.431839,132.852844",3475,169,258
1684672659,2023-05-21T12:37:39Z,CTM1022,"34.430511,132.84494",3600,171,258
1684672664,2023-05-21T12:37:44Z,CTM1022,"34.429779,132.840179",3675,172,259
1684672671,2023-05-21T12:37:51Z,CTM1022,"34.428726,132.833344",3775,174,259
1684672677,2023-05-21T12:37:57Z,CTM1022,"34.427753,132.827621",3900,173,258
1684672684,2023-05-21T12:38:04Z,CTM1022,"34.426804,132.822021",4025,173,258
1684672690,2023-05-21T12:38:10Z,CTM1022,"34.425983,132.817154",4175,172,259
1684672696,2023-05-21T12:38:16Z,CTM1022,"34.425194,132.810059",4275,172,262
1684672699,2023-05-21T12:38:19Z,CTM1022,"34.425102,132.807373",4325,172,266
1684672702,2023-05-21T12:38:22Z,CTM1022,"34.425247,132.804413",4350,173,270
1684672705,2023-05-21T12:38:25Z,CTM1022,"34.425518,132.80159",4375,175,278
1684672708,2023-05-21T12:38:28Z,CTM1022,"34.426163,132.798645",4375,177,283
1684672711,2023-05-21T12:38:31Z,CTM1022,"34.427151,132.795929",4400,180,291
1684672714,2023-05-21T12:38:34Z,CTM1022,"34.428452,132.79335",4400,183,299
1684672717,2023-05-21T12:38:37Z,CTM1022,"34.430176,132.790833",4375,186,307
1684672720,2023-05-21T12:38:40Z,CTM1022,"34.432617,132.788269",4375,192,319
1684672723,2023-05-21T12:38:43Z,CTM1022,"34.434586,132.786652",4400,197,328
1684672726,2023-05-21T12:38:46Z,CTM1022,"34.436737,132.785507",4400,200,333
1684672727,2023-05-21T12:38:47Z,CTM1022,"34.437298,132.785278",4400,202,339
1684672731,2023-05-21T12:38:51Z,CTM1022,"34.441956,132.783951",4400,208,348
1684672734,2023-05-21T12:38:54Z,CTM1022,"34.444977,132.783798",4400,214,355
1684672737,2023-05-21T12:38:57Z,CTM1022,"34.446842,132.783905",4425,216,1
1684672739,2023-05-21T12:38:59Z,CTM1022,"34.450699,132.784912",4425,225,12
1684672744,2023-05-21T12:39:04Z,CTM1022,"34.454617,132.786774",4425,230,19
1684672748,2023-05-21T12:39:08Z,CTM1022,"34.459175,132.790039",4450,236,28
1684672752,2023-05-21T12:39:12Z,CTM1022,"34.460449,132.791138",4500,239,34
1684672752,2023-05-21T12:39:12Z,CTM1022,"34.462204,132.792542",4500,239,34
1684672756,2023-05-21T12:39:16Z,CTM1022,"34.464855,132.794952",4550,244,37
1684672759,2023-05-21T12:39:19Z,CTM1022,"34.466583,132.796631",4600,246,38
