id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1196177,Homestay at Host's House -  Senju-Ohashi Station,5686404,Yukiko,足立区,35.74363,139.79852,Private room,8795,2,150,2025-09-07,1.01,1,253,25,M130007760
2867835,Cozy Apartment 2 Min Walk from Takenotsuka,9360394,Vann Amor,足立区,35.79124,139.79102,Entire home/apt,12915,6,14,2025-04-06,0.11,4,83,2,M130004932
2883753,Cozy 2-Min Walk to Takenotsuka – Explore Tokyo,9360394,Vann Amor,足立区,35.791368746081226,139.79204721255772,Entire home/apt,12915,6,11,2025-04-29,0.13,4,83,5,M130004931
2883869,Charming Studio Near Takenotsuka Station,9360394,Vann Amor,足立区,35.79166,139.79285,Entire home/apt,6266,7,17,2025-06-07,0.13,4,43,7,M130004934
7620544,(和室3人)最寄駅２駅-日比谷線/半蔵門線直通－浅草/上野/秋葉原/築地/銀座 /渋谷,39969626,Yuna Soon,足立区,35.78152,139.77846,Private room,26258,3,29,2024-11-18,0.31,2,94,3,Hotels and Inns Business Act | 足立区足立保健所 | 29足足保生生収第452号
10933646,New House ★ 1 Minute from station,56681984,Thao,足立区,35.764,139.76978,Private room,5871,2,184,2025-07-20,1.59,2,298,17,M130002330
10938090,Nagomi. 1 minute from station,56681984,Thao,足立区,35.764,139.76978,Private room,5695,1,251,2025-09-10,2.19,2,297,23,M130002330
13792087,2min fm station. 20min Ueno. 25min Tokyo. Room A,30594609,Keng Hua,足立区,35.78711,139.76839,Private room,7258,2,244,2025-09-16,2.18,3,36,18,M130001931
15315699,"1DK; close to Asakusa, Akihabara, Ueno, and Ginza",78391541,鈴蘭,足立区,35.74873,139.8095,Entire home/apt,24263,1,122,2025-09-25,1.17,9,256,35,Hotels and Inns Business Act | 足立区足立保健所 | 2足足保生生収第443号
19669994,2min fm station. 20min Ueno. 25min Tokyo. Room B,30594609,Keng Hua,足立区,35.78673,139.7688,Private room,6175,2,154,2025-05-20,1.59,3,50,26,M130001931
20820222,"17min to Ueno, Asakusa  JPN-style Room 西新井駅徒歩5分",38975201,Naoko,足立区,35.77318,139.79164,Private room,8000,10,36,2025-05-28,0.43,1,47,7,M130004129
23071241,"close to Asakusa, Akihabara, Ueno, and Ginza",78391541,鈴蘭,足立区,35.74866,139.81129,Entire home/apt,34109,2,57,2025-09-21,0.68,9,283,45,Hotels and Inns Business Act | 足立区足立保健所 | 2足足保生生収第442号
23772815,北千住loftモタン和風 新築戸建 【民泊登録済み】,67299068,Nanami,足立区,35.75724,139.80353,Entire home/apt,,28,52,2025-03-20,0.57,1,92,3,M130002128
24811974,New building 3F #303 ~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78259,139.76105,Private room,6053,3,70,2025-05-14,0.78,14,103,8,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
24819287,New building 3F #305 ~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78274,139.7612,Private room,6162,3,68,2024-09-09,0.76,14,93,0,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
24819711,New building 3F #304~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78265,139.76126,Private room,6270,3,85,2024-09-16,0.94,14,92,0,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
24820005,New building 3F #302~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78259,139.76105,Private room,6162,3,77,2025-04-05,0.86,14,95,1,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
24936397,New building 3F #301~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78259,139.76108,Private room,6053,3,96,2025-06-30,1.07,14,99,4,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
25384320,New building 2F #202~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.7828,139.76106,Private room,6270,3,76,2025-08-13,0.85,14,79,7,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
25385957,New building 2F #203~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78259,139.76108,Private room,6162,3,90,2025-06-28,1.01,14,94,5,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
25386217,New building 2F #205 ~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78259,139.76108,Private room,6162,3,61,2025-08-03,0.69,14,89,2,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
26171136,Mix dormitory,196519408,Kagaribi,足立区,35.75335,139.79475,Hotel room,,1,8,2023-11-05,0.10,9,0,0,Hotels and Inns Business Act | 足立区足立保健所 | 30足足保生生収第501号
26533070,Private Tatami Room,196519408,Kagaribi,足立区,35.7542,139.7948,Hotel room,,2,11,2023-07-27,0.15,9,0,0,Hotels and Inns Business Act | 足立区足立保健所 | 30足足保生生収第501号
26535061,Female dormitory,196519408,Kagaribi,足立区,35.75463,139.79507,Hotel room,,1,8,2023-04-18,0.17,9,0,0,Hotels and Inns Business Act | 足立区足立保健所 | 30足足保生生収第501号
27439553,New building 2F #201~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78257,139.76106,Private room,5769,3,71,2024-11-02,0.82,14,92,1,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
27479527,New building 2F #204~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78204,139.76006,Private room,6270,3,78,2025-07-14,0.90,14,112,3,Hotels and Inns Business Act | 東京都足立保健所 | 31足足保生生収第323号
29549038,KitaSenju 6minutes walk#UenoAsakusaSkytree#101,202554392,有香,足立区,35.74797699421969,139.81130363538185,Entire home/apt,9875,1,118,2025-09-14,1.41,2,94,23,Hotels and Inns Business Act | 東京都足立区足立保健所 | 31足足保生生収第415号
29643030,Sun Hotel Tokyo Double Bed Apartment,210478015,Teresa,足立区,35.745269775390625,139.79054260253906,Private room,11284,2,66,2025-09-10,0.84,16,293,18,Hotels and Inns Business Act | 足立区足立保健所 | 30足足保生生収第514号
29666885,Private Apartment with Amenities Near Station,9360394,Vann Amor,足立区,35.79263,139.79258,Private room,11915,6,4,2024-03-18,0.05,4,83,0,M130008486
30299933,New building 1F #103~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78368,139.76206,Private room,6162,3,56,2025-07-29,0.68,14,84,2,Hotels and Inns Business Act | 東京足立保健所 | 31足足保生生収第323号
30300289,New building 1F #104~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78377,139.76137,Private room,6162,3,101,2025-08-26,1.23,14,70,11,Hotels and Inns Business Act | 東京足立保健所 | 31足足保生生収第323号
30300550,New building 1F #105~OHANA TOKYO HOUSE~,91758240,Maiko,足立区,35.78366,139.76226,Private room,6162,3,86,2025-04-25,1.04,14,79,10,Hotels and Inns Business Act | 東京足立保健所 | 31足足保生生収第323号
30748446,Hotel La Firenze【NoSmoking Single】22square meters,229337566,ホテル　ラ　フィレンツェ,足立区,35.80696,139.8022,Hotel room,,1,0,,,9,0,0,Hotels and Inns Business Act | 足立区保健所 | 19足足保生生収第377号
