id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
12376310,RIVERFRONT B&B　Retreat,24647837,Kenichiro,あきる野市,35.725479,139.179626,Private room,,1,4,2019-06-30,0.04,4,0,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 27西保生き第89号
20972343,River Front Ryokan style Guesthouse on the river,24647837,Kenichiro,あきる野市,35.725513,139.179642,Private room,,1,5,2022-11-27,0.05,4,0,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 27西保生き第89号
26271788,LEGAL301 Akigawa0.4/Yokota2.7mi 2p 〜12:00“NewBath”,38919757,Max Masaking,あきる野市,35.72737,139.29295,Entire home/apt,9227,1,49,2025-06-04,0.57,21,169,10,M130014388
38874850,セレガSerega102 秋川駅0.1/横田基地3.1mi 3名〜12時 ペット可コイン駐車場,38919757,Max Masaking,あきる野市,35.728627467935425,139.28561395846748,Entire home/apt,7614,1,88,2025-09-06,1.21,21,158,16,M130014392
40744325,リーガルLegal202 秋川駅0.4/横田基地2.7mi 2名〜12時ペット可 駐車千円 ‘25,38919757,Max Masaking,あきる野市,35.72747,139.29517,Entire home/apt,7248,1,31,2025-07-20,0.54,21,176,2,M130023169
41119169,サニーSunny102 秋川駅0.4/横田基地2.7mi 4名〜12 駐車1台ペット可,38919757,Max Masaking,あきる野市,35.72504,139.29506,Entire home/apt,17372,1,87,2024-04-29,1.29,21,169,0,M130023177
49431902,リーガルLegal205 秋川駅0.4/横田基地2.7mi 2名〜12時 駐車千円 ペット可 ‘24,38919757,Max Masaking,あきる野市,35.725809077420465,139.2944730733297,Entire home/apt,8659,1,1,2022-02-05,0.02,21,176,0,M130023172
49934447,スィートSweet 秋川駅0.4/横田基地2.7mi 4名〜12時 駐車千円ペット可 ‘23new,38919757,Max Masaking,あきる野市,35.72742063753624,139.29296682306637,Private room,20629,1,7,2023-08-15,0.24,21,158,0,M130031704
49934459,セレナデスSerenades 東秋留0.4/横田基地2mi 6名〜12時 駐車2台ペット可,38919757,Max Masaking,あきる野市,35.71912,139.30953,Entire home/apt,31883,1,37,2025-05-03,0.76,21,177,11,M130029342
49934513,用務員室Butler 秋川駅0.4/横田基地2.7mi 2名〜12時 駐車千円 ペット可,38919757,Max Masaking,あきる野市,35.72636,139.2949,Private room,6718,1,51,2025-08-31,1.42,21,176,19,M130031723
615645908263705626,リバーフロントの宿。瀬音の湯温泉に近い,24647837,Kenichiro,あきる野市,35.72547912597656,139.17962646484375,Private room,,1,9,2024-02-15,0.26,4,0,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 27西保生き第89号
766338087976484877,Legal302 秋川駅0.4/横田基地2.7mi 2名〜12時 駐車千円 ペット可 ‘23バス交換,38919757,Max Masaking,あきる野市,35.72601165678048,139.29358939934832,Entire home/apt,7248,1,12,2025-09-15,0.42,21,179,2,M130031705
766342910235737687,リーガルLegal201 秋川駅0.4/横田基地2.7mi 2名〜12時 駐車千円 ペット可,38919757,Max Masaking,あきる野市,35.72594837727696,139.2942940012022,Entire home/apt,7804,1,4,2023-05-11,0.12,21,152,0,M130031706
814969430915413237,リバーフロントの家　Riverfront house,24647837,Kenichiro,あきる野市,35.7254791,139.1796255,Entire home/apt,80429,1,3,2024-07-28,0.10,4,83,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 27西保生き第89号
852007414762211706,神の月Godmoon 秋川駅0.8/横田基地3.7mi 5名 〜11時 駐車2台 ペット可 川沿い,38919757,Max Masaking,あきる野市,35.719291922902734,139.27787996828556,Entire home/apt,20846,1,19,2025-04-04,0.65,21,179,6,M130031782
997370145534527044,戸倉城壱番館TokuraCastle1 武蔵五日市駅1.5mi 6名〜12時 駐車2ペット可 ‘24,38919757,Max Masaking,あきる野市,35.72764821897073,139.20394890010357,Entire home/apt,24918,1,8,2025-08-03,0.43,21,177,4,M130037016
1016621988459060108,ハマチデスHamachides 羽村駅0.9/横田基地1.8mi 8名〜12時 駐車3台 ペット可,38919757,Max Masaking,あきる野市,35.74735525999956,139.30666141211987,Private room,,1,4,2024-07-14,0.21,21,267,0,M130037021
1026456270952758964,戸倉城弍番館TokuraCastle2 武蔵五日市駅1.5mi 6名〜12時 駐車2ペット可 ‘24,38919757,Max Masaking,あきる野市,35.7265284283489,139.2034980055011,Entire home/apt,23830,1,7,2025-09-15,0.33,21,167,5,M130037017
1026787213620968553,戸倉城参番館TokuraCastle3 武蔵五日市駅1.5mi 6名〜12時 駐車2ペット可 ‘24,38919757,Max Masaking,あきる野市,35.72832,139.20318,Entire home/apt,24918,1,6,2025-04-06,0.32,21,177,1,M130037019
1027332568120993208,ハバナイスHaveAnice 福生駅0.9/横田基地1.4mi 6名〜12時 ペット可 ‘24new,38919757,Max Masaking,あきる野市,35.733019466561224,139.3148287385702,Entire home/apt,20168,1,10,2025-08-06,0.61,21,262,5,M130037022
1096782289513779594,Tiny House: Triangolo,563349450,浩人,あきる野市,35.7398159025154,139.2180556650156,Entire home/apt,67429,1,0,,,4,72,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 15秋保生き第３９号
1105506974251544929,Tiny House: Rambo,563349450,浩人,あきる野市,35.7399,139.21961,Private room,42143,1,0,,,4,76,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 15秋保生き第３９号
1243050202579463252,御岳山トレッキング奥多摩、五日市の散策、サマーランドなどにお勧め,580268213,田坂,あきる野市,35.74774,139.30805,Private room,9456,1,46,2025-09-21,3.91,1,139,46,M130043549
1259889864440743654,Tiny House: Argo,563349450,浩人,あきる野市,35.73981,139.21914,Entire home/apt,91572,1,0,,,4,79,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 15秋保生き第３９号
1259896013698308194,Tiny House:Ovale,563349450,浩人,あきる野市,35.74141,139.21922,Entire home/apt,48429,1,0,,,4,72,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 15秋保生き第３９号
1323054655312341452,Cozy spacious suite by the creek/TateyaVacation120,669654255,Jan,あきる野市,35.73334,139.2304,Entire home/apt,60390,1,8,2025-08-16,0.90,2,259,8,M130046673
1344578626678539349,一棟貸し／紡舎／築150年の古民家【東京・秋川渓谷】,675800750,衣織,あきる野市,35.7488084,139.2065855,Entire home/apt,46415,1,3,2025-08-23,0.47,1,169,3,M130043834
1388892836737352061,Cozy spacious suite by the creek /TateyaVacation60,669654255,Jan,あきる野市,35.73332049093183,139.23035794907378,Entire home/apt,46970,1,0,,,2,221,0,M130046673
1390279990008693342,オリーブの木のある一軒家。[駐車場有、駅から徒歩5分。横田基地まで30分],507128360,てる子,あきる野市,35.7335,139.25354,Shared room,6400,1,1,2025-09-06,1,1,161,1,M130050897
1422514191596529083,サニーSunny101 秋川駅0.4/横田基地2.7mi 5名〜12時 駐車1台ペット可,38919757,Max Masaking,あきる野市,35.72544,139.29346,Entire home/apt,19543,1,0,,,21,180,0,M130050969
1434884387452467480,飯場グーHambur-goo 拝島1.0/横田基地1.4mi 8名〜12時 駐車2(小3)台ペット可,38919757,Max Masaking,あきる野市,35.718092572112084,139.32602059096098,Entire home/apt,40715,1,0,,,21,180,0,M130055475
1442379370644592509,30sec near Akigawa Bridge River Park Barbecue Land,700998121,良範,あきる野市,35.72756760969818,139.2277576349289,Entire home/apt,11497,1,9,2025-09-22,3.14,1,51,9,M130047310
1485206347360282499,自然の中でリラックス！目の前無料駐車場付。101号室わんちゃんok,705251338,曼華,あきる野市,35.72445008575315,139.2654378405831,Entire home/apt,11135,2,1,2025-09-01,1,2,252,1,M130054080
1485246927559193757,自然の中でリラックス！目の前無料駐車場付。201号室わんちゃんok,705251338,曼華,あきる野市,35.72436,139.26749,Entire home/apt,7406,2,2,2025-09-16,2,2,362,2,M130054081
