id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3514008,誠道館 303／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,Entire home/apt,2900,1,384,2025-09-29,2.93,8,6,53,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
7901470,誠道館　205／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.72671,139.782,Entire home/apt,2900,1,544,2025-09-25,4.42,8,10,73,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
7901621,誠道館　204／静かで出入り自由な完全個室(専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,Entire home/apt,,1,402,2025-09-17,3.31,8,0,69,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
9684860,"Seidokan 203 / Quiet, entirely private room with freedom of access (own bathroom/toilet)",17694529,Hisao,荒川区,35.7267,139.782,Entire home/apt,2900,1,459,2025-09-15,3.85,8,8,75,Hotels and Inns Business Act | 荒川区保健所長 | ３０荒保衛環き（三）第１５号
10167088,H02 MAX 6ppl/Easy access to NRT,51966672,Yoshi,荒川区,35.73088,139.76302,Entire home/apt,12083,1,96,2025-01-05,0.83,5,63,4,M130011696
10552058,H03 Cozy and Residential Apartment.,51966672,Yoshi,荒川区,35.73643,139.77125,Entire home/apt,14815,1,64,2025-01-04,0.55,5,88,2,M130012674
10596923,Futaba Hotel|3minNippori/120sqmDuplex/8/EV/Kit/W&D,32819904,ふたばホテル,荒川区,35.73068,139.77115,Private room,34743,4,90,2025-08-03,0.77,2,81,6,Hotels and Inns Business Act | 東京都荒川区保健所 | 2荒保衛環き(三)第2号
11719571,4LDK Traditional 2Japanese and 2 nomal rooms.Wifi,54419507,Hiro,荒川区,35.7452358,139.7742405,Entire home/apt,54941,1,185,2025-07-20,1.73,1,60,16,Hotels and Inns Business Act | 荒川区保健所 | 30荒保衛環き（三）第12号
17516978,誠道館３０２／静かで出入り自由な完全個室(専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,Entire home/apt,2900,1,265,2025-09-17,2.55,8,2,64,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ（三）第１3号
17600334,Economy Shared Room for Three in a Friendly House,12014384,Toshio,荒川区,35.74325,139.77225,Private room,16218,2,10,2023-04-01,0.12,6,364,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第3号
18984213,Narita AP Direct Tokyo Central.  1~20 Guests,12014384,Toshio,荒川区,35.74414,139.77068,Private room,28126,2,6,2025-01-24,0.07,6,365,1,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第3号
20175306,誠道館　３０４/静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.7267,139.78203,Entire home/apt,2900,1,281,2025-09-29,2.83,8,2,67,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
20956515,"6 mins to Ueno,Yanaka,Narita45min,Nippori Area",150646453,Xiaoli,荒川区,35.74022,139.77306,Private room,12416,2,93,2025-09-14,0.96,1,123,28,M130002129
21080730,なごみ ホテル (NAGOMI HOTEL NIPPORI) - プレミアムツイン,151954517,なごみ,荒川区,35.73278,139.77993,Hotel room,999999,1,0,,,6,10,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
21376755,"3BR/10 ppl max/10min,Ueno＆Akihabara! Near Asakusa!",154809124,Ken,荒川区,35.73379,139.77843,Entire home/apt,33282,2,261,2025-09-27,2.71,1,163,44,Hotels and Inns Business Act | 荒川区保健所 | ３０荒保衛環き(三)第１７号
21520020,"6mins to Ueno, Narita45min,Shinjuku21min,110㎡8PPL",156391995,Toyoharu,荒川区,35.73576,139.77319,Entire home/apt,31674,2,159,2025-08-23,1.68,1,317,21,Hotels and Inns Business Act | 荒川区保健所 | 30荒保衛環き（三）第18号
21702307,なごみ ホテル (NAGOMI HOTEL NIPPORI) - スイートルーム,151954517,なごみ,荒川区,35.73276,139.78004,Hotel room,41000,1,0,,,6,44,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
23832563,Sato san's Rest ～dormitory room～,119542101,Nana & Yuta,荒川区,35.73325,139.78975,Hotel room,9429,1,30,2025-05-07,0.33,4,65,2,Hotels and Inns Business Act | 荒川区保健所 | 27荒保衛環き(三)第1号
24413859,"Cozy 1F Ueno/Nippori walkable, Mobile WiFi&Bike",95824703,Iyoko,荒川区,35.72665,139.78057,Private room,9405,3,122,2025-09-25,1.45,1,12,34,Hotels and Inns Business Act | 荒川区保健所 | ３０荒保衛環き(三)第９号
24816649,Sato san's Rest ～private room～,119542101,Nana & Yuta,荒川区,35.73399,139.78919,Hotel room,12572,1,100,2025-09-16,1.12,4,30,8,Hotels and Inns Business Act | 荒川区保健所 | 27荒保衛環き(三)第1号
25985465,Hotel Wagokoro Economy Double Room,85022417,Kiyoshi,荒川区,35.73274,139.77519,Private room,14815,1,41,2025-04-20,0.47,7,73,2,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26016806,Hotel Wagokoro Standard Japanese-Style Room,85022417,Kiyoshi,荒川区,35.73209,139.77674,Private room,18352,1,196,2025-09-27,2.23,7,67,56,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26017275,Hotel Wagokoro Standard Twin Room,85022417,Kiyoshi,荒川区,35.73281,139.77694,Private room,17481,1,14,2025-08-11,0.16,7,112,3,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043173,Hotel Wagokoro DeluxeTwin Room,85022417,Kiyoshi,荒川区,35.73107,139.77522,Private room,19152,1,15,2025-08-12,0.18,7,98,5,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043474,Hotel Wagokoro Standard  Double Room,85022417,Kiyoshi,荒川区,35.7315,139.77685,Private room,16610,1,6,2025-02-19,0.07,7,84,3,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043562,Hotel Wagokoro Superior Japanese-Style Room,85022417,Kiyoshi,荒川区,35.73299,139.77501,Private room,26480,1,7,2025-02-27,0.35,7,47,2,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26043620,Hotel Wagokoro Superior Twin Room,85022417,Kiyoshi,荒川区,35.73103,139.77514,Private room,19941,1,19,2025-06-16,0.22,7,107,4,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第４号
26475294,Cenral Tokyo Narita Direct :Train& Shuttle Limocar,12014384,Toshio,荒川区,35.74244,139.77221,Private room,13389,2,2,2023-08-17,0.07,6,364,0,Hotels and Inns Business Act | 荒川区保健所 | ２８荒保衛環き(三)第３号
26475847,Family or Friends Tokyo Value Room for 5 person,12014384,Toshio,荒川区,35.74393,139.77045,Private room,,1,6,2023-03-30,0.07,6,269,0,Hotels and Inns Business Act | 荒川区保健所 | 28荒保衛環き（三）第3号
27342489,誠道館  ２０１／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,荒川区,35.72672,139.78201,Entire home/apt,2900,1,251,2025-09-25,2.90,8,6,44,Hotels and Inns Business Act | 東京都荒川区保健所長 | ３０荒保衛環き（三）第１５号
27564241,Bilingual Couple Host 90% World Guest TokyoCentral,12014384,Toshio,荒川区,35.7435,139.77256,Private room,17045,3,2,2023-01-01,0.03,6,365,0,Hotels and Inns Business Act | 荒川区保健所 | ２８荒保衛環き(三)第３号
28302559,Sato san's Rest ～dormitory room～,119542101,Nana & Yuta,荒川区,35.73449,139.79033,Shared room,10760,1,14,2024-11-26,0.18,4,65,1,Hotels and Inns Business Act | 荒川区保健所 | 27荒保衛環き(三)第1号
28995376,Minamisenju sta 5mins MW Hotel Room301 Free WiFi,218499353,愛依,荒川区,35.73115,139.79506,Entire home/apt,12527,2,63,2025-09-01,0.83,2,51,25,Hotels and Inns Business Act | 東京都荒川区保健所 | 30荒保衛環き（三）第１９号
29288515,なごみ ホテル (NAGOMI HOTEL NIPPORI) - エコノミー和室,151954517,なごみ,荒川区,35.73149,139.77984,Hotel room,15429,1,0,,,6,19,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
29289202,なごみ ホテル (NAGOMI HOTEL NIPPORI) - 和室ツインルーム,151954517,なごみ,荒川区,35.73161,139.77826,Hotel room,19858,1,1,2019-02-18,0.01,6,18,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
29289322,なごみ ホテル (NAGOMI HOTEL NIPPORI) - 洋室ダブルルーム,151954517,なごみ,荒川区,35.73327,139.77815,Hotel room,19715,1,1,2020-03-28,0.01,6,35,0,Hotels and Inns Business Act | 荒川区保健所 | ２９荒保衛環き(三)第２号
