id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
2839061,"#1 Discover local life, culture & People/Work desk",4839990,Toshiyuki,文京区,35.72035,139.76445,Private room,11272,4,136,2025-08-30,1.09,1,22,17,M130016568
4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,文京区,35.72761,139.76383,Entire home/apt,,1,210,2025-05-18,1.60,1,0,9,M130037058
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Tomoya,文京区,35.72129,139.76323,Entire home/apt,40429,3,73,2025-06-20,0.57,2,338,10,M130017222
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2019),18289292,武男,文京区,35.71934,139.76508,Private room,7020,3,93,2025-09-28,1.20,1,237,23,M130006097
11001652,"Yellow room, Otsuka, Ikebukuro, Tokyo. Privacy",57090069,Kiyo&Chie,文京区,35.72623,139.72706,Private room,7679,3,160,2025-03-25,1.38,2,118,13,M130020058
11827731,H05 Good Access&Enjoyable City Life,51966672,Yoshi,文京区,35.73048,139.76284,Entire home/apt,,1,87,2025-04-20,0.75,5,0,6,M130012673
14116184,3 min from Sta. Ueno Park 10min walk! #301,46674978,Namio,文京区,35.71971,139.76515,Entire home/apt,,1,200,2020-02-25,1.79,3,0,0,Hotels and Inns Business Act | 文京区文京保健所 | ２０１９文文生環き第５１０号
14273827,Near Tokyo Univ./Dome #Friendly Host #Speedy WiFi,87040650,Ayaka,文京区,35.712646484375,139.75927734375,Entire home/apt,15753,30,120,2025-04-05,1.09,9,135,6,M130000442
14795446,New Minka Guest House (Mt. FUJI),92410243,Kenichi,文京区,35.70585,139.75506,Private room,8885,1,253,2025-09-26,2.34,5,220,44,Hotels and Inns Business Act | 東京都文京区文京保健所 | 2019文文生環き第505号
14796277,New Minka Guest House (Kimono）,92410243,Kenichi,文京区,35.70425,139.75713,Private room,8359,1,251,2025-09-26,2.30,5,229,35,Hotels and Inns Business Act | 東京都文京区文京保健所 | 2019文文生環き第505号
15697290,New Minka Guest House(SAKURA）,92410243,Kenichi,文京区,35.70628,139.75567,Private room,8885,1,195,2025-09-23,1.80,5,242,51,Hotels and Inns Business Act | 東京都文京区文京保健所 | 2019文文生環き第505号
18419380,3 min from Sta. Ueno Park 10min walk! #202,46674978,Namio,文京区,35.71971,139.76515,Hotel room,,1,124,2020-02-25,1.21,3,0,0,Hotels and Inns Business Act | 文京区文京保健所 | ２０１９文文生環き第５１０号
18675626,88Keisei Ueno Sta.8mins & Yushima Sta. 1mins,116324472,Nikki,文京区,35.70797,139.76865,Entire home/apt,22191,1,334,2025-09-14,3.42,10,12,53,Hotels and Inns Business Act | 東京都台東区台東保健所 | 29台台健生環き第47号
19822265,#3F/31.4㎡ Modern Designers Apt. Komagome st 7min,138469445,Yutaka,文京区,35.73403,139.75244,Entire home/apt,19466,1,294,2025-09-22,3.02,5,136,29,Hotels and Inns Business Act | 東京都北区保健所 | 29北健生環き第13号
20001462,【chartering】Near Tokyo Univ./Dome #Friendly Host,87040650,Ayaka,文京区,35.712398529052734,139.75930786132812,Entire home/apt,,30,17,2025-09-25,0.17,9,43,8,M130041812
22835610,NEW20%OFF!Open +Vibrant Home Otsuka Toshima,165882068,黄,文京区,35.72649,139.72716,Entire home/apt,21550,1,24,2025-08-01,0.26,2,248,12,M130046514
23777592,文京区都心の隠れ家ーリゾートルーム,45249822,大井,文京区,35.71282,139.7361,Private room,,2,114,2025-09-17,1.25,1,5,19,M130001375
25240073,Old-style！Same price for up to 2 people！smokingOK！,189881925,Tomonari,文京区,35.72924,139.76271,Entire home/apt,19878,2,5,2025-04-20,0.47,1,267,5,M130017335
27147247,EXsaison Sugamo 403,202883274,Masaharu,文京区,35.7313,139.73912,Hotel room,5424,1,66,2025-05-17,0.77,5,142,4,Hotels and Inns Business Act | 東京都池袋保健所 | ３０豊池保衛環き第４０号
27405334,新宿2分3层别墅（中文可）,46122442,Yamato,文京区,35.710811239711155,139.72610663188215,Entire home/apt,48827,2,3,2019-07-16,0.03,2,48,0,M130005427
31545761,7 minutes by train to Ikebukuro Station/c&d,236443900,圭太,文京区,35.73334,139.75616,Entire home/apt,27605,1,82,2025-07-09,1.01,3,156,8,M130029925
33147810,4min Sta.!/Easy access to Tokyo/FREE Wi-Fi/5ppl#2,248779005,Mitsuko,文京区,35.72956,139.76332,Entire home/apt,15858,2,41,2024-09-29,0.57,1,338,0,M130013595
34661647,New Minka Guest House(HINOMARU),92410243,Kenichi,文京区,35.70453,139.75655,Private room,8885,1,85,2025-09-16,1.13,5,247,37,Hotels and Inns Business Act | 東京都文京保健所 | 2019文文生環き第505号
34726763,Uhome Tabata 301 Spacious APT 4mn by train to Ueno,73463626,Rui,文京区,35.73178,139.75688,Entire home/apt,10313,1,70,2025-09-19,0.91,47,72,19,M130016474
34726981,"Uhome Tabata Apartment 202, 4mn by train to Ueno",73463626,Rui,文京区,35.73148,139.75643,Entire home/apt,10313,1,84,2025-07-24,1.09,47,80,27,M130016473
34727199,"Uhome Tabata Apartment 302, 4mn by train to Ueno",73463626,Rui,文京区,35.73163,139.75669,Entire home/apt,,1,59,2025-09-17,0.76,47,0,31,M130016475
34794707,6 min Sta. Very near Akihabara!Good location/11,39314421,Masahiro,文京区,35.70552,139.76608,Entire home/apt,9258,2,224,2025-09-28,2.91,19,321,34,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795237,6 min Sta. Very near Akihabara!Good location/21,39314421,Masahiro,文京区,35.70409,139.76636,Entire home/apt,8808,2,223,2025-09-12,2.91,19,318,51,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
34795413,6 min Sta. Very near Akihabara!Good location/22,39314421,Masahiro,文京区,35.70609,139.76771,Entire home/apt,8808,2,213,2025-09-22,2.77,19,312,59,Hotels and Inns Business Act | 文京区文京保健所 | 文文生環き第5 0 1 号
