id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
10795042,"Floor rent, complete isolation stay in center TKO",7103955,Masaharu,千代田区,35.67235,139.76009,Entire home/apt,39429,3,228,2025-09-09,1.94,6,7,9,M130004395
13721395,春5GWifi TokyoDome皇居1km〜 RoofGarden 上野秋葉原銀座東京2km～都心,79805768,聖美,千代田区,35.69734500749446,139.75813394771336,Private room,13302,1,54,2025-09-21,1.79,7,263,21,M130033124
14891795,【Room 101】Cozy Room in Central Tokyo/  1–3 Guests,93216991,Kayo,千代田区,35.68987,139.7331,Private room,11328,1,262,2025-09-17,2.40,6,181,41,Hotels and Inns Business Act | 新宿区保健所 | 6新保衛環第261号
15707958,Private traditional home near Akihabara 1group/day,50802261,義也,千代田区,35.69975,139.77374,Entire home/apt,40660,1,104,2025-09-15,1.01,1,165,3,Hotels and Inns Business Act | 千代田区千代田保健所 | ７千千保生環き第３号
22961167,Single Small Room　(Breakfast Included),170132782,Sakura Hotel Jimbocho,千代田区,35.69466,139.75763,Private room,,1,38,2025-04-18,0.48,6,245,4,Hotels and Inns Business Act | 東京都千代田保健所 | 14千千保衛環き第65号
22961329,Family Room (Breakfast Included),170132782,Sakura Hotel Jimbocho,千代田区,35.69426,139.75719,Private room,,1,5,2025-07-08,0.07,6,197,1,Hotels and Inns Business Act | 東京都千代田保健所 | 14千千保衛環き第65号
22961387,Female Dormitory (Breakfast Included),170132782,Sakura Hotel Jimbocho,千代田区,35.69426,139.7558,Shared room,6115,1,11,2025-09-13,0.16,6,246,7,Hotels and Inns Business Act | 東京都千代田保健所 | 14千千保衛環き第65号
23548129,3 min from Akihabara! spacious maisonette  6person,173598497,Shigeru,千代田区,35.69509,139.77466,Private room,41849,3,109,2025-08-27,1.19,12,110,16,M130002890
23906965,Near Kanda Sta｜1 Stop to Tokyo & Akihabara｜2DK,73463626,Rui,千代田区,35.69401,139.77238,Entire home/apt,23609,1,204,2025-09-12,2.25,47,56,45,Hotels and Inns Business Act | 東京都千代田区 | き70号
23907412,Great Location｜Kanda Sta｜1 Stop to Tokyo｜Akihabara,73463626,Rui,千代田区,35.69388,139.7743,Entire home/apt,22584,1,134,2025-09-12,1.48,47,78,35,Hotels and Inns Business Act | 千代田区千代田保健所 | 第70号
23907725,Great Location｜Kanda Sta｜1 Stop to Tokyo｜Akihabara,73463626,Rui,千代田区,35.69435,139.77421,Entire home/apt,18235,1,158,2025-09-26,1.73,47,70,27,Hotels and Inns Business Act | 千代田区千代田保健所 | 第７０号
23907817,Great Location｜Kanda Sta｜1 Stop to Tokyo｜Akihabara,73463626,Rui,千代田区,35.69249,139.77385,Entire home/apt,13079,1,87,2025-09-16,0.96,47,82,26,Hotels and Inns Business Act | 千代田区千代田保健所 | 第70号
24144270,Close to Akihabara!4pax&1DK!TV・,173598497,Shigeru,千代田区,35.69562,139.77286,Entire home/apt,28214,3,142,2025-08-19,1.57,12,156,20,M130002889
24431478,3 min  Akihabara  40㎡ spacious room with balcony!,173598497,Shigeru,千代田区,35.69515,139.77406,Entire home/apt,27715,2,88,2025-07-29,1.03,12,171,27,M130004728
24431914,A spacious room of 51㎡ 3 min Akihabara  4peaple,173598497,Shigeru,千代田区,35.6949,139.7748,Entire home/apt,32572,2,66,2025-07-24,0.74,12,175,14,M130002888
26246171,秋叶原站步行三分钟的民宿@愛客家。餐饮，娱乐，购物最佳之选。,105077504,冰儿,千代田区,35.69936,139.77474,Entire home/apt,50690,2,64,2025-09-20,2.26,1,310,21,M130002771
26498016,Twin Room (Bunk bed type　/ Breakfast Included),170132782,Sakura Hotel Jimbocho,千代田区,35.69615,139.75594,Private room,,1,9,2025-07-17,0.26,6,217,3,Hotels and Inns Business Act | 東京都千代田保健所 | 14千千保衛環き第65号
28569742,位于上野和秋叶原之间，周围有大量餐厅购物出行方便，市中心四房温馨大公寓。可寄存行李有wifi,150299734,Minami,千代田区,35.7043,139.77223,Entire home/apt,23735,1,230,2025-09-11,2.73,13,236,45,Hotels and Inns Business Act | 東京都台東区保健所 | 31台台健生環き第10047号
29626951,nestay apartment tokyo akihabara 9B,191517619,Sea,千代田区,35.69629,139.78077,Entire home/apt,26998,1,69,2025-08-31,0.82,7,183,9,M130007991
29628564,nestay apartment tokyo akihabara 7B,191517619,Sea,千代田区,35.69826,139.77978,Entire home/apt,28486,1,70,2025-09-01,0.83,7,182,20,M130009502
29720819,nestay apartment tokyo akihabara 5A,191517619,Sea,千代田区,35.69817,139.77951,Entire home/apt,,1,67,2025-08-18,0.80,7,0,21,M130009504
29764707,nestay apartment tokyo akihabara 5B,191517619,Sea,千代田区,35.69623,139.77918,Entire home/apt,28097,1,3,2019-11-03,0.04,7,182,0,M130009503
29912303,【個室】ダブルルーム,192671656,And Hostel,千代田区,35.6984,139.7769,Hotel room,,1,97,2025-08-11,1.88,2,265,25,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第69号
29931217,Dormitory Room male Only(男性用ﾄﾞﾐﾄﾘｰ･禁煙),192671656,And Hostel,千代田区,35.6965,139.77804,Hotel room,,1,131,2025-08-11,2.58,2,267,21,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第69号
31694610,Lux 2BR Penthouse/Imperial Palace/7Pax/3mins Sub,211851828,Tien Yao,千代田区,35.69615,139.75047,Entire home/apt,62294,1,167,2025-09-22,2.06,18,77,36,Hotels and Inns Business Act | 千代田区千代田保健所 | 31千千保生環き第36号
32507836,Ueno＆Akihabara/Entire apartment/Fukurin 73㎡ house,239711413,Fukurin,千代田区,35.70393,139.7726,Entire home/apt,53580,3,123,2025-09-14,1.55,1,103,24,M130013735
33354147,101#Akihabara Station 3 mins/lift,251263864,Marutomo,千代田区,35.6991,139.7771,Private room,,1,207,2025-09-26,2.68,10,112,61,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33405270,201#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69904,139.77719,Private room,,1,115,2025-09-10,1.47,10,109,38,Hotels and Inns Business Act | 東京都千代田区保健所 |  30千千保生環き第86号
33405625,202#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69907,139.77718,Private room,13146,1,155,2025-09-24,2.00,10,189,40,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33405880,204#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69904,139.77719,Private room,,1,139,2025-09-26,1.79,10,91,43,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33406211,203#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69907,139.77718,Private room,,1,132,2025-09-22,1.69,10,82,51,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33406515,302#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69907,139.77718,Private room,,1,162,2025-09-24,2.09,10,191,55,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33406665,301#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69907,139.77718,Private room,,1,162,2025-09-23,2.10,10,307,64,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33406847,401#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69907,139.77718,Private room,10079,1,158,2025-09-20,2.04,10,57,54,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33406960,402#JR秋葉原 徒歩3分/無料Wi-Fi/エレベーター/ダブルベッドルーム/専用バスルーム/,251263864,Marutomo,千代田区,35.69907,139.77718,Private room,12203,1,149,2025-09-17,1.92,10,81,63,Hotels and Inns Business Act | 東京都千代田区保健所 | 30千千保生環き第86号
33812078,Akihabara station 3-mins Near Tokyo Sta free wifi,251691547,Mickey,千代田区,35.69935264773953,139.7765225012435,Entire home/apt,31350,1,86,2025-08-16,1.19,1,324,19,M130011071
34866457,Standard Capsule Room for Female Only,260764402,Glansit Akihabara,千代田区,35.70218,139.77274,Shared room,,1,2,2020-01-09,0.03,4,0,0,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第31号
34866505,Private Capsule Room for Female Only,260764402,Glansit Akihabara,千代田区,35.70252,139.77137,Private room,,1,5,2020-01-11,0.07,4,0,0,Hotels and Inns Business Act | 千代田区千代田保健所 | 29千千保生環き第31号
