id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
9704555,民泊　調布駅近徒歩5分。シャワー、ミニキッチン完備,45623186,Satomi,調布市,35.65272,139.54804,Private room,5848,2,193,2025-09-22,2.08,2,114,18,M130020629
10002680,Graffiti Apt / HTTH WiFi / Max 4pax / 2min to Sta.,40834345,Kenny,調布市,35.65474,139.53082,Entire home/apt,15120,2,133,2025-08-29,1.15,4,120,11,M130008544
13769224,Green Residency for international creatives! [1F],60578072,Yoko,調布市,35.65429,139.58477,Private room,8439,1,16,2025-08-27,0.15,1,66,4,M130049571
21213736,#102 庭のある家 駅から徒歩4分 新宿渋谷から30分,51624570,Risa,調布市,35.65053,139.56063,Private room,8229,2,117,2025-09-23,1.23,2,35,33,M130006594
22334676,#101 庭のある家 駅から徒歩4分 新宿渋谷から30分,51624570,Risa,調布市,35.65098,139.55886,Private room,6815,2,119,2025-09-10,1.27,2,42,30,M130006593
26579007,味の素スタジアム隣、ゆったり2LK(70㎡)貸切。お茶もできる和室付きの綺麗な宿ですごしませんか,199857875,さなえ,調布市,35.66099,139.53063,Entire home/apt,40000,1,68,2025-08-27,0.95,1,171,14,M130000577
27837387,Sparrow House. スパローハウス,68178397,Chie,調布市,35.65096,139.56626,Entire home/apt,8550,3,126,2025-08-24,1.46,1,185,24,M130005229
28556189,Chofu Fuda: Rent an entire house near stations,152802905,Rie,調布市,35.64912,139.5487,Entire home/apt,12086,3,91,2025-08-25,1.07,1,166,16,M130007580
32760514,調布駅徒歩5分★1名様も歓迎の家【女性限定】【清掃料金なし】,101924948,Keiko,調布市,35.648204,139.546403,Private room,,1,57,2023-11-23,0.74,1,0,0,M130015370
38440354,京王線調布駅徒歩１０分　10min from Chofu Station keio line.,51583299,彩,調布市,35.65522,139.53649,Private room,,1,14,2020-12-27,0.19,1,0,0,M130020026
39303944,民泊　調布駅から徒歩5分。味の素スタジアムへのアクセスも良い,45623186,Satomi,調布市,35.65155,139.54864,Private room,5765,2,92,2025-09-15,1.29,2,120,28,M130020628
40278399,Private house in Tokyo with Recording Studio,311144609,Jim,調布市,35.66569,139.56648,Entire home/apt,45000,7,41,2025-05-18,0.59,1,302,7,M130022333
46735492,東京・深大寺にある一人の時間をゆっくり過ごす宿 COMORI(コモリ) ※温泉のチケット付き,34887253,Ryoya,調布市,35.66584,139.54794,Entire home/apt,13308,1,149,2025-09-03,2.69,1,198,39,M130027691
52012197,Tokyo Hideaway,80421255,右,調布市,35.6483435,139.5892527,Private room,5756,1,59,2025-09-14,3.74,1,201,34,M130032916
721915590416420676,Spacious Room in Tokyo  with Garden for Family,20151567,Aya,調布市,35.64796,139.58919,Private room,21429,1,34,2025-08-24,0.98,1,326,17,M130031729
1080811498863030770,東京/味の素スタジアム徒歩圏内/家族・長期歓迎/高速Wi-Fi,559558678,Sayaka,調布市,35.6543053,139.5231176,Entire home/apt,7645,2,27,2025-07-07,1.36,2,316,13,M130034909
1122150971843131033,"J/45 mins Shinjuku, large living, free parking",569344378,Resort,調布市,35.66196092777884,139.54395936992825,Entire home/apt,20064,2,45,2025-09-15,2.54,3,119,29,M130039243
1189475489512713580,Easy Access: Shinjuku/Shibuya｜2 Stations｜Airpt Bus,586018176,郁子,調布市,35.64945,139.54947,Entire home/apt,20134,3,35,2025-09-15,2.48,2,177,27,M130042006
1215548006038320880,Long Stay Discount | Easy Access Shinjuku/Shibuya,586018176,郁子,調布市,35.64945,139.54947,Entire home/apt,15000,30,1,2025-06-16,0.28,2,209,1,M130042006
1278656722727745795,アネックスA 貸切 新宿から45分、広いリビング無料駐車場2台長期滞在シモンズベッドおしゃれ,569344378,Resort,調布市,35.66295,139.54343,Entire home/apt,,2,14,2025-08-19,1.37,3,95,14,M130044960
1318585335591708266,【深大寺荘】新宿へ25分/ジブリ予約可/8月9月2泊以上宿泊の方鬼滅の刃のカード一組様プレゼント,668496958,河合,調布市,35.665816608403574,139.55618991038065,Shared room,9335,1,21,2025-09-14,3.18,1,364,21,M130045879
1322185224512445048,アネックスB  貸切 新宿45分広いリビング無料駐車場2台長期滞在シモンズベッドおしゃれ,569344378,Resort,調布市,35.66295,139.54343,Entire home/apt,20064,2,12,2025-08-04,1.50,3,95,12,M130044962
1346214110682923360,2階建一軒家　丸ごと貸切　長期滞在大幅割引　渋谷・新宿20分　高速Wi-Fi　パーティ・研修可能,676189141,美保子,調布市,35.64319576854374,139.54192746163633,Entire home/apt,18588,1,3,2025-05-18,0.45,1,265,3,M130042814
1380563454985717717,Tokyo near KIchijoji Maisonette,685205361,Akihito,調布市,35.6754804,139.5589613,Private room,3705,1,4,2025-09-22,1.71,6,351,4,M130051767
1414257830511038958,30 mins Shinjuku | 40 mins Shibuya | Max4 |RE103,689398826,司,調布市,35.65315,139.52277,Entire home/apt,8513,1,4,2025-08-18,0.94,3,88,4,M130047696
1414269833353289579,30 mins Shinjuku | 40 mins Shibuya | Max3 |RE203,689398826,司,調布市,35.654812228159344,139.52411506427285,Entire home/apt,7728,1,6,2025-09-21,1.73,3,84,6,M130048284
1422234206769068083,5Tokyo Kichijoji Mitaka Chofu next parking,685205361,Akihito,調布市,35.6754804,139.5589613,Private room,3163,31,0,,,6,336,0,M130051767
1441098487332136083,TokyoJindaiji;2F Exclusive useRoomCountByHeadcount,685205361,Akihito,調布市,35.6754804,139.5589613,Entire home/apt,12350,1,0,,,6,172,0,M130051767
1441355997773535200,"3.Observatory Tokyo  private room,  parking next",685205361,Akihito,調布市,35.67548052807127,139.55896139144897,Private room,2837,31,3,2025-09-26,3,6,220,3,M130051767
1444926593816237869,"Tokyo near Christian UniversityBalcoryBright room,",685205361,Akihito,調布市,35.67548052807127,139.55896139144897,Private room,3217,31,7,2025-09-21,2.10,6,289,7,M130051767
1450241038896466182,Tokyo Bright home with Balcory near Observatory,685205361,Akihito,調布市,35.67548052807127,139.55896139144897,Private room,3000,1,2,2025-09-28,1.11,6,268,2,M130051767
1467877998159627931,30 mins Shinjuku | 40 mins Shibuya | Max3 |RE102,689398826,司,調布市,35.65358,139.52252,Entire home/apt,8333,1,0,,,3,68,0,M130049811
