id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
7876373,"403 · Nihonbasi/Imperial Palace/Akihabara,walk 15min",41516927,Yoshihito,中央区,35.68842,139.77816,Shared room,,2,147,2024-11-12,1.29,14,1,1,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保き環き第１５２号
7876385,"402 · Tokyo sta/Nihonbasi/Imperial Palace/Ginza, #402",41516927,Yoshihito,中央区,35.68903,139.77667,Private room,,1,223,2025-07-10,1.95,14,4,7,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き第１５２号
7876639,"405 · Center of Tokyo,Quite Area Location #405",41516927,Yoshihito,中央区,35.68699,139.77643,Shared room,,2,157,2025-09-10,1.37,14,6,3,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き第１５２号
13497745,"302 · Tokyo,Akihabara,Ginza by walk,Center of tokyo#302",41516927,Yoshihito,中央区,35.68694,139.77637,Private room,,1,149,2025-09-10,1.33,14,4,6,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き　第１３３号
13693481,"303 · Good location / Near Tokyo station , 15 min walk",41516927,Yoshihito,中央区,35.68679,139.7765,Private room,,2,163,2025-08-29,1.45,14,4,3,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き　第１３３号
13932441,404 · Imperial palace/Near Tokyo st/Nihonbashi #404,41516927,Yoshihito,中央区,35.6888,139.77632,Private room,7448,2,89,2025-02-16,0.80,14,1,2,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き第１５２号
14187693,"Tokyo station,Ginza,Nihombashi,Akihabara area#304",41516927,Yoshihito,中央区,35.68889,139.77632,Shared room,,2,153,2025-08-29,1.38,14,8,11,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き　第１３３号
14836177,301 · 301 · Tokyo sta/Imperial Palace/#301,41516927,Yoshihito,中央区,35.68684,139.77684,Entire home/apt,,1,138,2024-08-27,1.26,14,3,0,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き　第１３３号
15544537,Near Tokyo station walk 15min/Nihonbashi Area #5F,41516927,Yoshihito,中央区,35.68747,139.77841,Private room,79762,2,55,2023-08-14,0.51,14,7,0,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き　第１５６号
15578042,"305 · Good location,Near Tokyo Stn,Akihabara #305",41516927,Yoshihito,中央区,35.68744,139.77637,Shared room,,1,117,2024-11-28,1.07,14,4,2,Hotels and Inns Business Act | 東京都中央区保健所 | ３０中保生環き　第１３３号
15685047,1 J Stay Guest House 102号室,101284689,J Stay,中央区,35.66371,139.77448,Private room,7604,2,172,2025-09-15,1.59,5,14,15,M130006741
