id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,江戸川区,35.68374,139.85971,Entire home/apt,8860,2,193,2025-09-21,1.43,2,109,44,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
3623844,Tatoo ok! Tokyo Onsen and Room【寿】,13018876,Masakatsu,江戸川区,35.68358,139.85985,Entire home/apt,6706,2,153,2025-09-28,1.20,2,184,37,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
7057399,102Tokyo JRHiraiSt. take a walk 9minutes apartment,37012733,Mariko,江戸川区,35.70208,139.84227,Entire home/apt,,5,77,2025-09-19,0.67,3,79,13,M130005528
7349832,101Tokyo JRHirai St. take a walk9minutes apartment,37012733,Mariko,江戸川区,35.70157,139.84156,Entire home/apt,6700,6,100,2025-08-27,0.81,3,67,6,M130006317
9916592,EG-PA5　鍵付個室【ペット可】2人予約はシングルベッド1台／,49237439,Ken,江戸川区,35.74012,139.89638,Private room,5643,3,18,2025-01-02,0.17,13,349,2,M130002463
11849761,103Tokyo JRHirai St. take a walk9minutes apartment,37012733,Mariko,江戸川区,35.70139,139.84304,Entire home/apt,,6,75,2025-09-15,0.66,3,56,14,M130005531
12814357,East edge of Tokyo  private Kotatsu room in Winter,65812461,Fumi,江戸川区,35.70311,139.90639,Private room,3258,2,206,2025-09-15,1.82,3,50,28,M130001567
15403283,[Free Parking]15mins to Tokyo Disney Resort by Bus,98584547,Hiro,江戸川区,35.67147,139.87543,Entire home/apt,26229,2,210,2025-09-23,1.95,1,145,22,Hotels and Inns Business Act | 江戸川保健所 | 23江衛環01第4号
15437240,篠崎町 Private Room 202 セミダブルベッド 2人まで,65812461,Fumi,江戸川区,35.7013,139.90629,Private room,3312,2,101,2025-09-22,0.93,3,16,6,M130001567
16441221,202离车站1分钟、浅草、晴空塔东京铁塔、银座、筑地、上野、迪斯尼直达机场直达，电梯公寓！周边繁华！,53550586,雯,江戸川区,35.74317,139.88544,Entire home/apt,8924,1,159,2025-09-24,1.49,6,68,22,M130002473
16740256,303离车站1分钟、浅草、晴空塔东京铁塔、银座、筑地、上野、迪斯尼直达机场直达，电梯公寓！周边繁华！,53550586,雯,江戸川区,35.74371,139.88423,Entire home/apt,10952,1,171,2025-08-06,1.65,6,82,21,M130002477
