id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
7406024,Cozy House near Ajinomoto Studium TUFS/ICU/ASIJ,36829680,Jimmy'S Family,府中市,35.67267533286519,139.51251029968262,Entire home/apt,26441,2,88,2025-08-09,0.72,1,266,5,M130008301
21708673,Fuchu Forest Park Side House,54026689,Mari And Riku,府中市,35.67905,139.49226,Entire home/apt,10067,2,125,2025-09-21,1.41,1,227,19,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第155号
32295205,"Near station, Tokyo Racecourse,Ajinomoto Stadium",104596362,勝司,府中市,35.67036,139.48136,Private room,17486,2,4,2023-06-25,0.06,1,12,0,M130017055
798994334101242193,シェアハウスの鍵付き個室/新宿まで25分/自然豊かな緑地の隣/ペット相談可/202,108806844,るっちゃん,府中市,35.66162856761532,139.46939998280334,Private room,5776,3,12,2025-09-28,1.11,6,226,12,M130044940
1135026834594189010,③完全プライベートルーム　府中駅徒歩圏内 高速フリーWifi キッチン洗濯機完備 二人で宿泊可 東京,483909915,良宏,府中市,35.6792929048352,139.48376893558196,Entire home/apt,4932,1,14,2025-06-30,1.17,3,145,14,M130038429
1186826526837207683,最大5名までOK!駅近!無料駐車場有。コンビニ3分、ドンキ6分、McDonald2分、長期滞在歓迎,548305922,市村,府中市,35.67397614047145,139.48603131130614,Private room,8859,1,45,2025-09-25,3.10,1,210,41,M130040241
1258579167440527943,"Best for Family! Entire Guesthouse near TUFS, ASIJ",655101103,Shizuka,府中市,35.673594,139.514809,Entire home/apt,,2,15,2025-05-16,1.30,1,0,15,M130044476
1264799177645378672,"25 min to Shinjuku, LT deal,21㎡, JR Nishi-Kokubunj",455078302,二又,府中市,35.69329659831344,139.4669197127223,Entire home/apt,10322,3,13,2025-08-31,1.64,4,52,13,M130045458
1268015566222300095,ROOMS 001: カフェ併設、綺麗なワンルーム。分倍河原駅から徒歩3分。,441720095,Momo,府中市,35.66982867007659,139.46928327116393,Entire home/apt,6193,2,51,2025-09-25,4.69,5,200,51,Hotels and Inns Business Act | 東京都多摩府中保健所 | 6府保生き第149号
1277251509555925852,④完全プライベートルーム　府中駅徒歩圏内 高速フリーWifi キッチン洗濯機完備 二人で宿泊可 東京,483909915,良宏,府中市,35.6792474,139.4837761,Entire home/apt,5649,1,8,2025-01-26,0.73,3,28,8,M130044941
1277939473894551425,①完全プライベートルーム　府中駅徒歩圏内 高速フリーWifi キッチン洗濯機完備 二人で宿泊可 東京,483909915,良宏,府中市,35.6792474,139.4837761,Entire home/apt,4742,1,7,2025-09-19,2.96,3,7,7,M130033401
1281056863718637606,シェアハウスの鍵付き個室/新宿まで25分/自然豊かな緑地の隣/ペット相談可/102,108806844,るっちゃん,府中市,35.66165,139.46953,Private room,6065,2,6,2025-06-08,0.58,6,231,6,M130044940
1285513267688570594,2部屋6名まで/シェアハウス/新宿まで25分/自然豊かな緑地の隣/ペット相談可,108806844,るっちゃん,府中市,35.66276,139.4699,Private room,14183,2,1,2025-08-13,0.63,6,85,1,M130044940
1288202125813704677,ROOMS 002 : カフェ併設、綺麗なワンルーム。分倍河原駅から徒歩3分。,441720095,Momo,府中市,35.67067818323354,139.4703653154641,Entire home/apt,6193,2,33,2025-09-28,3.44,5,204,33,Hotels and Inns Business Act | 東京都多摩府中保健所 | 6府保生き第149号
1294063392468829182,シェアハウス/自然豊かな緑地の隣/ペット相談可/203,108806844,るっちゃん,府中市,35.66165181130787,139.46950368583202,Private room,5647,2,9,2025-08-22,0.99,6,227,9,M130044940
1296117644740845647,シェアハウスの鍵付き個室/駐車場あり/自然豊かな緑地の隣/ペット相談可/4人部屋,108806844,るっちゃん,府中市,35.66167796200174,139.46953788399696,Private room,4618,3,4,2025-05-15,0.44,6,261,4,M130044940
1330030230708294783,ROOMS 003 : カフェ併設、綺麗なワンルーム。分倍河原駅から徒歩3分。,441720095,Momo,府中市,35.6697633,139.469294,Entire home/apt,6193,2,40,2025-09-25,4.92,5,201,40,Hotels and Inns Business Act | 東京都多摩府中保健所 | 6府保生き第149号
1334502113498908779,"25 min to Shinjuku, LT deal,21㎡, JR Nishi-Kokubunj",455078302,二又,府中市,35.6933,139.46692,Entire home/apt,10518,3,17,2025-09-17,2.13,4,39,17,M130045459
1358304046527835620,2021年築ゲストハウス「風の日」 宿泊者専用のキッチン、風呂、トイレ有　玄関別、最寄り駅から送迎可,678726494,紀子,府中市,35.675129,139.5098856,Entire home/apt,6193,1,22,2025-09-25,3.59,1,37,22,M130048825
1416228902837240512,"25 min to Shinjuku, LT deal,21㎡, JR Nishi-Kokubunj",455078302,二又,府中市,35.69327778223038,139.4669197,Entire home/apt,8800,31,0,,,4,326,0,M130045458
1428538227467283355,"25 min to Shinjuku, LT deal,21㎡, JR Nishi-Kokubunj",455078302,二又,府中市,35.6932965,139.4669197,Entire home/apt,8800,31,0,,,4,308,0,M130045459
1484769238926412098,駅徒歩2分！風の抜ける庭付きの広い家６DKK134㎡/リビング2つ/秘密基地のはなれ,650098595,Noriko,府中市,35.6645267,139.5120115,Entire home/apt,32921,2,3,2025-09-24,3,4,323,3,M130054992
