id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
8673124,Near Yokota AB 5min   one room.,45557046,Shukichi,福生市,35.74423,139.33301,Private room,3500,4,72,2025-09-01,0.60,1,98,7,M130000580
21758707,AMT mansion 302 AMTマンション302 Monthly rental,14016513,田村,福生市,35.7442,139.32576,Private room,5500,6,16,2025-06-07,0.17,1,321,3,Hotels and Inns Business Act | 東京都西多摩保健所 | 31西保生き第51号
40011563,"New!6PPL 5min from Fussa Sta.Yokota, Free Parking",97590461,Momi,福生市,35.74235,139.33792,Entire home/apt,17572,2,15,2025-09-28,3.02,2,48,15,M130050182
744429761572757612,横田基地アクセス良好！103 東京 福生 カフェスタイル　YOKOTA AIR BASE　,283520956,Sachiko,福生市,35.71964550000001,139.3392267,Entire home/apt,10809,1,25,2025-08-29,1.92,5,324,22,M130033835
954525958339287299,横田基地アクセス良好！101 東京　福生　アメリカンアパートメントYOKOTA AIR BASE　,283520956,Sachiko,福生市,35.71964550000001,139.3392267,Entire home/apt,13576,1,48,2025-09-14,1.85,5,359,16,M130035203
1069852473341876138,Japanese-style(shared bath)With Breakfast/2 guests,403572642,公克,福生市,35.718424,139.3318105,Private room,11739,1,2,2024-09-12,0.15,1,331,0,Hotels and Inns Business Act | 東京都西多摩保健所 | 3西保生き第３号
1115670056838753990,横田基地アクセス良好！102 東京　福生　マリンアパートメント　YOKOTA AIR BASE,283520956,Sachiko,福生市,35.72077284948399,139.33823230668887,Entire home/apt,12982,1,31,2025-09-19,1.73,5,356,22,M130039613
1406074991937911697,Monthly!near StationYokota6PPL! 4bedRMFree Parking,97590461,Momi,福生市,35.74456,139.32969,Entire home/apt,11200,30,1,2025-09-18,1,2,130,1,M130050182
1434242308838699135,"KirakiraBasestay, 15% disc, full house to yourself",698785853,Deepika,福生市,35.74409938223681,139.33158207701882,Entire home/apt,24943,1,12,2025-08-30,3.19,1,319,12,M130048823
1446302207396283154,"駅チカでアクセス抜群！
貸切タイプ民泊、3寝室で、最大6名様ご利用いただけます。",702014482,三平,福生市,35.745479,139.3280819,Private room,26884,1,4,2025-09-20,1.97,2,84,4,M130046993
1446969545068343819,"駅チカでアクセス抜群！
シェアハウス内の個室。もちろん 貸切でのご利用もご相談いただけます。",702014482,三平,福生市,35.74526,139.32918,Private room,6900,1,4,2025-08-22,1.30,2,353,4,M130046994
