id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
4849854,Villa Takaosan,22134668,Yuki,八王子市,35.63738,139.2863,Entire home/apt,14058,2,198,2025-07-11,1.51,3,223,11,M130001407
11761568,皎月山荘・松　Kougetsu Sanso - Moon Villa in Tokyo・Matsu,48076855,Jota,八王子市,35.65384,139.26785,Private room,19680,1,5,2025-03-15,0.14,3,25,2,Hotels and Inns Business Act | 八王子市保健所 | 3八保衛環収第611号
17886551,皎月山荘・東京　Kougetsu Sanso ---  Moon Villa in Tokyo,48076855,Jota,八王子市,35.66788,139.28242,Entire home/apt,38500,1,43,2025-09-15,0.47,3,26,3,Hotels and Inns Business Act | 八王子市保健所 | 3八保衛環収第611号
23066247,八王子！新宿・横浜 電車1本！最大6名収容可の広めな和室1室貸切！のんびり自然豊かなエリア(M02),513524931,Etsuki,八王子市,35.65427,139.32768,Private room,10097,1,23,2025-04-06,0.26,4,27,4,M130003258
23178611,高尾山と法政大学近く,172315948,Yuko,八王子市,35.6314956799419,139.31180328522413,Private room,4140,1,123,2025-08-31,1.33,3,106,12,M130004150
23568830,八王子！新宿・横浜 電車1本！最大10名収容可！洋室1室貸切！のんびり自然豊かなエリア！(M03),513524931,Etsuki,八王子市,35.65463,139.32779,Private room,10658,1,4,2025-04-07,0.05,4,26,1,M130003258
26553837,八王子！新宿・横浜 電車1本！最大2名収容可の和室1室貸切！のんびり自然豊かなエリア！(M04),513524931,Etsuki,八王子市,35.65502,139.32791,Private room,8975,1,38,2025-05-01,0.44,4,27,10,M130003258
26727732,Miyako House 201号室（4人部屋）,169633751,都,八王子市,35.67024,139.32288,Private room,16000,3,3,2023-02-10,0.09,6,361,0,M130003483
30574725,Miyako House 202号室,169633751,都,八王子市,35.67018859995411,139.32338584240156,Private room,8000,3,2,2025-09-15,0.83,6,361,2,M130003483
31162271,八王子！新宿・横浜 電車1本！最大15名収容！和モダン和室・洋室3室貸切！のんびり自然豊か(M05),513524931,Etsuki,八王子市,35.65504,139.32787,Private room,61703,1,5,2025-05-05,0.27,4,27,2,M130003258
31499886,高田商店　高尾山　八王子　一軒家,236013912,輝正,八王子市,35.67601,139.26667,Entire home/apt,9515,1,189,2025-09-21,2.34,1,234,31,M130012174
32884420,201、四名收容可。八王子ic1.1公里、市内高尾山、サマーランドまで車16分,247403092,星,八王子市,35.67662,139.36503,Private room,4310,1,14,2025-04-21,0.18,3,57,4,M130014283
32885376,202 高尾山9公里，八王子IC1.1公里，サマーランドまで車16分,247403092,星,八王子市,35.67804,139.36423,Private room,4399,1,37,2025-09-12,0.47,3,35,12,M130014283
37602893,"Hiking base, 1LDK with a car park.",22792928,Hiroki,八王子市,35.63724,139.31107,Private room,18090,5,18,2025-01-07,0.24,1,176,2,M130019080
39126223,高尾山に近くテレワークに最適な部屋　102,172315948,Yuko,八王子市,35.6304934855481,139.31004020840183,Entire home/apt,4549,1,122,2025-09-23,1.71,3,187,22,M130020330
39261775,高尾山､法政大学に近い #211,172315948,Yuko,八王子市,35.631844363322124,139.31072484101756,Entire home/apt,4018,1,83,2025-04-17,1.15,3,209,9,M130020331
39759074,"5 min to Mt.Takao, Family Room, wi-fi available",290876627,Mt.Takao Base Camp,八王子市,35.63575,139.26996,Private room,24829,1,3,2022-10-28,0.05,2,225,0,Hotels and Inns Business Act | 東京都八王子市保健所 | 31八保衛環収第276号
39911042,"5 min to Mt.Takao, Private room (max 4 guests)",290876627,Mt.Takao Base Camp,八王子市,35.63509,139.27143,Private room,18229,1,12,2025-08-18,0.17,2,215,2,Hotels and Inns Business Act | 東京都八王子市保健所 | 31八保衛環収第276号
