id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,東村山市,35.76577,139.44678,Entire home/apt,57059,15,134,2024-11-03,1.06,3,364,1,M130000495
4471640,"Rm1 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Sachiko,東村山市,35.75828,139.48037,Private room,4050,14,19,2025-05-17,0.14,3,143,3,M130000063
4690684,"Rm2 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Sachiko,東村山市,35.75851,139.47982,Private room,4253,14,5,2024-03-30,0.04,3,138,0,M130000063
4691157,"Rm3 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Sachiko,東村山市,35.75619,139.48071,Private room,3960,14,29,2025-01-06,0.33,3,134,3,M130000063
5876019,"Residential area, Peaceful Traditional House 1",20307199,Hotaka,東村山市,35.76544,139.44477,Private room,6650,3,93,2025-05-06,0.74,3,351,12,M130000492
6050643,"Residential area, Peaceful Traditional House 3",20307199,Hotaka,東村山市,35.76676,139.44505,Entire home/apt,20644,3,73,2025-01-01,0.58,3,355,2,M130000493
11725564,Artist StudioTokyo Kumegawa101,47350689,Sohei,東村山市,35.74815,139.46446,Entire home/apt,8100,5,142,2025-09-15,1.23,9,171,16,Hotels and Inns Business Act | 東京都多摩小平保健所 | 30小保生き第56号
30243975,Artist Studio Kumegawa102,47350689,Sohei,東村山市,35.74948,139.46634,Entire home/apt,4500,5,42,2025-08-08,0.52,9,174,5,Hotels and Inns Business Act | 東京都多摩小平保健所 | 30小保生き第56号
35944361,Artist Studio Kumegawa103,47350689,Sohei,東村山市,35.748287,139.465363,Entire home/apt,6277,5,22,2025-07-02,0.30,9,179,5,Hotels and Inns Business Act | 東京都多摩小平保健所 | 30小保生き第56号
39471606,緑豊かな静かな住宅街の一軒家 [東京富春山居],301815040,乃雨,東村山市,35.76632,139.44348,Entire home/apt,5222,1,194,2025-09-09,2.69,1,36,23,M130020900
1176256262248238018,個室2名まで可。新宿まで30分、最寄り駅まで2分。地下にはカフェバー併設。長期割引有り,572372895,拓也,東村山市,35.74666819999999,139.4683029,Entire home/apt,3943,2,31,2025-09-14,2.08,2,202,29,Hotels and Inns Business Act | 東京都多摩小平保健所 | 6小保生き第4号
1178552768589537877,個室2名まで可。新宿まで30分の久米川駅、八坂駅まで10分以内。長期割引有り。新しくエアコン設置済,572372895,拓也,東村山市,35.74765794235745,139.46850954133205,Entire home/apt,4863,2,13,2025-09-18,2.44,2,201,13,Hotels and Inns Business Act | 東京都多摩小平保健所 | 6小保生き第41号
1278515464053877911,Full House Rent in Tokyo|Ghibli|Sakura|Shinjuku 1H,659631390,宏太,東村山市,35.76348305279473,139.4533171540291,Entire home/apt,8332,2,41,2025-09-23,3.74,2,82,41,M130044475
1355407333350400789,【Monthly】Full House Rent in Tokyo|Shinjuku 1H,659631390,宏太,東村山市,35.76410695904098,139.45263783875677,Entire home/apt,9800,30,0,,,2,95,0,M130044475
1436586810162222757,New ZEN House_35min direct train to SeibuShinjuku,695366047,株式会社,東村山市,35.75191,139.46912,Entire home/apt,29159,1,15,2025-08-25,4.46,1,22,15,M130051907
