id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
4540924,"2persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,日野市,35.685214489929706,139.39478936735702,Entire home/apt,7890,3,56,2025-09-16,0.43,2,351,10,M130008297
4750169,"2 persons room, Shinjuku30min Tokyo45min!",23416902,Naga,日野市,35.68548,139.39496,Entire home/apt,7482,3,63,2025-09-17,0.49,2,330,17,M130008296
7322455,Takahata Private Apartment 105,13088224,Rickie,日野市,35.66263,139.40793,Entire home/apt,5130,5,40,2025-08-22,0.33,9,331,5,M130006339
7353004,"Riversideroom Shinjyuku29min, Shibuya37min 2person",38526810,Yoshi,日野市,35.68521,139.39257,Entire home/apt,8560,3,49,2025-05-06,0.51,1,351,8,M130008293
9575725,#KEIO Takahatahudo St. 10min walk 日野市 高幡不動 鍵付完全個室,49570162,天野,日野市,35.65861892700195,139.4169921875,Private room,3122,2,44,2025-06-30,0.37,2,344,8,M130001090
9995809,#Takahatahudo Private room for 2 with bath 高幡不動,49570162,天野,日野市,35.65892,139.4178,Private room,4072,1,58,2025-06-29,0.49,2,154,6,M130001090
14032541,Takahata Private Apartment B230,13088224,Rickie,日野市,35.66271,139.40911,Entire home/apt,5130,2,80,2025-09-15,0.72,9,333,14,M130006343
20659571,Takahata Private Apartment 118,13088224,Rickie,日野市,35.66295,139.40769,Entire home/apt,6344,1,56,2025-08-28,0.57,9,320,5,M130006342
26959990,5匹の猫が家にいる。京王線新宿駅から42分の南平駅から徒歩15分。 緑あふれる住宅街の静かな部屋3,163276166,Keita,日野市,35.65225,139.39925,Private room,5000,3,63,2024-11-17,0.72,9,30,2,M130001545
26960089,5匹の猫が家にいる。京王線新宿駅から42分の南平駅から徒歩15分。 緑あふれる住宅街の静かな部屋1,163276166,Keita,日野市,35.65229,139.40067,Private room,4500,3,85,2025-01-18,0.97,9,32,4,M130001545
26960102,5匹の猫が家にいる。京王線新宿駅から42分の南平駅から徒歩15分。 緑あふれる住宅街の静かな部屋2,163276166,Keita,日野市,35.65235,139.39902,Private room,4500,3,53,2025-01-13,0.61,9,30,1,M130001545
40405992,3LDK!2Floor!NearBy Mt. TAKAO!6PP!Free Parking(M13),312455868,Andplace,日野市,35.66238,139.42072,Entire home/apt,11700,2,107,2025-07-15,1.51,2,98,24,M130021567
42699814,Takahata Private Apartment 101,13088224,Rickie,日野市,35.66299,139.40773,Entire home/apt,5130,1,26,2025-07-10,0.63,9,279,8,M130024572
42700127,Takahata Private Apartment 102,13088224,Rickie,日野市,35.66288,139.409,Entire home/apt,6344,1,19,2025-08-10,0.41,9,340,6,M130024574
42700661,Takahata Private Apartment 106,13088224,Rickie,日野市,35.66436,139.40945,Entire home/apt,5130,2,28,2025-09-16,0.44,9,318,3,M130024590
42700791,Takahata Private Apartment 116,13088224,Rickie,日野市,35.66416,139.40958,Entire home/apt,5130,1,33,2025-09-21,0.51,9,358,11,M130024591
42701008,Takahata Private Apartment 122,13088224,Rickie,日野市,35.66257,139.4076,Entire home/apt,5130,2,28,2025-06-23,0.42,9,354,7,M130024592
42701146,Takahata Private Apartment 126,13088224,Rickie,日野市,35.66395,139.40971,Entire home/apt,6344,2,31,2025-09-15,0.46,9,326,5,M130024593
42984480,(Longterm rental)3LDK/2Floor/6PPL/Parking area,312455868,Andplace,日野市,35.65323,139.40785,Entire home/apt,13520,30,16,2025-09-22,0.30,2,154,5,M130021567
811314361412500603,Samurai Dojo Retreat|駅徒歩5分|新宿特快30分|閑静な住宅街|心安らぐ庭,482281624,有,日野市,35.6606272,139.3855421,Entire home/apt,16000,3,5,2025-09-17,1.01,1,297,5,M130049163
979980532825466925,Family vacation with remote work in Tokyo,532972218,Mei,日野市,35.67823509999999,139.3904862,Entire home/apt,12529,3,23,2025-09-12,0.95,2,18,11,M130035276
995328380587551214,Family vacation with remote work in Tokyo,532972218,Mei,日野市,35.67824,139.39049,Entire home/apt,19144,30,3,2025-05-23,0.19,2,265,2,M130035276
1043812108783546568,東京/高幡不動/建築士が建てた家/女性専用/ホスト、ネコ在住/新宿から34分/ピューロランド、高尾山,550440515,Ikuko,日野市,35.6585,139.40766,Private room,7786,1,2,2025-06-08,0.35,1,133,2,M130034198
1334328422464367238,KT1  Free parking & Up to 8 people can stay!,592306377,實松,日野市,35.6634471,139.4033989,Entire home/apt,16072,1,22,2025-09-15,3.53,2,143,22,M130046999
1376571835097114348,一人旅/ホームステイ/立川/八王子/高尾山/自転車貸出無料/Wi-Fi完備,665800032,理恵,日野市,35.68500231777919,139.39050879738684,Private room,5266,1,10,2025-09-20,2.94,1,25,10,M130046668
1477442878061262651,KT2  長期滞在にも最適/ 最大3名宿泊可能/ 新宿35分/ 駅近/ Netflix有,592306377,實松,日野市,35.66199,139.40815,Entire home/apt,5658,2,1,2025-09-17,1,2,107,1,M130053123
