id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3235958,Enjoy Simple Life in Tokyo (1),16241464,Kaori,板橋区,35.78156,139.63309,Entire home/apt,8476,1,128,2025-08-04,0.96,2,265,9,M130000056
3339222,Enjoy Simple Life in Tokyo (2),16241464,Kaori,板橋区,35.77932,139.63338,Entire home/apt,8544,1,89,2025-09-01,0.73,2,212,14,M130000055
7038511,3番伝統日本家屋都内には珍しい东京日本Free Wifi-2,29681737,文娟,板橋区,35.76456,139.67015,Private room,8820,1,60,2024-07-29,0.48,5,342,0,M130001805
7903097,"#2 Close to Ikebukuro area, 12mins by train",9542500,Jiang,板橋区,35.75995,139.68417,Private room,5278,5,118,2025-08-15,0.98,3,348,9,M130000033
7911710,#1 DoubleSize Bed room 12mins by train to kebukuro,9542500,Jiang,板橋区,35.76115,139.68344,Private room,5474,5,103,2025-09-21,0.84,3,347,11,M130000033
9006622,"Licensed LM101,2min Oyama 3stop Ikebukuro 12thYear",22193183,Kyoko,板橋区,35.74763107299805,139.70321655273438,Entire home/apt,14204,3,164,2025-07-30,1.36,4,330,12,M130009193
9163537,"Licensed LM02A,2min Oyama 3stop Ikebukuro 12thYear",22193183,Kyoko,板橋区,35.74768829345703,139.70339965820312,Entire home/apt,9215,3,135,2025-09-12,1.13,4,336,8,M130009198
9676636,"Licensed LM102,2min Oyama 3mins Ikebukuro 12thYear",22193183,Kyoko,板橋区,35.747371673583984,139.70323181152344,Entire home/apt,9312,3,119,2025-08-11,1.00,4,341,8,M130009194
9913066,池袋至近！大山駅徒步4分平层90㎡超大客厅光线充沛,50435854,Hong,板橋区,35.74664,139.70687,Entire home/apt,22500,2,18,2025-06-22,0.63,5,194,5,M130033625
10761071,Easy access to Central Tokyo＊nearJR&Subway 37㎡ ２DK,46680220,Yumiko,板橋区,35.75015,139.71744,Entire home/apt,16275,3,151,2025-05-17,1.33,2,253,8,M130003511
10948144,Divers Room in Ikebukuro area,46425542,Keita,板橋区,35.7579,139.69814,Private room,6943,2,26,2025-05-19,0.23,1,179,6,M130035664
12804298,Guest Room Full Moon@nice location,61917467,Shiho,板橋区,35.758209228515625,139.69461059570312,Private room,5500,1,114,2025-09-15,1.02,1,22,22,M130000085
13723999,"Licensed LM201A,2min Oyama 3stop Ikebukuro 12 Year",22193183,Kyoko,板橋区,35.74674,139.70264,Entire home/apt,12555,3,129,2025-05-23,1.15,4,321,12,M130009196
14094196,"Koala Guest House (""Minpaku"")",84807307,Kazushi,板橋区,35.74934,139.7074,Private room,3500,1,187,2025-09-20,1.70,2,241,36,Hotels and Inns Business Act | 東京都板橋区保健所 | 28板保生環き 第　4　号
14544488,R1~Spacious Quiet Rm 8mins to IKEBUKURO/Shinjuku,39671760,Serina,板橋区,35.76046,139.70212,Private room,7823,2,108,2025-09-28,0.98,3,32,33,M130000507
14733395,"Koala Guest House, Opened July 20, 2016!",84807307,Kazushi,板橋区,35.74934,139.7074,Private room,3500,1,281,2025-09-09,2.62,2,237,45,Hotels and Inns Business Act | 東京都板橋区保健所 | 28板保生環き 第　4　号
18028744,#201_One station to Ikebukuro,123986701,謙信（Donny）,板橋区,35.74761,139.712,Entire home/apt,12472,2,70,2025-09-28,0.69,3,94,4,M130007754
18098031,101 New open 5min walk to station WIFI,123986701,謙信（Donny）,板橋区,35.74625,139.71352,Entire home/apt,14500,2,67,2023-09-18,0.65,3,201,0,M130007754
18141854,Close to IKEBUKURO * Good location,123986701,謙信（Donny）,板橋区,35.74641,139.71274,Entire home/apt,23629,2,67,2025-09-25,0.91,3,209,22,M130007754
20874830,"Cozy, Clean Room by Moｍ & Daughter/Women Only",53381708,A-Flat,板橋区,35.75308,139.71372,Private room,11143,1,64,2025-05-27,0.67,1,179,12,M130000548
21626245,R2~Cozy Quiet Rm 21mins to SHINJUKU/IKebukuro/CBD,39671760,Serina,板橋区,35.76069,139.70327,Private room,8775,2,61,2025-09-28,0.64,3,24,16,M130000507
23401898,Narimasu Comfort Room with Private toilet/showe,961324,Yunjeong,板橋区,35.77872,139.63818,Private room,7695,4,83,2025-09-07,0.91,2,202,8,M130000575
24429783,Spacious 3 Bedroom Designer House in Tokyo,25867827,Ikuko,板橋区,35.76728,139.70567,Entire home/apt,24635,2,72,2025-09-21,0.82,2,307,12,M130000075
25042429,池袋駅まで電車で7分/12人宿泊/ガス衣類乾燥機/高速無料Wi-Fi/4LDK98㎡/無料駐車場有,189316825,定森,板橋区,35.7700754,139.6733653,Entire home/apt,27686,1,56,2025-08-24,4.11,2,307,51,M130041423
25499013,"Designer 1 Bdrm in central Tokyo, 5min from subway",25867827,Ikuko,板橋区,35.7656,139.70546,Private room,11495,3,49,2025-07-29,0.63,2,111,8,M130010544
26436023,10 minutes walk from Ikebukuro Station,198786855,Yamamoto,板橋区,35.74014,139.70575,Entire home/apt,14540,30,65,2025-08-22,0.74,2,254,1,M130012282
26555683,Entire House withNear Ikebukuro With License,9029805,Wen,板橋区,35.76012,139.70241,Entire home/apt,16715,1,100,2025-08-23,1.14,1,117,13,M130032914
28884829,"5 mins to Ikebukuro Famouse Shopping, Street 203",150896127,Sacchi,板橋区,35.74465,139.70414,Entire home/apt,,2,69,2025-09-14,0.82,4,202,20,M130006377
29131227,75%OFF※1※池袋駅10min、新宿 18min※東武線 常盤台駅3min※Wifi,99435358,Youko,板橋区,35.75799,139.68876,Entire home/apt,,1,58,2021-04-11,0.69,1,0,0,M130007780
29967532,#3 Private room&toilet  by train to Ikebukuro12min,9542500,Jiang,板橋区,35.75879,139.68309,Private room,5460,5,43,2025-08-14,0.51,3,338,4,M130000033
30552801,5 minutes  to station 板橋区役所前駅103,114328660,Yuga,板橋区,35.751,139.71249,Entire home/apt,8901,1,136,2025-09-28,1.65,9,214,40,Hotels and Inns Business Act | 東京都板橋区保健所 | 4板保生環き 第　41　号
31028081,Nearby Ikebukuro/Studio apartment/pocket wi-fi,42244167,浩史,板橋区,35.74623,139.71293,Entire home/apt,8767,1,124,2025-09-18,1.51,170,325,24,Hotels and Inns Business Act | 豊島区池袋保健所 | 30豊池保衛環き第116号
