id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1298200,"2 Bed Room + 2 Toilets, drop off luggage from 9am",7740848,K Family,葛飾区,35.73987,139.85176,Entire home/apt,18575,3,423,2025-09-26,2.83,6,129,16,M130009943
1441639,"Sunny Spacious traditional room, Sunny balcony",7740848,K Family,葛飾区,35.7362,139.85178,Entire home/apt,,4,327,2024-05-06,2.21,6,0,0,Hotels and Inns Business Act | 葛飾区保健所 | 7葛保生環令第76号
1732795,"4 Bed-rooms, 2 toilets, shower, Traditional rooms",7740848,K Family,葛飾区,35.73784,139.85201,Entire home/apt,32932,3,427,2025-09-18,2.94,6,204,39,Hotels and Inns Business Act | 葛飾区保健所 | 4葛保生環令第75号
5979941,"7min to Station, Japanese style room, Free WiFi",30840659,Guesthouse,葛飾区,35.76776,139.86466,Private room,10918,2,43,2025-02-24,0.34,4,69,1,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26葛保生第3209号
7170836,2Shower/Direct Narita/Shinjuku/Akihabara/Tokyo Sta,37525225,鹰,葛飾区,35.72358,139.85843,Entire home/apt,24241,1,214,2025-08-15,2.23,3,299,27,Hotels and Inns Business Act | 東京都葛飾区保健所 | 30葛保生環第162号
8105976,"Easy to airport,Asakusa,Skytree,Ginza,Akihabara!",12369727,Kei,葛飾区,35.7333,139.85079,Entire home/apt,14800,5,345,2025-09-19,2.83,2,165,38,Hotels and Inns Business Act | 東京都葛飾区保健所 | 31葛保生環第330号
8893054,Japanese traditional type room,33478325,Yukihiko,葛飾区,35.74412,139.86214,Private room,,2,20,2019-09-15,0.23,1,0,0,Hotels and Inns Business Act | 葛飾区保健所 | 26葛保生第3738号
11167120,HY1 / Y'sB&KitchenTokyo/Feels like a home,52144395,Yasuko And Hiro,葛飾区,35.75461,139.86843,Entire home/apt,5700,1,294,2025-09-27,2.54,1,32,21,M130000457
11589890,"3 Bedroom+2 toilets , Bamboo House",7740848,K Family,葛飾区,35.73998,139.85128,Entire home/apt,34056,3,292,2025-08-12,2.51,6,146,27,M130009919
13384484,6名様まで交通便利駅2分！日本伝統家ノストラジックな町へようこそ！My grandma house,76087524,由美子,葛飾区,35.7468177,139.8286364,Entire home/apt,16490,5,59,2025-09-26,2.38,4,200,23,M130035499
14749196,"""lobby"" Private Sauna Designers House/3bed+3futon",6378336,Haru,葛飾区,35.74109,139.84485,Entire home/apt,23684,1,93,2025-08-11,0.88,5,341,7,Hotels and Inns Business Act | 葛飾区保健所 | 4葛保生環令第278号
16466341,"5 bedroom+6 toilets+3 showers, drop luggage 9am~",7740848,K Family,葛飾区,35.73968,139.85387,Entire home/apt,42358,4,216,2025-09-21,2.03,6,219,32,Hotels and Inns Business Act | 東京都保健所 | 27葛保生環第466号
16693911,SP sale 6 singleBEDs★Mobile Wi-Fi★Tokyo Ueno-14min,110560505,Momo,葛飾区,35.74656,139.83202,Entire home/apt,17302,2,153,2025-09-16,1.45,2,282,22,M130004826
20182174,“1 couple per day only” Stay with privacy in mind!,17751737,宏之,葛飾区,35.73461,139.84801,Private room,6972,1,129,2025-09-10,1.30,2,139,34,M130000562
20527555,"Retro modern room Private Shower, Toilet & Kitchen",30840659,Guesthouse,葛飾区,35.76838,139.8661,Entire home/apt,12215,1,25,2025-04-22,0.26,4,72,3,M130003004
21518692,Kameari 3mins station. Free wi-fi/Bread/water,156376609,Mitsue And Ayako,葛飾区,35.76737,139.84751,Entire home/apt,7200,2,151,2025-08-22,1.57,1,169,17,M130001902
22215771,ON SALE!!! Near ASAKUSA & Tokyo Skytree♪,162332140,Hahihu,葛飾区,35.73852,139.84863,Entire home/apt,16150,1,71,2025-05-04,0.75,1,206,12,M130015997
22369511,Rooftop views and amenities near Shinkoiwa!,163561105,Tokyo,葛飾区,35.71562,139.85789,Private room,15200,3,3,2025-04-19,0.26,3,253,3,Hotels and Inns Business Act | 葛飾区保健所 | 28葛保生環第135号
22411109,Entire 2-Story House/Direct to Airport/Wi-Fi/Max6,161782066,Yu,葛飾区,35.7539,139.86165,Entire home/apt,17874,1,57,2025-09-08,0.61,1,344,9,M130015031
23836067,Star Room(Hao Bros. Home)/京成高砂駅2分,178965087,Daikichi,葛飾区,35.7499,139.87051,Private room,5565,2,101,2025-09-15,1.18,6,224,38,Hotels and Inns Business Act | 葛飾区保健所 | 31葛保生環第192号
25693184,☆YAWP☆（1 bed/12bedroom）I used to be a Manga artist,193360373,Tak,葛飾区,35.75235,139.86814,Shared room,2129,1,93,2025-09-12,1.08,3,18,17,Hotels and Inns Business Act | 東京都葛飾区 | 26葛保生第3438号
25694475,◆YAWP！◆ The coziest hostel for backpackers（12beds）,193360373,Tak,葛飾区,35.75264,139.87032,Shared room,4372,1,21,2025-08-09,0.24,3,38,3,Hotels and Inns Business Act | 東京都葛飾区 | 26葛保生第3438号
25770574,"Asakusa,Akihabara,Ueno,Narita access!New big House",138720902,Toori,葛飾区,35.74761,139.82606,Entire home/apt,35315,2,141,2025-09-04,1.59,3,298,20,M130020160
25981202,JR/京成金町駅徒歩6分 - 和室（ツイン） - 上野、有楽町、六本木へ乗り換え無し,30840659,Guesthouse,葛飾区,35.76606,139.86476,Private room,5399,2,21,2025-07-21,0.24,4,74,5,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26葛保生第3209号
27346787,"43min Narita,Haneda w/o transfer, max:8people",203206531,Asako,葛飾区,35.74616,139.85508,Entire home/apt,,2,156,2025-08-04,1.80,11,113,11,Hotels and Inns Business Act | 葛飾区保健所 | 31葛保生環第226号
27598461,"2BR-Easy access to Airport, Skytree, Asakusa, Ueno",30706521,Yong,葛飾区,35.7451286315918,139.85055541992188,Entire home/apt,16989,1,110,2025-07-25,1.28,4,243,19,Hotels and Inns Business Act | 葛飾区保健所 | 2葛保生環令第3号
27688237,Max10ppl! JP traditional house! Near SensojiTemple,97958809,鄭,葛飾区,35.73046,139.84094,Entire home/apt,14780,1,51,2025-08-06,0.60,11,122,12,M130007792
28210569,Large living room for family/11beds/1377sqft,187014041,Miki,葛飾区,35.73607,139.83713,Entire home/apt,42779,4,315,2025-09-24,3.72,1,235,41,Hotels and Inns Business Act | 葛飾区保健所 | 30葛保生環第173号
28263537,Sun Room(Hao Bros. Home)/京成高砂駅2分,178965087,Daikichi,葛飾区,35.74928,139.869,Private room,5166,2,88,2025-09-06,1.05,6,171,29,Hotels and Inns Business Act | 葛飾区保健所 | 31葛保生環第192号
28589957,浅草や東京スカイツリーが近い小さな日本庭園の大きな家。広いテラスでゆったりと。最寄駅徒歩3分。,43230315,Hirotake,葛飾区,35.73082,139.83576,Entire home/apt,47018,1,213,2025-09-14,2.53,3,286,11,M130005697
