id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
776070,Kero-kero room 1F,801494,Kei,北区,35.73844,139.76917,Private room,10459,3,272,2025-05-21,1.74,1,76,14,M130000243
3744742,"(3) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,Entire home/apt,9772,2,239,2025-04-29,1.79,7,246,4,M130035124
4360718,"(2) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,Entire home/apt,10000,2,251,2025-08-14,1.90,7,215,24,M130035123
4888140,"(1) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,Entire home/apt,9200,2,241,2025-06-25,1.87,7,224,10,M130035122
5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,北区,35.74408,139.72525,Entire home/apt,9025,2,317,2025-09-23,2.50,1,106,37,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第9号
10636671,6m from Yamanote-L/Easy access to Tokyo/Free-WIFI,21586310,Masaki & Haruko,北区,35.73745,139.75788,Entire home/apt,15614,2,163,2025-06-28,1.41,1,231,16,M130000449
12656625,"(7) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,北区,35.76108,139.71599,Entire home/apt,9220,3,204,2025-05-11,1.79,7,227,5,M130035125
12767276,The Japanese style room experience available,65322398,Katsuomi,北区,35.75948,139.743,Private room,4552,2,117,2025-09-21,1.10,1,72,21,M130006401
13483552,③best location!Mini private room in shopping area.,37983776,Allen&,北区,35.76200353732324,139.7206531465105,Private room,9994,3,51,2025-05-01,0.46,4,174,9,M130000511
13488027,②best location！ cozy place in JUJO shopping street,37983776,Allen&,北区,35.76223875183903,139.7204497123731,Private room,9158,3,37,2025-05-25,0.36,4,181,12,M130000511
15218638,Japanese house in central Tokyo 3min JR station日风,96703868,Yuki,北区,35.73653,139.75917,Entire home/apt,,1,99,2020-02-06,0.91,1,0,0,M130000381
15561356,"Direct to Ikebukuro(6mins),Shinjuku(11 mins)",99873634,Kuniji,北区,35.76088,139.71821,Private room,17365,1,165,2025-06-02,1.52,1,240,15,M130010894
15777074,15 min from Tokyo Sta /2 min from Kaminakazato Sta,51779608,Taka & Tomo,北区,35.74708,139.74783,Entire home/apt,53268,2,159,2025-07-27,1.49,4,240,16,M130001868
