id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1048327582488229490,Welcome bread lovers/suburbs of Tokyo/Kiyose,382771860,Yumiko,清瀬市,35.7746101,139.5253064,Shared room,13000,2,10,2025-08-03,0.68,1,78,5,M130037271
1100925903690778455,3min walk Kiyose Sta. | Max 3 people | MFK102A,564351868,Kat,清瀬市,35.77155834201941,139.52104877160474,Entire home/apt,7560,1,22,2025-09-25,1.16,12,301,8,M130038430
1101311553363569477,3min Kiyose Station | Max 3 people | MFK103A,564351868,Kat,清瀬市,35.77109932913734,139.52127897959198,Entire home/apt,10212,2,6,2025-06-17,0.37,12,305,5,M130038431
1151667488505414286,3min walk Kiyose Sta. |  Up to 3 guests | MFK102M,564351868,Kat,清瀬市,35.769802883802036,139.51928204045078,Entire home/apt,7920,31,8,2025-04-14,0.69,12,206,8,M130038430
1186892225649152840,3min walk Kiyose Sta|Max 3|MFK101A,564351868,Kat,清瀬市,35.77019,139.51917,Entire home/apt,10675,3,26,2025-09-22,1.84,12,311,21,M130040193
1209159994321273658,3min Kiyose Station | Max 3 people | MFK103B,564351868,Kat,清瀬市,35.77115937488882,139.51942794966163,Entire home/apt,8360,30,10,2025-07-03,0.82,12,305,9,M130038431
1223552232566544259,3min walk Kiyose Sta | Max 3 | MFK101B,564351868,Kat,清瀬市,35.770307021827435,139.51921101037055,Entire home/apt,11076,32,1,2024-11-11,0.09,12,311,1,M130040193
1385083381743848124,柔らかなピンクの空間|清瀬駅徒歩3分の貸切1R|最大3名|MFK203A,564351868,Kat,清瀬市,35.77035,139.51909,Entire home/apt,9915,2,14,2025-09-15,2.32,12,313,14,M130048439
1386715328719318476,3min walk Kiyose Sta|Max 3|MFK104A,564351868,Kat,清瀬市,35.77152176503372,139.52097623046578,Entire home/apt,11746,2,9,2025-09-26,2.87,12,333,9,M130049154
1388696223533831124,3min walk Kiyose Sta|Max 2|MFK204A,564351868,Kat,清瀬市,35.77134619137078,139.5193713006943,Entire home/apt,6829,2,8,2025-08-27,1.50,12,167,8,M130047691
1439768448662075317,3min walk Kiyose Sta|Max 3|MFK203B,564351868,Kat,清瀬市,35.76938,139.51985,Entire home/apt,7680,30,0,,,12,313,0,M130048439
1439771375187428107,【Monthly】北斎波アート|清瀬駅徒歩3分の貸切1R|最大2名|MFK204B-Monthly,564351868,Kat,清瀬市,35.7698,139.52104,Entire home/apt,5760,30,0,,,12,278,0,M130047691
1441092629303637431,3min walk Kiyose Sta|Max 3|MFK104B-Monthly,564351868,Kat,清瀬市,35.76963,139.52097,Entire home/apt,8866,30,0,,,12,262,0,M130049154
