id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
6785470,DOMUS MUSASHINO -Sakura View-,35525878,Kanako,小平市,35.72576,139.50954,Entire home/apt,,5,59,2020-03-31,0.48,1,0,0,M130000194
19663983,Musicians friendly!! with 2 Pianos＆Soundproof-room,10969488,Aya,小平市,35.71053,139.47909,Private room,8328,1,15,2025-08-13,0.18,4,364,3,M130002755
35696314,10 min. from Sta.：3駅（国分寺・西国分寺・恋ヶ窪）可能！wi-fi完備の静かな部屋,64271981,Osamu,小平市,35.71629,139.4696,Private room,45000,1,9,2020-02-08,0.12,1,87,0,M130017495
862787123729440762,"23 min to Shinjuku, Limited to 1 couple per day",85258070,Hirokazu,小平市,35.7263,139.51879,Private room,,4,19,2023-12-12,0.65,2,0,0,M130033404
1045233795910627311,(Long stay) Shinjyuku 23 min/Limited to 1 couple,85258070,Hirokazu,小平市,35.725937467272765,139.5175142571,Private room,,30,0,,,2,0,0,M130033404
1213492338895612963,自然が多い玉川上水近くの一軒家です,277111786,菅原,小平市,35.7221699,139.451924,Private room,8543,1,27,2025-08-15,2.09,1,236,25,M130025489
1314984262634606072,ECO house for families |Easy Access to Shinjuku,10250173,Dimitri,小平市,35.72885743650762,139.50197526640122,Private room,27372,1,15,2025-06-16,1.80,1,268,15,M130046170
1323813054161711048,シンプルで経済的、だけど休める部屋(和室、全面禁煙、約10.9㎡),108963233,方己,小平市,35.73354317261324,139.47748405020715,Private room,4154,1,23,2025-09-26,2.85,3,56,23,M130047253
1344879772098209980,シンプルで経済的、だけど休める部屋(洋室、約7.8㎡、全面禁煙),108963233,方己,小平市,35.73468,139.47784,Private room,3720,1,9,2025-08-12,1.15,3,60,9,M130047253
1369888199576858132,シンプルで経済的、だけど休める部屋(洋室、全面禁煙、約10.9㎡),108963233,方己,小平市,35.73354317261324,139.47748405020715,Private room,4154,1,20,2025-09-05,2.99,3,238,20,M130047253
1402246105393887917,A private room in a brand new house,690751964,萩原,小平市,35.7322,139.48352,Private room,4140,1,3,2025-09-21,1.91,1,18,3,M130052245
1435829347472941208,"Tokyo Homestay! Families Welcome, Private Space",699218769,佐々木,小平市,35.72813,139.51294,Private room,8100,2,0,,,1,149,0,M130012914
