id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
12854725,Enjoy your holiday. There is a park nearby.,57078189,Hiromitsu(Hiro),小金井市,35.69576,139.52234,Private room,14400,2,170,2025-09-15,1.50,2,339,11,M130000100
26169664,Experience the real modern Tokyo life,196701972,Masami,小金井市,35.69239,139.52109,Private room,10795,2,112,2025-04-06,1.32,1,46,16,M130000264
53869278,6 min to Musashi Koganei St/1 Cabin Mixed/1 person,433395359,Wild Cherry Blossom -HOSTEL,小金井市,35.6993,139.5065,Private room,5572,1,217,2025-09-16,5.39,5,178,68,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第52号
53870152,5 mins to Musashi Koganei Sta/Cabin Female/1person,433395359,Wild Cherry Blossom -HOSTEL,小金井市,35.69893,139.5087,Private room,5572,1,136,2025-09-18,3.53,5,175,26,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第52号
53870321,5 mins to Musashi Koganei Sta/Quadruple/4 people,433395359,Wild Cherry Blossom -HOSTEL,小金井市,35.6991,139.50677,Private room,20429,1,6,2025-02-28,0.17,5,168,1,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第52号
53870768,5 mins to Musashi Koganei Sta/Triple/3 people,433395359,Wild Cherry Blossom -HOSTEL,小金井市,35.6971,139.50798,Private room,15322,1,4,2023-04-06,0.12,5,170,0,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第52号
53870971,5 mins to Musashi Koganei Station/Twin/2people,433395359,Wild Cherry Blossom -HOSTEL,小金井市,35.69919,139.50743,Private room,13279,1,4,2024-03-20,0.13,5,163,0,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第52号
709686462388545781,一組限定の豪邸泊。新宿まで23分。駐車無料 　推し活にも,478344167,Akashi,小金井市,35.70673,139.52385,Private room,18000,1,1,2022-12-25,0.03,1,83,0,M130026837
762692264585948321,小さな部屋に、暮らすように滞在してみる。,488186137,三畳,小金井市,35.70421,139.52291,Private room,6000,3,27,2025-07-22,0.82,1,39,14,M130029821
1145408625636301877,まるまる貸し切りAmerican School in Japan、東京外語大、ICU 、農工大近く。,57078189,Hiromitsu(Hiro),小金井市,35.6948772,139.5229685,Entire home/apt,18172,2,9,2025-08-30,1.67,2,306,9,M130048822
1183691803111029251,新宿駅まで30分！86平米駐車場付！家族歓迎！グループ歓迎！無料Wi-Fi有,584770031,小幡,小金井市,35.6904359,139.4953647,Entire home/apt,23680,2,8,2025-09-22,0.58,1,267,7,M130041382
1437336855383768697,Quiet Solo Stay｜Direct Access to Shinjuku/Tokyo,175830525,瑶貴,小金井市,35.71060640025986,139.50899183750153,Private room,6000,1,4,2025-08-31,1.20,1,42,4,M130051748
