id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
4388283,Sunny room in residential area in 国分寺 1st Floor,10969488,Aya,国分寺市,35.70919,139.48074,Private room,6241,2,67,2023-08-31,0.51,4,65,0,M130002755
19620587,Sunny & Wide 畳 room near Music Studio in 国分寺（2F）,10969488,Aya,国分寺市,35.71072,139.48079,Private room,6551,1,76,2025-08-15,0.77,4,319,11,M130002755
20176208,JR国分寺駅徒歩3分圏内！301号室　高速WIFI 近くにショッピングモーがあります,67268289,Tommy,国分寺市,35.69987,139.47709,Entire home/apt,9531,1,186,2025-09-11,1.88,16,264,14,Hotels and Inns Business Act | 東京都多摩立川保健所 | 30立保生き第44号
20432881,Cozy Study(書斎)! Best for Long-term worker/student☆,10969488,Aya,国分寺市,35.71029,139.48091,Private room,6361,3,15,2025-05-20,0.15,4,68,1,M130002755
20863544,JR国分寺駅徒歩3分圏内！302号室　高速WIFI 近くにショッピングモーがあります,67268289,Tommy,国分寺市,35.69798,139.47893,Entire home/apt,7680,1,201,2025-09-11,2.06,16,227,20,Hotels and Inns Business Act | 東京都多摩立川保健所 | 30立保生き第45号
22946340,JR西国分寺駅から徒歩2分とアクセス抜群！長期滞在もOK！,169807146,陽子,国分寺市,35.69971,139.46581,Entire home/apt,10886,5,35,2025-08-29,0.39,7,171,4,M130004543
42125759,TOKYO PrivateHouse(1 ride-Shinjuku) w/ SMART TV,119191690,Shizuya,国分寺市,35.7077,139.47167,Entire home/apt,21659,2,53,2025-08-18,1.16,1,317,9,M130012429
48611867,小部屋番号6（注サイズ確認）部屋専用/風呂共用　東京郊外漫画多・JR新宿26分からくにたち駅/立川駅,163276166,Keita,国分寺市,35.70185,139.43363,Private room,3500,3,68,2025-09-12,1.26,9,58,16,M130001546
48615571,忍者隠部屋番号7（注寸法）部屋専用/風呂共用　東京郊外漫画多数・JR新宿26分からくにたち駅/立川駅,163276166,Keita,国分寺市,35.70361,139.43363,Private room,3500,3,22,2025-06-14,0.43,9,20,4,M130001546
48616140,家貸切/小部屋5室（注サイズ確認）東京郊外・旅人少・漫画数5千・JR新宿26分からくにたち駅/立川駅,163276166,Keita,国分寺市,35.70279,139.43389,Entire home/apt,28530,2,22,2025-06-25,0.45,9,54,1,M130001546
648335552869371751,JR国分寺駅徒歩3分圏内！304号室　高速WIFI 近くにショッピングモーがあります,67268289,Tommy,国分寺市,35.6997130291863,139.47900065094984,Entire home/apt,7581,1,40,2025-07-26,1.01,16,255,8,Hotels and Inns Business Act | 東京都多摩立川保健所 | 4立保生き第8号
830703071048390332,日久の宿ファミリータイプ,394521194,娜,国分寺市,35.699,139.4542,Private room,9950,1,24,2025-08-11,0.78,8,64,2,M130032584
830757852349073368,日久の宿ダブルルーム,394521194,娜,国分寺市,35.69493,139.45754,Private room,9829,1,20,2025-08-18,0.64,8,79,7,M130032584
884643455705015125,和モダン貸切1dk  陽当たり良い、広々空間、庭付き、無料駐車スペース（高さ制限あり)付き,394521194,娜,国分寺市,35.69745748726504,139.4561503948795,Entire home/apt,9093,1,22,2025-08-30,1.51,8,220,18,M130032584
1170648326481784206,国分寺駅まで徒歩5分／新宿駅20分圏内／アクセス抜群／高速Wi-Fi＆バリスタ珈琲店併設の302号室,581205687,徹也,国分寺市,35.7040393,139.4810427,Entire home/apt,9427,1,24,2025-09-21,1.67,4,219,18,Hotels and Inns Business Act | 東京都多摩立川保健所 | 6立保生き第9号
1186500142691570902,国分寺駅まで徒歩5分／新宿駅20分圏内／アクセス抜群／高速Wi-Fi＆バリスタ珈琲店併設の202号室,581205687,徹也,国分寺市,35.70327,139.48174,Entire home/apt,7483,1,25,2025-09-27,1.68,4,219,20,Hotels and Inns Business Act | 東京都多摩立川保健所 | 6立保生き第9号
1190417670672191939,簡素な宿１階／新宿駅20～30分の国分寺駅から徒歩7分／ダブルベッド4つ最大8名／駐車場あり,586584583,将光,国分寺市,35.6959425,139.4786269,Entire home/apt,15338,1,42,2025-09-06,3.70,2,206,42,M130041625
1238960865877646450,30 minutes from Shinjuku  2DK garden Showa house,302470997,秋,国分寺市,35.70353,139.45069,Entire home/apt,12223,2,24,2025-09-15,2.34,2,293,24,M130044404
1263472582336673385,簡素な宿２階／新宿駅20～30分の国分寺駅から徒歩7分／ダブルベッド4つ／駐車場あり,586584583,将光,国分寺市,35.6959425,139.4786269,Entire home/apt,15283,1,43,2025-09-20,3.68,2,185,43,M130041626
1308358615272533389,陽当たり抜群の和風部屋,394521194,娜,国分寺市,35.69859856141828,139.45504993200302,Private room,8211,1,7,2025-07-06,0.73,8,352,7,M130032584
