id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
9519391,4min station on foot / Shinjyuku 19min by train,28089811,Masato,狛江市,35.62867,139.57602,Entire home/apt,34015,2,228,2025-09-21,2.06,2,201,25,Hotels and Inns Business Act | 東京都多摩府中保健所 | 30府保生き第82号
25169904,Only Female Guest / Meet Local People & Feel Japan,26390584,Miyoko,狛江市,35.63485,139.58238,Private room,6650,3,138,2025-09-23,1.56,1,100,30,M130000098
50721489,Tokyo Stay / 2-min from sta / 24-min from shinjuku,302848100,Yuriko,狛江市,35.62759,139.57577,Entire home/apt,13500,1,77,2025-04-01,1.52,2,209,26,M130023834
687081224118848755,4min STA on foot/Shinjyuku 19min by train/tokyo,28089811,Masato,狛江市,35.628779,139.576316,Entire home/apt,37148,2,69,2025-08-25,2.19,2,308,24,Hotels and Inns Business Act | 東京都多摩府中保健所 | 4府保生き第85号
873754215025870460,Aesthetic Traditional Kura House,128164454,Kaz,狛江市,35.628929,139.5884862,Entire home/apt,8645,3,27,2025-08-13,0.95,2,128,10,M130033750
935829307045819648,駅から徒歩4分。新宿、渋谷、原宿まで25分。Free-wifi,178741967,Hiro,狛江市,35.62932,139.57184,Entire home/apt,,2,51,2025-09-24,1.94,1,7,22,M130018749
960364303336660703,Budget Stay for Max. 4  in Tokyo,128164454,Kaz,狛江市,35.63123,139.58383,Private room,6388,3,34,2025-07-30,1.44,2,212,9,M130035350
988081734785294148,Komae Art House-building B-,47350689,Sohei,狛江市,35.63498915830381,139.57535473323435,Entire home/apt,9450,5,26,2025-09-03,1.13,9,245,17,M130035962
1046078473010747986,"Cozy Private House, 3 BR, 3 min to Sta, Shinjuku",527371941,Natsuki,狛江市,35.63107,139.57798,Entire home/apt,29646,2,56,2025-09-27,2.63,2,151,29,M130037775
1079346352169235908,[monthly]Private house｜High speed Wi-Fi｜100㎡3LDK,527371941,Natsuki,狛江市,35.63098360286967,139.57803760524206,Entire home/apt,16200,28,4,2025-07-04,0.27,2,135,3,M130037775
1098853368128164411,Tokyo Stay / 2-min from sta / 24-min from shinjuku,302848100,Yuriko,狛江市,35.6279085783439,139.57444725980395,Entire home/apt,13500,1,27,2025-07-21,1.51,2,0,10,M130023835
1239447268664169782,Shinjuku20min/Shibuya24min/1345sqft/4BRs/7Bds/2Bth,599521774,Yoshihiro,狛江市,35.63844,139.58059,Entire home/apt,40579,2,30,2025-09-21,2.57,5,167,30,M130040591
1372012280803014854,Komae Art House-A ４mins from station.,47350689,Sohei,狛江市,35.63353756465407,139.57489935940464,Entire home/apt,8100,10,3,2025-05-05,0.49,9,226,3,M130035961
1373130205928188583,Near Shinjuku / 5min to Sta. / Spacious 3BD Home,75738942,Taro Hanako,狛江市,35.63482805416906,139.57594133767364,Entire home/apt,18090,2,12,2025-08-31,1.94,2,213,12,M130048670
1414945685530904669,Near Shinjuku / 5min to Sta. / Spacious 3LDK Home,75738942,Taro Hanako,狛江市,35.633574317178045,139.57618677643694,Entire home/apt,14412,30,0,,,2,154,0,M130048670
1418125385359284078,新宿20分/渋谷24分/バレルサウナ&温度調節可能な水風呂/BBQ/駐車場2台分(高さ制限),599521774,Yoshihiro,狛江市,35.63958170766464,139.58052837368223,Entire home/apt,28800,30,0,,,5,167,0,M130040591
1482313302601754154,Shinjuku20+mins Train. 4BR. 8 Beds. 2BA,599521774,Yoshihiro,狛江市,35.62431,139.57928,Entire home/apt,36429,2,0,,,5,327,0,M130055556
