id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
4222643,Decoboco hanare,21769906,Decoboco,江東区,35.6806,139.81931,Entire home/apt,14243,2,367,2025-09-21,2.74,3,62,28,M130015171
5080877,Decoboco,21769906,Decoboco,江東区,35.68162,139.81859,Entire home/apt,11987,1,304,2025-09-22,2.35,3,78,38,Hotels and Inns Business Act | 江東区保健所 | 5江健生環へ第５４１号
6854721,Decoboco＋,21769906,Decoboco,江東区,35.67986,139.81736,Entire home/apt,11779,2,235,2025-09-16,1.89,3,66,38,Hotels and Inns Business Act | 江東区保健所 | ５江健生環へ第558号
13094509,Convenient for Tokyo experience Free wifi#302,67661297,Masahiro,江東区,35.6797,139.81599,Private room,9040,2,146,2025-08-24,1.30,33,146,27,Hotels and Inns Business Act | 東京都江東区保健所 | 第30江健生環き第116号
13674555,Direct to Akihabara! 3mins to JR Kameido STA /#201,79564261,Takashi,江東区,35.69904,139.82715,Entire home/apt,9033,1,280,2025-09-26,2.51,5,10,41,Hotels and Inns Business Act | 江東区保健所 | 30江健生環き第55号
15181741,Direct to Akihabara! 3mins to JR Kameido STA /#301,79564261,Takashi,江東区,35.69848,139.826,Entire home/apt,9033,1,227,2025-09-13,2.08,5,7,42,Hotels and Inns Business Act | 江東区保健所 | 30江健生環き第55号
17611582,"Direct to Shinjuku, Shibuya, 2-min to Subway, 2F",40951044,Lei,江東区,35.68269,139.8045,Private room,24878,2,87,2025-08-27,0.84,7,301,9,Hotels and Inns Business Act | 東京都江東区保健所 | ３０江健生環き第１２５号
17899208,#102 総武線新宿直通！買い物超便利！付近ショッピングモールあり！銀座、秋葉原！,33962432,肖冰,江東区,35.69789,139.83699,Entire home/apt,8643,3,90,2025-05-25,0.87,13,327,11,Hotels and Inns Business Act | 江東区保健所長 | ３０江健生環き第49号
21004573,"Tokyo Guest Room, 2BedRooms & 2Free Portable Wi-Fi",94725093,Peter Shinzo & Maya,江東区,35.69659,139.84293,Entire home/apt,14692,1,196,2025-09-15,2.37,1,146,40,Hotels and Inns Business Act | 江東区保健所 | ３０江健生環き第６９号
21399943,Whole house rent!!KOKORO  HOUSE TOKYO !,51037966,Takeshi,江東区,35.69287,139.82251,Entire home/apt,25672,1,280,2025-09-29,2.93,1,118,55,Hotels and Inns Business Act | 江東区保健所 | ３０江健生環き第８９号
22574500,#2 Traditional room★FreeWifi★400m➡︎station,118245621,Dat,江東区,35.68533,139.83437,Private room,8200,1,268,2025-09-27,2.94,3,106,54,Hotels and Inns Business Act | 江東区保健所 | ４江健生環き第３０号
