id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3563698,30MinToTokyo|ResidentialArea|Nomadwork|,11583876,Ken,町田市,35.58911,139.48023,Entire home/apt,7033,4,138,2025-09-25,1.02,3,300,9,M130000249
5936568,"Private apartment in Tokyo machida, 17m2",22038803,Suda,町田市,35.56134,139.46284,Entire home/apt,5225,3,77,2025-08-22,0.61,1,254,5,M130000362
6562355,Middle of Shinjuku and Kamakura,2008948,Miharu,町田市,35.55057,139.45385,Private room,6634,1,55,2025-05-27,0.47,1,86,9,M130001828
6592213,Thailand house(Japanese-style room),34475322,Masaru,町田市,35.5866232162352,139.485919120729,Private room,4484,1,213,2025-09-28,1.71,4,35,24,M130000049
7281726,Reiko's cosy flat near Tamagawa University,38131090,怜子,町田市,35.55741,139.45917,Entire home/apt,11901,1,49,2025-09-23,0.46,1,89,6,M130000934
8450948,広い間取りの家と買い物がとても便利,44316986,Yukio,町田市,35.59061,139.46899,Entire home/apt,7200,2,195,2025-09-10,1.69,3,194,16,Hotels and Inns Business Act | 東京都町田市保健所 | １９町保環第４１１号
10061035,Choop KhonThai House,34475322,Masaru,町田市,35.585775428467905,139.4868935239154,Private room,3143,1,257,2025-09-19,2.22,4,35,33,M130000049
18897893,広い間取りの家と買い物がとても便利,44316986,Yukio,町田市,35.5902,139.4691,Entire home/apt,7760,2,115,2025-08-13,1.16,3,204,14,Hotels and Inns Business Act | 東京都町田市保健所 | １９町保環第４１１号
20867271,DP 小山町  日式一户建旅馆，4室两厅两卫，设施齐全方便，可提供10名客人的独立使用,115657313,竹内,町田市,35.60061264038086,139.3575897216797,Entire home/apt,37599,1,5,2025-09-10,0.89,1,333,5,Hotels and Inns Business Act | 町田市保健所 | 24町保環第435号
21207891,Choop Khonthai House( have piano kitchen),34475322,Masaru,町田市,35.5849,139.48733,Private room,10043,2,55,2025-09-28,0.57,4,47,9,M130000049
22637380,"Arc Plaza Guest House 104, Machida",11135133,Odamura Kimiko,町田市,35.56173,139.45773,Private room,4833,2,28,2025-09-20,0.31,2,179,3,M130000158
25987300,"Arc Plaza Guest House 302, Machida",11135133,Odamura Kimiko,町田市,35.56182,139.45782,Private room,4833,2,55,2025-09-12,0.63,2,157,9,M130000158
42629358,Choop Khonthai House(Exclusively for your group),34475322,Masaru,町田市,35.58501794680638,139.48759431666653,Entire home/apt,14272,3,1,2025-07-03,0.34,4,96,1,M130000049
740167239626120653,可愛い犬と猫と過ごす可愛い部屋/渋谷・横浜・羽田空港へアクセス良好 無料送迎・朝食・無料自転車,238693060,Kumiko,町田市,35.52094,139.47455,Private room,6178,2,37,2025-09-21,1.42,4,299,18,M130033702
794651466802499949,広い間取りの一軒家ととても静かな住宅街,44316986,Yukio,町田市,35.57835,139.45493,Entire home/apt,8100,2,43,2025-09-19,1.33,3,204,17,M130032495
865547764432210573,Two Private Rooms in a sharehouse at Tokyo Machida,509199253,Mutawakil Al,町田市,35.56275733241208,139.46423332688946,Private room,10260,4,22,2025-08-18,0.74,4,340,8,M130054926
923420459694212226,町田の隠れ家！都心へのアクセス最高！大人数向き,475404728,Haruo,町田市,35.574322964472145,139.4954902075777,Entire home/apt,106572,7,0,,,1,83,0,M130034620
969001518643840457,可愛い犬と猫と過ごすモダンな部屋/渋谷・横浜 羽田空港へのアクセス良好 無料送迎・朝食・自転車,238693060,Kumiko,町田市,35.52291930175971,139.47424585041676,Private room,5660,1,50,2025-09-14,2.01,4,222,23,M130033702
984599881954128242,"Machida/商店街にある
Life Style HOTEL",538029543,Sayaka,町田市,35.5901394,139.4688281,Private room,4544,1,95,2025-09-26,3.97,1,295,60,Hotels and Inns Business Act | 町田市保健所 | ２３町保環第７９号
1011746291838502995,One Private Room in a 4BR share-house in Tokyo,509199253,Mutawakil Al,町田市,35.5622972,139.4654099,Private room,6614,4,18,2025-09-18,0.81,4,159,8,M130054926
1086860889081457003,Tokyo retreat|hidden gem|Authentic tiny house,11583876,Ken,町田市,35.58963,139.47938,Entire home/apt,10044,3,33,2025-09-18,1.82,3,309,25,M130038211
1088495882698710236,"6 min walk from Naruse station. Loft type,",551085288,Pqd,町田市,35.53954,139.47439,Entire home/apt,8193,1,14,2025-08-03,0.75,7,129,6,M130037413
1088541160993818664,6 min walk from Naruse station Loft Type,551085288,Pqd,町田市,35.53902589676078,139.47268832433056,Entire home/apt,8072,1,23,2025-08-04,1.24,7,100,8,M130037412
1138489738630518499,Monthly stay  JR yokohama line Loft type,572661918,隼人,町田市,35.53974,139.47238,Entire home/apt,5000,30,1,2024-12-22,0.11,5,188,1,M130037413
1139246504508234031,monthly rent 6 min walk from Naruse station,572661918,隼人,町田市,35.540853468777584,139.47254790744805,Entire home/apt,6766,30,3,2025-07-25,0.43,5,304,3,M130037412
1152079129740700036,Shared:Accessible to Tokyo & Mt Takao & Cool Spots,58794830,濱井,町田市,35.60460626113139,139.33493261613745,Private room,8427,1,14,2025-05-05,0.85,2,364,10,M140040337
1182327824050649529,Rent an entire temple lodging with beautiful views,519712224,白岩,町田市,35.57792,139.42617,Entire home/apt,13800,1,5,2025-09-14,0.52,1,121,5,M130031569
1211321952250676314,Doraemon-One private room at shared house in Tokyo,509199253,Mutawakil Al,町田市,35.5622972,139.4654099,Private room,6289,4,3,2025-03-31,0.22,4,218,2,M130054926
