id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1268465,"No share Private APT
8 min from Ebisu station",1913570,Sugi,目黒区,35.63953,139.7097,Private room,11699,4,40,2025-09-20,0.27,1,21,18,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第１００号
1394124,Solar power/Car space/near to park,5710367,David,目黒区,35.62039,139.69983,Entire home/apt,31429,2,351,2025-07-26,2.37,1,196,31,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
3372902,アジアンミックステイストの癒される空間,17018818,Miri,目黒区,35.61728,139.6679,Entire home/apt,8135,2,161,2025-05-31,1.18,1,116,6,M540000008
6308465,"60㎡,5beds,3mins to Shibuya Sta",32815136,Ayako,目黒区,35.64284,139.70001,Entire home/apt,26286,2,264,2025-09-26,2.23,4,159,63,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第78号
10091405,The room of a quiet house with 3 cats,32489578,Kazuhiro,目黒区,35.63483,139.68904,Shared room,11765,2,316,2025-09-06,2.67,1,130,46,M540000012
11711938,Roof Terrance/Car space/Luggage Deposit/Free wifi,62053989,Yukari,目黒区,35.65033,139.69,Entire home/apt,37715,2,370,2025-09-14,3.20,1,172,41,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第108号
13496408,Contemporary Meguro Riverside Studio,63345781,Joel Yao,目黒区,35.63195,139.71046,Entire home/apt,,30,90,2024-08-21,0.80,15,0,0,M130027222
14303699,Cozy & Comfortable Meguro Riverside Studio,63345781,Joel Yao,目黒区,35.6317,139.71147,Entire home/apt,,30,88,2025-07-31,0.79,15,0,2,M130027231
14788150,渋谷駅6分 55㎡ ベッド5台 最大5人 祐天寺駅徒歩1分 スイートルーム デザイナーズ物件,82969299,慶太郎,目黒区,35.63725,139.69302,Entire home/apt,26190,1,195,2025-09-25,1.77,1,193,44,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第79号
16315916,Mellon House | 15 min to Shibuya,1453084,Shotaro,目黒区,35.61609,139.68012,Entire home/apt,30976,1,45,2024-11-17,0.42,2,266,2,M130040672
17514925,Urban Zen Studio w/Balcony in Meguro,63345781,Joel Yao,目黒区,35.63208,139.70984,Entire home/apt,,30,72,2023-08-29,0.69,15,20,0,M130027229
18396319,Bright & Modern Meguro Riverside Studio,63345781,Joel Yao,目黒区,35.63025,139.71106,Entire home/apt,,30,65,2025-07-24,0.64,15,1,4,M130027234
20257694,Monthly Solo Lady ONLY Spacious Room near Shibuya,6648611,Yukiko,目黒区,35.62245,139.67544,Private room,5775,28,13,2020-02-19,0.15,2,177,0,M540000004
20258740,Solo Lady ONLY一人旅女性専用：渋谷に近い広いお部屋,6648611,Yukiko,目黒区,35.622686540485624,139.6759722593092,Private room,7125,2,55,2025-08-06,0.59,2,38,8,M540000004
24526523,#2 Double Bed room/1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64328,139.69885,Private room,15658,1,48,2025-07-14,0.54,8,45,7,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24527406,#3 Double Bed room/1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64301,139.69763,Private room,15658,1,73,2025-09-19,0.82,8,59,23,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第112号
24563559,#4 Double Bed room/1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64446,139.69916,Private room,15658,1,52,2025-06-25,0.59,8,66,11,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24564188,#5 Twin room/1 min from Train St!,178555181,Waves Nakameguro,目黒区,35.64456,139.69718,Private room,,1,51,2025-09-19,0.58,8,84,9,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24565478,#6 Twin room w/ 1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64493,139.6977,Private room,17943,1,61,2025-05-03,0.69,8,62,5,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24584935,#7 Twin room/1min fromTrain St!,178555181,Waves Nakameguro,目黒区,35.64488,139.69838,Private room,17943,1,91,2025-09-25,1.03,8,73,16,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
24586495,#8 Twin room /1min from Train St!,178555181,Waves Nakameguro,目黒区,35.64297,139.69728,Private room,17943,1,93,2025-09-13,1.05,8,90,10,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第112号
25784847,Licensed! Monthly OK Cozy Nakameguro/Shibuya Ebisu,193217620,Yuki & Sosuke,目黒区,35.63893,139.69364,Entire home/apt,14000,1,230,2025-07-13,2.59,2,22,38,M540000006
26825588,SHIBUYA20Min/Private House/5BR/10Beds/120㎡/ A102,201736124,Kumi,目黒区,35.62093,139.69958,Entire home/apt,46429,2,134,2025-09-15,1.53,1,203,26,Hotels and Inns Business Act | 東京都目黒区保健所 | 目健衛環き第71号
