id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
4606903,Reversible Destiny Lofts—Mitaka (for 2people),23871736,Matsuda,三鷹市,35.680981,139.538055,Private room,19800,3,63,2025-09-15,0.56,2,146,18,M130004784
4673248,Reversible Destiny Lofts—Mitaka (for 4people),23871736,Matsuda,三鷹市,35.680981,139.538055,Entire home/apt,22500,3,76,2025-08-08,0.60,2,101,10,M130004785
14832676,SUMIRE AOI HOUSE - Minimal Japanese House,58519385,Aoi,三鷹市,35.69063,139.55023,Entire home/apt,19200,1,204,2025-09-12,3.27,1,26,45,M130025103
19895403,【3min walk from Ghibli Museum】 Long stay welcome　,47350689,Sohei,三鷹市,35.69113,139.56947,Private room,4500,5,102,2025-09-22,1.02,9,325,14,Hotels and Inns Business Act | 東京都多摩府中保健所 | 30府保生き第40号
23790561,【3min walk from Ghibli Museum】 Long stay welcome　,47350689,Sohei,三鷹市,35.69062,139.56976,Private room,4500,5,72,2025-08-18,0.80,9,330,10,Hotels and Inns Business Act | 東京都多摩府中保健所 | 30府保生き第40号
27990973,Max 11 guests/detached house/free wifi/large house,211411086,千恵,三鷹市,35.66888,139.57423,Entire home/apt,29408,1,245,2025-09-13,2.90,2,168,34,M130006445
30336522,Fully Renovated! Ghibli & Convenience Store Nearby,47350689,Sohei,三鷹市,35.6903,139.57038,Private room,5143,7,4,2025-08-11,0.75,9,144,4,Hotels and Inns Business Act | 東京都多摩府中保健所 | 30府保生き第40号
32647805,Month 京王線仙川駅最大11名滞在可能、140平米新築一軒家/丸々貸切　吹抜けリビングのお家です,211411086,千恵,三鷹市,35.66892,139.5728,Entire home/apt,25035,30,9,2025-01-30,0.13,2,160,1,M130006445
33226150,【3min walk from Ghibli Museum】 Long stay welcome,47350689,Sohei,三鷹市,35.69058,139.56863,Private room,4500,5,44,2025-06-18,0.56,9,337,11,Hotels and Inns Business Act | 東京都多摩府中保健所 | 30府保生き第40号
41824262,Ghibli Museum#Mitaka sta 5 mins walk#5 beds,330555889,Rika,三鷹市,35.69924,139.56299,Entire home/apt,12215,1,134,2025-09-09,2.10,1,97,31,Hotels and Inns Business Act | 東京都多摩府中保健所 | 31府保生き第131号
