id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3657357,"2 TINY Apartments, 1 Listing Central Near Shinjuku",4847803,Best Stay In Tokyo!,中野区,35.70928,139.6872,Entire home/apt,24648,4,64,2025-09-13,0.48,9,305,10,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第92号
4141228,#211 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),中野区,35.73417,139.63328,Entire home/apt,9328,3,90,2024-12-19,0.71,11,270,4,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
4616579,Furnished Private Apt.213,17736560,タツロウ (Taturo),中野区,35.73414,139.63305,Entire home/apt,9328,3,94,2025-04-23,0.73,11,270,6,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5070495,Private Cozy Apt. 111 in Tokyo,17736560,タツロウ (Taturo),中野区,35.73496,139.63132,Entire home/apt,9328,3,91,2024-12-30,0.70,11,270,3,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5217466,#411 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),中野区,35.73404,139.63128,Entire home/apt,9819,3,118,2025-04-21,0.91,11,240,7,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5262640,Private Cozy Apt in Tokyo 413,17736560,タツロウ (Taturo),中野区,35.73445,139.63139,Entire home/apt,,3,71,2025-04-21,0.55,11,270,4,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5516726,Mt. Fuji & Skytree view from the rooftop.,24781998,Airin,中野区,35.72182,139.64125,Private room,21357,1,33,2025-06-11,0.26,1,68,9,M130000774
5641920,#312 Furnished Private Apt.,17736560,タツロウ (Taturo),中野区,35.7348,139.63141,Entire home/apt,11355,3,42,2025-05-17,0.33,11,257,6,Hotels and Inns Business Act | 中野区保健所 |  30中環生環第52号
8619851,静かな住宅街のテラスのある広い家 103㎡　新宿から15分の野方駅　徒歩7分　昔からのレストラン多数,26761196,Yoko&Yasuhiro,中野区,35.71702,139.64708,Entire home/apt,,5,122,2025-09-19,1.09,1,78,23,M130000155
9206226,Dormitory for women,46900709,Grapehouse Koenji,中野区,35.71019,139.64929,Shared room,4900,1,201,2025-09-17,1.72,4,114,41,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
9332804,Near Nakano | Just like a ninja mansion!,38824029,Tami,中野区,35.711691387131125,139.6639190374344,Entire home/apt,17716,1,3,2025-09-23,1.55,1,209,3,M130051987
9442462,Private Room for women,46900709,Grapehouse Koenji,中野区,35.7102,139.64928,Private room,9858,1,44,2025-09-14,0.42,4,35,16,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
9619095,OffiialSuperHost/Shinjuku2stop&4min/pocketWiFi/1F,31486638,Shin,中野区,35.70675,139.68051,Entire home/apt,,10,146,2024-02-09,1.24,1,0,0,M130005222
10366183,"Dormitory  for women, Muscat",46900709,Grapehouse Koenji,中野区,35.71029,139.64928,Shared room,4900,1,242,2025-09-08,2.07,4,148,25,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
11640593,25 private cozy room in Tokyo,60002368,Ryo,中野区,35.73282,139.67266,Private room,12736,3,41,2025-04-21,0.35,4,270,4,M130001823
12071858,"Studio  in West Shinjuku, local neighbourhood",64686470,Cassandra & Mikoto,中野区,35.68727,139.67519,Entire home/apt,11400,2,262,2025-06-10,2.28,4,24,16,M130000549
12972960,HOMESTAY TYPE TATAMI & FUTON EXPERIENCE in Tokyo,69345233,Masumi,中野区,35.71821,139.633,Private room,14697,3,83,2025-05-20,0.78,1,154,8,M130000817
13226761,"Grapehouse,only for women: ８ min to Shinjuku",46900709,Grapehouse Koenji,中野区,35.71019,139.64929,Shared room,4500,1,211,2025-09-16,1.88,4,309,43,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第245号
14797464,calm room-D  3min from Shinjuku by Subway,24026566,Kazu,中野区,35.69123,139.67944,Private room,,1,127,2025-08-12,1.15,1,0,4,M130001011
14877581,4 min to Shinjuku: Twin Room in Tokyo 101,1174369,Naoki,中野区,35.7013,139.66502,Entire home/apt,17100,3,267,2025-09-11,2.44,2,292,25,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15166946,4 minutes to Shinjuku: New Tokyo Apartment 102,41013044,Aileen,中野区,35.70121,139.66498,Entire home/apt,17131,3,311,2025-09-23,2.91,25,269,46,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15196934,4 minutes to Shinjuku: New Tokyo Apartment 201,41013044,Aileen,中野区,35.7013,139.66505,Entire home/apt,18000,3,254,2025-09-20,2.32,25,313,37,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15209544,4 minutes to Shinjuku: New Tokyo Apartment 202,41013044,Aileen,中野区,35.70127,139.66505,Entire home/apt,17131,3,242,2025-07-31,2.21,25,287,31,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
15698593,Mika House in Shinjuku,82006876,Mika,中野区,35.70936,139.68646,Entire home/apt,10000,1,157,2025-09-23,1.47,1,192,30,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第207号
16258250,House with Hammok 3BR  Easy access Shinjuku  HNK,29253527,Momo,中野区,35.68288040161133,139.66322326660156,Entire home/apt,26572,3,129,2025-08-05,1.21,8,224,17,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第244号
16409316,4 minutes to Shinjuku: New Tokyo Apartment 203,41013044,Aileen,中野区,35.70134,139.66507,Entire home/apt,22938,3,334,2025-09-18,3.14,25,245,47,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第176号
16425779,Cozy Shinjuku Urban Flat 201. 2mins walk to st.,62389310,Yuwei,中野区,35.69132,139.68285,Entire home/apt,,2,87,2025-08-27,0.83,11,303,13,Hotels and Inns Business Act | 東京都渋谷区 | 30渋保生環旅第9号
16954388,[2A] PET OK!  Entire 1BedRoom  (410sq ft) APT,100098226,Tomoko Cathy,中野区,35.68784,139.66299,Entire home/apt,9048,2,174,2025-06-02,1.67,3,250,27,Hotels and Inns Business Act | 東京都杉並区杉並保健所 | 30杉保衛環第279号
17304792,新宿迄電車4分　駅徒歩5分　ブロードウェイ徒歩1分　広々45平米の1LDK お一人様からOk長期可能,71738094,Yuka,中野区,35.71011,139.66478,Entire home/apt,23250,3,288,2025-09-18,2.78,2,81,43,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第54号
17320863,TINY Central Apartment 7 Minutes from Shinjuku 1F,4847803,Best Stay In Tokyo!,中野区,35.70921,139.6872,Entire home/apt,17382,5,98,2025-02-02,1.07,9,317,2,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第92号
19166798,【2025年3月受入再開】新宿まで7分/広めのベランダ、夜景が人気。ビジネスにオススメ!【長期割引】,114932477,晃史,中野区,35.6945,139.68314,Entire home/apt,12068,14,42,2025-07-05,0.42,1,5,4,M130023188
19247321,"Shinjuku Urban Flat 101, 2mins walk to station",62389310,Yuwei,中野区,35.6914,139.68277,Entire home/apt,10977,2,60,2025-05-22,0.60,11,300,6,Hotels and Inns Business Act | 東京都渋谷区 | 30渋保生環旅第8号
19368458,3LDK with night view/14 people/5 mins  from Sta.,52075941,Hikari,中野区,35.68965,139.66792,Entire home/apt,30000,3,167,2025-09-02,1.68,11,246,14,Hotels and Inns Business Act | 中野区保健所 | 31中健衛環第218号
19466493,"Cosy studio in West Shinjuku, local neighbourhood",64686470,Cassandra & Mikoto,中野区,35.68822,139.67507,Entire home/apt,11400,2,173,2025-06-22,1.73,4,16,15,M130000551
19518081,HABI,137078469,登志,中野区,35.70644,139.6846,Entire home/apt,,2,35,2019-12-03,0.36,1,0,0,M130002254
20020282,Near Shinjuku Area/6mins to subway/Wi-Fi/ R601,52075941,Hikari,中野区,35.68751,139.66794,Entire home/apt,18715,3,85,2025-06-01,0.86,11,291,12,Hotels and Inns Business Act | 中野区保健所 | 31中健衛環第218号
20020699,Shinjuku Area/6min to subway /3BR/Wi-Fi/Nakano701,52075941,Hikari,中野区,35.68814,139.66964,Entire home/apt,33572,3,99,2025-09-17,1.00,11,221,11,Hotels and Inns Business Act | 中野区保健所 | 31中健衛環第218号
