id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
13715353,団体様歓迎。広々とした日当たりの良いお部屋のご用意あります。陽当たり良好ご家族様に大変喜ばれます。,74130721,末光,西東京市,35.72091,139.54915,Private room,5643,1,83,2025-06-11,0.78,3,162,15,M130000376
15529299,静かな住宅、ファミリーやグループ大歓迎、武蔵野大学の近く、交通と買い物が便利、,74130721,末光,西東京市,35.72232,139.55103,Private room,5643,1,95,2025-09-27,0.90,3,127,20,M130000376
16078370,武蔵野大学の近く、吉祥寺、新宿、渋谷に行くのに便利、JR中央線、西武新宿線にアクセス良好,74130721,末光,西東京市,35.72041,139.55202,Private room,5643,1,146,2025-09-17,1.37,3,121,20,M130000376
23364063,Relax in a Zen garden just 3 min from the station.,174129585,Kenichi,西東京市,35.74896,139.56729,Entire home/apt,36508,1,93,2025-09-19,1.02,1,259,18,M130008845
32096550,⁉︎新宿20m.DonDonDonki Japanese Zen room 駅 歩8分Walmart等,116761693,Kenji,西東京市,35.7257,139.54523,Entire home/apt,11692,1,149,2025-08-25,1.85,5,87,25,M130007654
33121264,新宿20m.新築build by Muji 駅徒歩8分Walmart 無料駐車四季bbq可,116761693,Kenji,西東京市,35.72722,139.54391,Entire home/apt,28888,1,223,2025-09-21,2.81,5,144,33,M130014385
1004238195002191209,⁈新宿 20分Quiet cozy room Walmart DonDonDonk駅8分 無料駐車,116761693,Kenji,西東京市,35.727315498386965,139.5441706326465,Entire home/apt,16032,1,56,2025-09-08,2.50,5,92,28,M130007655
1104036564139060537,一軒家#駅-徒歩5分#8名様#ファミリー歓迎#アクセス良好#閑静,243214612,大輔,西東京市,35.75329976198724,139.54808213187712,Entire home/apt,18598,1,6,2025-05-22,0.34,36,222,3,M130038195
1197026705629590085,M House_6名宿泊可！温もりあふれる、西東京の隠れ家民泊,550769270,Rip,西東京市,35.758762422624656,139.55971369517846,Entire home/apt,10080,1,12,2025-07-26,0.87,1,143,10,M130040806
1378745698822743301,"新宿20min, 駅徒歩7min,Quiet 1LDK 駅前Walmart等 Ramen 202",116761693,Kenji,西東京市,35.72991773828021,139.54466998641786,Entire home/apt,17079,1,1,2025-04-13,0.18,5,174,1,M130047579
1382352609366066405,"新宿20min, 駅徒歩7min,Quiet 1LDK 駅前Walmart等 Sushi 201",116761693,Kenji,西東京市,35.7287233,139.5443217,Entire home/apt,16238,1,3,2025-06-04,0.67,5,105,3,M130047578
1440082960087163737,[新宿、急行２０分］田無駅徒歩１０分、静かなエリア、新築アパート１階のきれいなお部屋、３人まで利用可,346619111,Akira,西東京市,35.73118664652173,139.54736693809815,Entire home/apt,9286,3,6,2025-09-27,2.28,2,199,6,M130050534
1445288626652151453,[新宿、急行20分]田無駅徒歩10分、新築アパートの１階、静かなエリア、バス停目の前,346619111,Akira,西東京市,35.73032,139.54678,Entire home/apt,8428,3,4,2025-09-22,2.03,2,231,4,M130050535
