id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
20322003,青梅(東京)ゲストハウス「青龍kibako」男子限定ドミトリー,125514184,正浩,青梅市,35.78854,139.25822,Shared room,3366,1,42,2025-07-13,0.42,1,270,2,Hotels and Inns Business Act | 東京都西多摩保健所 | 3西保生き第20号
30798948,B&B 東青梅: 100年前の古民家,230416584,Toshihiro,青梅市,35.83064,139.26394,Private room,14379,1,128,2025-09-14,1.63,1,49,20,M130009530
622075093082884020,Escape to Tokyo’s nature in a 100-year-old kura.,332764775,Asagiya,青梅市,35.79908,139.18275,Entire home/apt,23786,1,72,2025-08-17,2.14,1,223,21,M130031791
658229305828311847,屋根つきデッキのある丸々貸切の古民家,466289718,行弘,青梅市,35.80547196851864,139.18666122983933,Entire home/apt,10384,1,179,2025-09-25,4.59,1,38,58,M130030622
693408583823556781,仲間と過ごす日本の古民家,474979321,直子,青梅市,35.7996835,139.1822355,Entire home/apt,12553,1,146,2025-09-25,3.86,7,354,50,M130029323
742415255227087379,Kamiya Resort Okutama Terrace & Bath,447335780,Kamiya,青梅市,35.80139,139.17668,Entire home/apt,17820,1,51,2025-09-12,1.48,1,159,7,M130032106
764969531009625240,ペットと気軽に泊まれるお部屋,474979321,直子,青梅市,35.800122256544135,139.1831516535093,Private room,4991,1,66,2025-09-21,2.26,7,359,21,M130030502
765055959155131602,懐かしい空間～おばあちゃんちに来たみたい,474979321,直子,青梅市,35.80066,139.18227,Entire home/apt,6606,1,114,2025-09-26,3.29,7,345,40,M130030502
833624851739565143,"Home Stay Experience or Remote Work in Ome, Tokyo!",10261093,Naoya,青梅市,35.798209262108685,139.2230510305634,Private room,,2,4,2025-02-09,0.14,1,0,2,M130026132
904860586267400485,青梅駅 森の宿3号館,58995267,Ju-Hsuan,青梅市,35.79099,139.25409,Private room,4800,1,50,2025-08-19,1.77,6,272,13,M130034087
906441301885715369,青梅駅森の宿7号,58995267,Ju-Hsuan,青梅市,35.78967260520457,139.25212092199916,Private room,4800,1,15,2024-10-01,0.55,6,272,1,M130034087
