id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1749157,6LDK｜6 min to Shinagawa｜ 20 min to Shibuya,9203725,DeepTokyo,大田区,35.58958,139.72636,Entire home/apt,,3,67,2025-02-27,0.46,6,151,2,M130032025
2080626,"303｜ 6 min to Shinagawa, 20 min to Shibuya｜NO AC",9203725,DeepTokyo,大田区,35.58862,139.72755,Private room,9916,2,73,2025-08-28,0.52,6,143,9,M130032025
2129325,"5 mins to JRShinagwa, AuthenticTraditionalTea Room",9203725,DeepTokyo,大田区,35.59062619880348,139.72270641956314,Private room,11095,2,36,2025-09-24,0.26,6,313,11,M130032025
2129455,"201｜ 6 min to Shinagawa, 20 min to Shibuya",9203725,DeepTokyo,大田区,35.5894809,139.7236255,Private room,11173,1,28,2025-09-11,0.20,6,171,13,M130032025
3389878,"202｜ 6 min to Shinagawa, 20 min to Shibuya",9203725,DeepTokyo,大田区,35.5894809,139.7236255,Private room,8109,1,31,2025-09-24,0.23,6,139,12,M130032025
5738050,Enjoy local life in Tokyo,29758027,Chieko,大田区,35.56976,139.69158,Entire home/apt,5915,3,190,2025-09-21,1.49,1,60,14,Special Economic Zoning Act | 30健生発第10252号
9036683,2 min. to Asakusa line - Quiet area,47063863,Masa,大田区,35.59621,139.70935,Entire home/apt,7315,2,219,2025-09-08,1.90,1,88,38,Special Economic Zoning Act | 30健生発第11480号
14210579,*Max16people* EnjoyGame&MangaGuesthouse.Dormitory,86175034,俊行 Toshiyuki,大田区,35.55425,139.73931,Private room,71315,1,70,2023-03-05,0.63,4,148,0,Hotels and Inns Business Act | 東京都大田区保健所 | 保生環第0508号
14523283,"7km from Haneda Airport,one bedroom(101)",89759853,Kuninaka,大田区,35.584209,139.726868,Private room,9229,1,287,2025-09-21,2.77,3,346,28,M130000260
14696739,A【11min to Airport!】Easy access to Central Tokyo!,60140616,Liang,大田区,35.57135,139.72803,Entire home/apt,11943,2,194,2025-09-10,1.87,3,338,23,Special Economic Zoning Act | 28健生発第12191号
