id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1016831,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Wakana,世田谷区,35.658,139.67134,Private room,24143,1,284,2025-09-21,1.87,1,80,16,M130001107
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,世田谷区,35.60742,139.67616,Private room,9200,3,217,2025-09-16,1.46,1,330,22,M130000057
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari,世田谷区,35.65897,139.60988,Private room,4275,2,59,2025-06-09,0.41,1,13,6,M130000196
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,世田谷区,35.63858,139.64624,Entire home/apt,36969,2,143,2025-08-23,1.02,1,291,12,M130000611
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,世田谷区,35.62942,139.63077,Private room,14195,1,105,2025-04-21,0.78,1,257,10,M130001108
5673677,羽根木の森の部屋,15282125,Kanako,世田谷区,35.66432,139.65839,Private room,15200,4,83,2025-09-16,0.67,2,164,8,M130008796
6439108,Daisuke's Luxurious Shimokita Entire 1Bed Apt #2,10705201,Daisuke,世田谷区,35.66106,139.66859,Entire home/apt,18539,2,320,2025-09-21,2.55,3,271,45,Hotels and Inns Business Act | 東京都世田谷保健所 | 30世保生環き第339号
6646878,near shibuya quiet residential area,34561184,Toshiro & Tanya,世田谷区,35.65191,139.66968,Private room,13406,30,105,2025-06-07,0.84,7,350,3,M130000233
7484849,"10min to Shibuya,Shinjuku Cosy room",39201606,Yamagata,世田谷区,35.66510009765625,139.6403350830078,Private room,18000,1,70,2025-04-21,0.57,1,199,1,M130001003
7940139,designer house near Shimokitazawa,24957450,Alexander,世田谷区,35.66913,139.65991,Entire home/apt,34388,1,33,2023-11-06,0.29,1,83,0,M130006578
8416408,Near SHIBUYA Quiet Residential Area,34561184,Toshiro & Tanya,世田谷区,35.65192,139.66968,Private room,15406,30,90,2025-04-01,0.74,7,286,9,M130000233
8447162,Special Price☆Enjoy the huge house☆SHIMOKITA TOKYO,14382431,Kyoko,世田谷区,35.66326,139.66277,Entire home/apt,31429,3,216,2025-09-17,1.79,1,268,22,M130009249
9220374,Shimokitazawa ｜80㎡ Loft + Balcony Studio｜Sleeps 4,5673204,Shinichi,世田谷区,35.66241,139.67474,Private room,39358,1,11,2025-03-31,0.09,1,59,2,M130025710
10536367,Enjoy the local life/quiet environment to stay in,54332252,Taketo & Taeko,世田谷区,35.63224,139.65199,Entire home/apt,17872,2,183,2025-08-24,1.56,1,95,10,M130002000
10583516,Shibuya.3min tram Max 3/Free wifi /Sangenjaya Sta.,54600515,Airin,世田谷区,35.64133967193497,139.6642380952835,Entire home/apt,12343,3,330,2025-09-28,2.82,3,112,42,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 5世保生環第977号
11367281,spacious cozy room /2 min from station,59117489,Noriko,世田谷区,35.637924416950646,139.58710498650817,Private room,8000,1,57,2025-07-04,2.12,1,15,26,M130033004
12078617,Welcome to DOG&CAT lover/Welcome to SOLO Traveler,49971425,Rui,世田谷区,35.64249,139.64031,Private room,16286,2,48,2025-04-23,0.42,2,71,2,M130000167
12103556,9 min to Shibuya 5BR 152sqm 2 car (P) Free Bikes,64889149,Chieko,世田谷区,35.63476,139.64482,Entire home/apt,54431,5,45,2025-05-01,0.39,1,362,1,M130003053
12235749,"15 min to Shibuya!! YOU CAN NOT MISS IT, AWESOME!!",55729426,Misono,世田谷区,35.60723,139.6537,Entire home/apt,16711,3,175,2025-09-16,1.56,1,110,17,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 30世保生環き第179号
12368269,"Access good for Shibuya , Shinjuku!",66680305,邦明,世田谷区,35.66192,139.67257,Entire home/apt,7787,2,228,2025-08-24,1.99,2,9,35,Hotels and Inns Business Act | 東京都世田谷区世田谷保健所 | ３１世保生環き第２３６号
13007848,Daisuke's Luxurious Shimokita Entire 1Bed Apt #3,10705201,Daisuke,世田谷区,35.66286,139.66722,Entire home/apt,18050,2,305,2025-09-15,2.69,3,292,38,Hotels and Inns Business Act | 東京都世田谷保健所 | 30世保生環き第339号
13121455,3min to Shibuya /Sangen-jaya Sta /Free wifi/Max 3,54600515,Airin,世田谷区,35.64124731042117,139.66421093791723,Entire home/apt,12086,3,363,2025-09-23,3.22,3,120,42,Hotels and Inns Business Act | 世田谷区世田谷保健所 | 5世保生環第978号
13340942,Shibuya 10mins free Wifi Sakurashinmachi  2-A,75565461,"Seiji ,Yoko",世田谷区,35.63511,139.63962,Entire home/apt,7650,4,123,2025-08-08,1.11,3,181,15,M130007683
13419487,Ikejiri Amino Residence 1 is close to Shibuya .,61184736,Motohiro,世田谷区,35.64763,139.68276,Entire home/apt,10038,4,126,2025-09-15,1.13,3,28,25,Hotels and Inns Business Act | 世田谷保健所所長　辻　佳織 | ３１世保生環き第225号
13930687,Shinjuku 5mins/FREE Wifi/4mins walk from Sasazuka,81631101,K,世田谷区,35.671349,139.667679,Entire home/apt,36000,3,262,2024-08-17,2.34,1,230,0,M130000168
