id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
905944,4F Spacious Apartment in Shinjuku / Shibuya Tokyo,4847803,Best Stay In Tokyo!,渋谷区,35.67878,139.67847,Entire home/apt,33671,5,281,2025-09-21,1.85,9,305,50,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋健生収第4972号
1249571,Unique stay! New&1min to the subway,6809418,Yume,渋谷区,35.65111,139.72165,Entire home/apt,,6,149,2025-09-08,1.02,1,177,10,M130000957
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,渋谷区,35.67191,139.68367,Private room,37268,2,173,2025-05-11,1.24,1,292,2,M130000961
3085134,"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,渋谷区,35.65174,139.72175,Entire home/apt,50080,5,169,2025-07-25,1.23,3,230,10,M130003771
3689244,"Shiya-ku, near by Shinjuku 2DK / MDS2BR",18776800,近藤,渋谷区,35.67205,139.67877,Entire home/apt,29700,3,66,2025-08-11,0.50,20,83,20,M130003456
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,4626879,Tracey,渋谷区,35.68245,139.69009,Entire home/apt,63196,1,245,2025-06-19,1.82,9,291,12,M130018884
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,渋谷区,35.64966,139.72181,Entire home/apt,,5,161,2025-09-29,1.20,3,222,9,M130003789
3956263,5-Guest TINY Home in Shibuya Close to Shinjuku,4847803,Best Stay In Tokyo!,渋谷区,35.67716,139.67957,Entire home/apt,25525,4,209,2025-09-17,1.57,9,290,41,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋建生収第７７０号
4825779,#6C/18.36㎡/Japanese Modern Apt 2 Stops to Shinjuku,24812892,Mao,渋谷区,35.67744,139.68058,Entire home/apt,13711,1,362,2025-09-26,2.77,1,28,36,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3946号
4925503,#103　新宿/渋谷 shinjuku/shibuya 2024/1  リニューアルオープン,25370510,Mitsuko,渋谷区,35.67923,139.67571,Entire home/apt,12000,2,258,2025-09-08,2.24,7,108,32,M130002439
4926317,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 2023年5月リニューアルオープン！,25370510,Mitsuko,渋谷区,35.68068,139.6753,Entire home/apt,11000,2,330,2025-09-07,2.54,7,103,28,M130003221
4926426,#203  shibya/shinjuku 幡ヶ谷駅近  2023/12 リニューアルオープン！,25370510,Mitsuko,渋谷区,35.67933,139.67511,Entire home/apt,10515,2,287,2025-09-18,2.26,7,67,27,M130002430
6975801,#7A/21㎡/Japanese Modern Studio 2 stops to Shinjuku,36396507,Yuka,渋谷区,35.67681,139.67929,Entire home/apt,11426,1,250,2025-09-26,2.01,5,47,33,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3881号
7938869,100-year-old wooden house/ 1min to the station,41865642,Yuki,渋谷区,35.65191,139.7205,Entire home/apt,,4,219,2025-06-29,1.79,1,8,13,M130000963
8173177,"#7B/22.5㎡/Japanese Modern Apt, 2 Stops to Shinjuku",36396507,Yuka,渋谷区,35.6772,139.67896,Entire home/apt,13286,1,282,2025-09-15,2.30,5,57,29,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3882号
8328784,CALM HOUSE #503 Near Shinjuku Shibuya /,43751877,Masami,渋谷区,35.67949,139.67874,Entire home/apt,11372,2,362,2025-09-13,2.97,12,89,44,Hotels and Inns Business Act | 渋谷区保健所 | 6渋保生環第833号
8341784,Near Shinjuku! BigBalcony New!Powerful clothdryer~,43855091,Rumika,渋谷区,35.6857,139.68274,Entire home/apt,26858,4,214,2025-09-21,1.75,25,64,26,Hotels and Inns Business Act | 渋谷区保健所 | ５渋保生環第659号
8618595,CALM HOUSE #305 /Near Shinjuku Shibuya / 3 beds,43751877,Masami,渋谷区,35.67949,139.67874,Entire home/apt,31043,2,487,2025-09-15,4.03,12,228,44,Hotels and Inns Business Act | 東京都渋谷保健所 | ３０渋保生環旅第２９号
8784897,"#2B/35㎡/Big Studio Apt, 2 Stops to Shinjuku (2B)",36396507,Yuka,渋谷区,35.67733,139.6789,Entire home/apt,15146,1,324,2025-09-28,2.69,5,34,41,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3944号
8815730,"#7C/18.36㎡/Simple Cozy Apt, 2 Stops to Shinjuku",36396507,Yuka,渋谷区,35.67694,139.67878,Entire home/apt,14347,1,281,2025-09-19,2.32,5,97,41,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3883号
9096540,2baths/2Toilets /Garden House /One stop Shinjuku,43855091,Rumika,渋谷区,35.68160629272461,139.68045043945312,Entire home/apt,33715,3,216,2025-09-21,1.79,25,94,37,Hotels and Inns Business Act | 渋谷区保健所 | ５渋保生環第５９８号
9220482,#6D/18㎡/Simple Cozy Studio Apt 2 Stops to Shinjuku,36396507,Yuka,渋谷区,35.67692,139.68061,Entire home/apt,12489,1,266,2025-09-05,2.22,5,55,25,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3947号
9280298,"Quiet, sunny and clean studio at 4min Ebisu",48192801,友紀,渋谷区,35.644540071934,139.70895253121853,Entire home/apt,9186,3,150,2025-09-20,1.25,1,31,27,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第2392号
9676049,"CALM HOUSE#202 Near Shinjuku,Shibuya / 2 Bedrooms",43751877,Masami,渋谷区,35.67949,139.67874,Entire home/apt,21958,1,410,2025-09-06,3.44,12,154,50,Hotels and Inns Business Act | 東京都渋谷保健所 | ３１渋健生収第１８６７号
10110295,3 mins walk from A0 exit of Shibuya station #B13,46443714,Taku,渋谷区,35.6588,139.69632,Entire home/apt,14272,1,149,2025-09-08,1.26,2,215,3,M130005051
10210751,(9)Shibuya Sta.5min/Crossing 7min/Free WiFi,49589921,Kim,渋谷区,35.66034156339862,139.69738776896375,Entire home/apt,26597,2,225,2025-09-23,1.90,4,139,17,M130007660
10322230,"Shibuya Crossing, Cozy Studio 302",53118015,Takayuki,渋谷区,35.65858,139.69535,Entire home/apt,18486,2,435,2025-09-24,3.72,6,35,70,Hotels and Inns Business Act | 東京都渋谷区保健所 | 30渋保生環旅第22号
10459562,"Shibuya Crossing, Japanese Elegance 303",53118015,Takayuki,渋谷区,35.6591,139.69643,Entire home/apt,31948,3,397,2025-09-17,3.58,6,22,53,Hotels and Inns Business Act | 東京都渋谷区保健所 | 30渋保生環旅第23号
10459659,"Shibuya Crossing, Spacious Apt. 401, No Elevator",53118015,Takayuki,渋谷区,35.66022,139.69551,Entire home/apt,21600,2,433,2025-09-27,3.71,6,35,61,Hotels and Inns Business Act | 東京都渋谷区保健所 | 31渋健生収第2644号
10534006,☆Cozy Japanese style room☆,54320285,Kazuko,渋谷区,35.662422,139.701248,Entire home/apt,20958,1,155,2025-04-16,1.32,1,52,6,M130013557
10582789,Pippin's Inn - cosy cat themed home - Shibuya,42815177,Ushka,渋谷区,35.67505,139.69004,Entire home/apt,21850,1,366,2025-09-13,3.19,2,16,41,Hotels and Inns Business Act | 30渋保生環旅 | 第13号
10733833,3 mins walk from A0 exit of Shibuya station #B14,46443714,Taku,渋谷区,35.65815,139.6953,Entire home/apt,16972,1,164,2024-12-06,1.40,2,230,4,M130005053
11976628,CALM HOUSE #301 Near Shinjuku Shibuya,43751877,Masami,渋谷区,35.67949,139.67874,Entire home/apt,18886,2,379,2025-09-23,3.28,12,1,34,Hotels and Inns Business Act | 東京都渋谷保健所 | ３０渋保生環旅第２８号
11981272,4baths/4rooms /1stop Shinjuku/Whole house,43855091,Rumika,渋谷区,35.68457,139.68443,Entire home/apt,32143,3,203,2025-09-24,1.78,25,55,38,Hotels and Inns Business Act | 渋谷区保健所 | ５渋保生環第５９４号
12335522,#202  SHIBUYA/SHINJUKU 2023/9リノベーション！リニューアルオープン！,25370510,Mitsuko,渋谷区,35.68032455444336,139.67611694335938,Entire home/apt,12000,2,228,2025-09-12,2.02,7,86,24,M130002433
12597472,2BR with Open-Air Terrace in Harajuku & Omotesando,65306500,カブシキカイシャ,渋谷区,35.66632,139.7043,Entire home/apt,63000,2,356,2025-09-15,3.11,2,50,50,Hotels and Inns Business Act | 東京都渋谷区保健所 | 31渋健生収第4535号
12726612,閑静な住宅街の一軒家、渋谷、原宿、代々木公園、明治神宮の近く、2BD、トイレ、シャワー、一人も良し,69158380,Toshiko,渋谷区,35.67258,139.68424,Private room,10608,2,167,2025-09-01,1.68,2,179,22,M130002941
12899094,Twin room 1 stop Shinjyuku,43855091,Rumika,渋谷区,35.68447,139.68412,Entire home/apt,,3,168,2025-09-21,1.47,25,3,19,M130003422
13008801,EG Sasazuka 301,21210751,Ken,渋谷区,35.67571,139.66888,Entire home/apt,18050,2,252,2025-04-18,2.21,10,23,26,M130001995
13291457,The NINJA house near Shinjuku,75000681,Shin,渋谷区,35.68033,139.67274,Entire home/apt,14344,4,161,2025-08-10,1.43,1,237,15,M130000965
13500633,Shibuya Japanese-style room2DK +Pocket Wifi,77438017,Tomoko,渋谷区,35.66543387067758,139.69201227721467,Entire home/apt,18583,3,167,2025-09-05,1.48,1,118,22,M130017410
14431640,207㎡ Hideaway in Central Shibuya with a terrace,77440587,Ryo,渋谷区,35.66336,139.6929,Entire home/apt,106215,1,179,2025-09-28,1.62,2,116,15,M130004501
14540030,2. Shibuya Sta. 5min WALK! Shinjuku 7min! mWiFi!,45524204,Tokiko,渋谷区,35.66063,139.69975,Entire home/apt,12362,2,370,2025-08-01,3.34,1,10,32,M130000446
14593790,Ebisu Hiroo 2BR 75m²/805 ft² House,59706303,Roo,渋谷区,35.64584,139.71782,Entire home/apt,34266,2,115,2025-09-14,1.05,2,131,25,M130004096
14672556,60㎡/Amazing Hidden Gem in the Heart of Shibuya,77440587,Ryo,渋谷区,35.66198,139.69473,Entire home/apt,68322,1,192,2025-07-31,1.74,2,130,18,M130004495
15088866,Great Location!Near Shinjuku Sta. /WiFi  Oasis202,43554294,Happy,渋谷区,35.682461,139.703995,Entire home/apt,18027,2,180,2025-09-28,1.67,8,217,13,M130008709
15457526,Stylish 2BR Duplex in Harajuku & Omotesando | 80㎡,65306500,カブシキカイシャ,渋谷区,35.66526,139.70673,Entire home/apt,52393,2,277,2025-09-09,2.55,2,56,46,Hotels and Inns Business Act | 東京都渋谷区保健所 | 31渋健生収第4534号
15693947,Cozy Tokyo condo Shibuya Crossing 6 min walk,101313377,Siegfried,渋谷区,35.65851,139.69533,Entire home/apt,28190,2,45,2025-06-22,1.29,5,312,12,M130031938
