id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,新宿区,35.70263,139.74147,Entire home/apt,31772,3,225,2025-07-08,1.55,6,61,12,M130003681
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,8142772,Min & Haru,新宿区,35.69857,139.704,Private room,12001,2,220,2025-04-07,1.50,13,85,2,M130002186
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,8142772,Min & Haru,新宿区,35.69848,139.70432,Private room,11169,2,191,2025-09-11,1.30,13,134,31,M130002186
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,8142772,Min & Haru,新宿区,35.69847,139.70433,Shared room,6688,2,212,2025-08-07,1.45,13,182,15,M130002186
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,8142772,Min & Haru,新宿区,35.69848,139.70433,Shared room,6550,2,171,2025-05-08,1.17,13,194,5,M130002186
2491507,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No5 シェアルーム,8142772,Min & Haru,新宿区,35.69847,139.70433,Shared room,6752,2,103,2025-05-26,0.73,13,199,10,M130002186
2602722,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No2 ドミトリールーム,8142772,Min & Haru,新宿区,35.69848,139.70433,Shared room,6716,2,209,2025-07-27,1.49,13,182,25,M130002186
2602791,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No6 ドミトリールーム,8142772,Min & Haru,新宿区,35.69848,139.70435,Shared room,6688,2,86,2025-05-06,0.61,13,196,3,M130002186
2645379,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F A2,8142772,Min & Haru,新宿区,35.69848,139.70433,Shared room,9997,2,79,2025-05-11,0.57,13,153,3,M130002186
3793206,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F B,8142772,Min & Haru,新宿区,35.69847,139.70432,Private room,12001,2,245,2025-08-07,1.82,13,128,5,M130002186
3793412,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F B2,8142772,Min & Haru,新宿区,35.69848,139.70432,Private room,12001,2,76,2025-09-30,0.56,13,127,3,M130002186
4477690,Experience Japan in a Japanese House in Shinjuku!,2610437,Parissa,新宿区,35.70077,139.7221,Entire home/apt,26304,4,36,2025-06-08,0.28,1,239,11,M130044648
5034900,Sophiearth Apartment in Shinjuku (A3-D1),25865449,Seungkwan,新宿区,35.69974,139.70424,Entire home/apt,21780,1,39,2025-02-07,0.30,10,353,1,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5128293,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No3 ドミトリールーム,8142772,Min & Haru,新宿区,35.69872,139.70276,Shared room,6550,2,200,2025-07-31,1.54,13,168,15,M130002186
5407938,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,新宿区,35.69346,139.70823,Entire home/apt,,2,283,2021-04-11,2.21,2,0,0,M130004171
5585604,Sophiearth Annex with Two Bed Room,25865449,Seungkwan,新宿区,35.70041,139.70621,Private room,62958,3,15,2025-01-04,0.12,10,91,1,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5643408,Sophiearth  Apartment in Shinkjuku (A4-D1),25865449,Seungkwan,新宿区,35.69955,139.70423,Entire home/apt,,1,22,2025-01-02,0.18,10,352,5,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5661072,Okubo #807 Shinjuku Hyakunincho 3mins  JR station,21504159,Michi,新宿区,35.70035,139.6967,Entire home/apt,18286,3,164,2025-08-04,1.28,25,43,9,M130004190
