id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
3814258,apartment hotel TASU TOCO,19611972,岩間,杉並区,35.70293,139.60045,Entire home/apt,8205,3,252,2025-09-04,1.89,4,165,29,Hotels and Inns Business Act | 杉並区杉並保健所 | 22　杉並第　37960　号
3845889,COZY LOFT bedroom,19089769,Manami,杉並区,35.70679,139.6551,Entire home/apt,12000,4,109,2025-08-27,0.95,2,50,18,M130000777
3846001,COZY COMFY apartment,19089769,Manami,杉並区,35.70686575604375,139.6554380782686,Entire home/apt,14184,4,163,2025-09-14,1.21,2,101,18,M130008732
3871442,Nishi-Ogikubo 1BR Roomy  2F,18776800,近藤,杉並区,35.70399,139.59775,Entire home/apt,16200,3,38,2025-06-06,0.29,20,68,2,M130002734
4396219,Nishi-Ogikubo 1BR Twin Type-B 2F,18776800,近藤,杉並区,35.70399,139.59775,Entire home/apt,16650,3,71,2025-07-18,0.54,20,70,12,M130002742
4396221,nishi-ogikubo 1BED Roomy 5F,18776800,近藤,杉並区,35.70399,139.59775,Entire home/apt,21500,3,50,2025-07-27,0.39,20,87,11,M130002749
5410242,Steve's International Guest Place,28045851,Steve,杉並区,35.70055,139.60022,Entire home/apt,8741,4,62,2023-11-29,0.52,1,86,0,M130000018
5464293,3F Cool Bar Entire Apt in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,杉並区,35.70524,139.63828,Entire home/apt,7458,2,182,2025-07-18,1.42,6,351,14,Hotels and Inns Business Act | 杉並区杉並保健所 | 31杉保衛環第50号
5464305,2F Cool Bar Entire Apt in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,杉並区,35.71162,139.63497,Entire home/apt,6300,2,196,2025-09-23,1.53,6,342,24,Hotels and Inns Business Act | 東京都杉並区保健所 | 31杉保衛環第50号
6380625,Sunny House in a Leafy Street,33088758,Nayu,杉並区,35.67951,139.64878,Entire home/apt,30143,3,173,2025-09-22,1.38,1,176,5,M130001866
6856801,Nishi-Ogikubo 1BR Studio Type-B  5F,18776800,近藤,杉並区,35.70402,139.5977,Entire home/apt,16200,3,74,2025-07-14,0.62,20,135,6,M130002746
6914633,☆KOUENJI 5min / SHINJUKU 9min (Free WiFi) ☆,33705289,Tomomasa,杉並区,35.70565,139.65262,Entire home/apt,11111,1,284,2025-07-30,2.28,4,280,12,M130001781
7136098,☆☆KOUENJI 5min / SHINJUKU 10min Free WiFi ☆☆,33705289,Tomomasa,杉並区,35.70522,139.65431,Entire home/apt,11111,1,138,2025-07-14,1.11,4,319,7,M130001777
7450080,Japanese style room near Shinjuku,39017078,Lina,杉並区,35.68239,139.65346,Private room,5225,5,208,2025-09-22,1.68,1,292,17,M130000751
7899504,Top edge house 202,38655722,"Top Edge Co., Ltd.",杉並区,35.70366,139.62997,Private room,,1,53,2025-09-14,0.43,9,0,15,M130001125
9239019,Shinjuku W Fuji House Great VALUE * 2rms 2baths *,10986553,Veronica,杉並区,35.69144,139.66396,Entire home/apt,15979,2,104,2024-07-17,0.87,1,333,0,Hotels and Inns Business Act | 杉並区杉並保健所 | 5杉保衛 環第453号
9437825,Nishi-Ogikubo 1BR Box  5F,18776800,近藤,杉並区,35.70415363112948,139.5976820960641,Entire home/apt,17100,3,36,2025-07-09,0.31,20,146,16,M130002745
9825656,【4min Walk Sta】Shinjuku 6min thru Train/Maisonette,44812749,千万樹,杉並区,35.67275,139.65971,Entire home/apt,15572,1,154,2025-09-16,1.30,10,136,25,Hotels and Inns Business Act | 杉並区杉並保健所 | 30杉保衛環第331号
10553744,studio 15minutes to Sinjuku station,54434007,Shohei,杉並区,35.67441,139.66045,Entire home/apt,10143,1,418,2025-09-15,3.54,6,148,25,M130001764
11575556,"New cozy studio ,10 min to Shinjuku",56131353,Kazutomi,杉並区,35.70253,139.62658,Entire home/apt,8515,2,231,2025-09-08,2.00,1,29,23,M130000322
11675888,studio 15min to Sinjuku station #2,54434007,Shohei,杉並区,35.67372,139.66122,Entire home/apt,10000,1,448,2025-09-15,3.86,6,176,34,M130001769
11997228,1 min to st/ 8 min to Shinjuku/ 16 min to Shibuya,11686184,Yoko,杉並区,35.70548,139.63424,Entire home/apt,19508,2,216,2025-09-23,1.88,2,179,30,M130002732
12073235,HAMADAYAMA! COZY HOME IDEAL FOR LONG STAY/FAMILIES,37753161,Den,杉並区,35.68305,139.62548,Private room,24107,3,21,2024-06-12,0.20,1,259,0,M130001154
14015855,Nishi-Ogikubo 2BR Type-A  2F,18776800,近藤,杉並区,35.70399,139.59775,Entire home/apt,26550,3,36,2025-07-24,0.34,20,132,7,M130002737
