id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,墨田区,35.71707,139.82608,Entire home/apt,12600,3,190,2025-08-24,1.11,1,183,10,M130003350
5992426,Central Tokyo/Akihabara Shinjuku no transfer/6ppl,31115008,高橋,墨田区,35.692714983192715,139.81724303215742,Entire home/apt,18203,2,14,2025-09-23,3.56,2,231,14,Hotels and Inns Business Act | 江東区保健所 | 7江健生環き第8号
6365363,SHITAMACHI BASE/Quiet new apt.room101/skytree view,33170407,Hiroyoshi,墨田区,35.71865,139.81069,Entire home/apt,9836,1,96,2025-07-21,0.77,12,19,23,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
6768640,SHITAMACHI BASE/Quiet new apt.room102/skytree view,33170407,Hiroyoshi,墨田区,35.71818,139.81237,Entire home/apt,9836,1,75,2025-08-23,0.61,12,22,16,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
6837981,SHITAMACHI BASE/Quiet new apt.room103/skytree view,33170407,Hiroyoshi,墨田区,35.71848,139.81109,Entire home/apt,9836,1,108,2025-07-21,0.86,12,16,6,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
6838363,SHITAMACHI BASE/Quiet new apt.room201/skytree view,33170407,Hiroyoshi,墨田区,35.71893,139.81294,Entire home/apt,9836,1,96,2025-01-30,0.78,12,18,2,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
6838964,SHITAMACHI BASE/Quiet new apt.room202/skytree view,33170407,Hiroyoshi,墨田区,35.72,139.81074,Entire home/apt,9836,1,110,2025-09-24,0.89,12,26,15,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
8332946,Near SkyTree Aakusa Oshiage station Free wifi,43721134,Shio,墨田区,35.70672,139.81335,Entire home/apt,17050,2,166,2025-09-14,1.36,3,122,19,M130007908
8947448,Japanese-style guest house near Asakusa & Skytree,37087932,Konoha House,墨田区,35.70944,139.80191,Entire home/apt,27810,1,110,2025-08-28,0.92,2,110,8,Hotels and Inns Business Act | 墨田区保健所 | 4墨福衛生環第98号
9175436,Japanese-style guest house near Asakusa & Skytree,37087932,Konoha House,墨田区,35.70944,139.80191,Entire home/apt,,1,258,2023-04-07,2.16,2,0,0,Hotels and Inns Business Act | 墨田区保健所 | 4墨福衛生環第98号
9481712,001-702 Oshiage/ 10min walk from TokyoSkyTree,49146494,瞳,墨田区,35.70806,139.8169,Entire home/apt,16008,3,200,2025-09-12,1.73,5,189,9,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第125号
10124923,001-703 Oshiage/ 10min walk from TokyoSkyTree,49146494,瞳,墨田区,35.70806,139.8169,Entire home/apt,16008,3,172,2024-11-17,1.48,5,137,1,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第126号
10158167,◎Go to Sky Tree＋just 4 minutesⅲ,21504159,Michi,墨田区,35.71046,139.81685,Entire home/apt,45143,2,153,2025-03-20,1.31,25,63,2,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第191号
11212330,Close to Asakusa / Skytree,37456117,Haru,墨田区,35.72476,139.82339,Entire home/apt,,3,145,2025-08-24,1.25,16,3,16,Hotels and Inns Business Act | 東京都墨田区保健所 | 30墨福衛生環第308
11219498,001-706 Oshiage/ 10min walk from TokyoSkyTree,49146494,瞳,墨田区,35.70806,139.8169,Entire home/apt,16008,3,231,2025-09-02,1.99,5,225,11,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第128号
11259582,001-705 Oshiage/ 10min walk from TokyoSkyTree,49146494,瞳,墨田区,35.70806,139.8169,Entire home/apt,16008,3,197,2025-04-13,1.71,5,109,4,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第127号
11260842,和モダン空間　5名快適60㎡　スカイツリー/ディズニー/浅草/渋谷/新宿直行！,45864819,Masahiro,墨田区,35.70475816033698,139.8161163899371,Entire home/apt,25525,2,25,2025-08-22,3.11,12,328,25,Hotels and Inns Business Act | 墨田区保健所 | 6墨福衛生環第671号
11284667,Asakusa/Tokyo Skytree/2LDK/Family/Mama’s inn,58806980,泉,墨田区,35.71253,139.80959,Entire home/apt,17756,2,439,2025-09-29,3.94,1,49,69,Hotels and Inns Business Act | 墨田区保健所 | 29墨福衛生環第308号
11679419,1 min from Oshiage Sta. | 2 min from Skytree,62035844,Goodsite In Oshiage,墨田区,35.710514068603516,139.81277465820312,Entire home/apt,17396,2,300,2025-07-02,2.60,8,69,2,Hotels and Inns Business Act | 東京都墨田区保健所 | 2墨福衛生環第294号
11720169,《flexible check-in/out time》Asakusa &Skytree/9ppl,62321627,Naoki,墨田区,35.70565739534551,139.8020540386157,Entire home/apt,22822,3,238,2025-09-27,2.06,1,193,30,Hotels and Inns Business Act | 墨田区保健所 | 6墨福衛生環第447号
11978095,"R303--Skytree 8mins,Airport directly,Asakusa 3mins",50705816,Qiong,墨田区,35.71194,139.82047,Private room,,1,283,2025-09-13,2.48,11,0,38,Hotels and Inns Business Act | 墨田区保健所 | 5墨福衛生環第141号
12028773,2BR with Room Balcony near Skytree!,27289403,Sora,墨田区,35.71119,139.81095,Entire home/apt,16128,1,542,2025-09-25,4.70,6,204,48,Hotels and Inns Business Act | 墨田区保健所 | 5墨福衛生環第２６号
12217789,Geisha Stay /Skytree 2m/ Cosplay Expelience Room,65716348,Sho,墨田区,35.70512,139.81216,Entire home/apt,23877,2,137,2025-07-08,1.19,1,347,1,Hotels and Inns Business Act | 墨田区保健所 | 5墨福衛生環第25号
12498224,New Double Room in Tokyo: Skytree View 601 C,1174369,Naoki,墨田区,35.71434,139.80936,Entire home/apt,13175,3,279,2025-09-26,2.45,2,293,36,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第83号
12503485,New in Tokyo: Skytree & Asakusa 202,41013044,Aileen,墨田区,35.71441,139.80937,Entire home/apt,16272,3,390,2025-09-25,3.40,25,242,55,Hotels and Inns Business Act | 東京都墨田区保健所 | 31墨福衛生環第83号
12550149,VERY CLOSE TO Asakusa / Skytree,37456117,Haru,墨田区,35.72667,139.82152,Entire home/apt,8624,3,169,2025-09-11,1.48,16,7,24,Hotels and Inns Business Act | 東京都墨田区保健所 | 30墨福衛生環第308号
