id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
22988939,【01】武蔵砂川駅徒歩3分！長期滞在も可能な2DKマンション,169807146,陽子,立川市,35.72772,139.39488,Entire home/apt,7478,12,19,2025-08-01,0.21,7,179,4,M130004555
48614785,小部屋番号5（注サイズ確認）部屋専用/風呂共用　東京郊外漫画多・JR新宿26分からくにたち駅/立川駅,163276166,Keita,立川市,35.70409,139.43251,Private room,3500,3,43,2025-05-27,0.89,9,62,5,M130001546
48615735,小部屋番号4（注サイズ確認）部屋専用/風呂共用　東京郊外漫画多・JR新宿26分からくにたち駅/立川駅,163276166,Keita,立川市,35.70389,139.43371,Private room,3750,3,22,2025-04-07,0.49,9,57,11,M130001546
48671054,小部屋番号2（注サイズ確認）部屋専用/風呂共用　東京郊外漫画多・JR新宿26分からくにたち駅/立川駅,163276166,Keita,立川市,35.70408,139.4332,Private room,4000,3,32,2025-09-16,0.71,9,45,15,M130001546
1162758974431476613,立川駅#歩15分#IKEA徒歩9分#ららぽー徒歩11分#Wi-Fi付#仕事も最適#閑静な住宅街,243214612,大輔,立川市,35.705770532334114,139.41648211330175,Entire home/apt,12729,1,9,2025-05-10,0.57,36,248,5,M130040970
1189437494820517816,【女性専用の民宿】観光の後は、やっぱり買い物は立川駅エリアで（おにぎりと寿司作りの体験が出来ます）,585343044,益知子,立川市,35.7213012,139.4001529,Private room,4320,2,14,2025-05-18,1.25,1,306,14,M130042653
1355320418026499727,Showa Park 5min | Shops & Dining Nearby | Long OK,166959930,Shizuka,立川市,35.70011,139.40418,Entire home/apt,10546,2,15,2025-09-27,2.11,4,109,15,M130047240
1419984291984972857,Tachikawa 10 min / 5 guests/Shinjuku 25 min,654495319,仁美,立川市,35.69458,139.40701,Entire home/apt,21562,2,3,2025-09-15,1.27,1,209,3,M130050082
1430840971505001318,【02】武蔵砂川駅徒歩3分！長期滞在も可能な2DK,169807146,陽子,立川市,35.7288513,139.3953202,Entire home/apt,7478,12,2,2025-08-17,0.56,7,285,2,M130004556
1460549832500008634,Shinjuku 25min | Shops & Dining Nearby | Long,166959930,Shizuka,立川市,35.6992,139.40355,Entire home/apt,6000,30,0,,,4,109,0,M130047240
