年齢,性別,婚姻ステータス,部署,職種,給料,職位,勤続年数,勤務企業数,ストックオプション,昇給率,人事評価,残業,出張頻度,家からの距離,教育レベル,教育分野,昨年の研修受講回数,仕事への関与度,仕事満足度,職場環境満足度,人関関係満足度,ワークライフバランス,離職,入社日,退社日
41,女性,独身,営業,営業幹部,5993,2,8,8,0,11,3,TRUE,たまに,1,2,ライフサイエンス,0,3,4,2,1,1,TRUE,2010-10-27,2017-03-20
49,男性,既婚,研究開発,リサーチサイエンティスト,5130,2,10,1,1,23,4,FALSE,頻繁,8,1,ライフサイエンス,3,2,2,3,4,3,FALSE,2007-11-20,
37,男性,独身,研究開発,ラボ技術者,2090,1,7,6,0,15,3,TRUE,たまに,2,2,その他,3,2,3,4,2,3,TRUE,2017-05-25,2017-08-20
33,女性,既婚,研究開発,リサーチサイエンティスト,2909,1,8,1,0,11,3,TRUE,頻繁,3,4,ライフサイエンス,3,3,3,4,3,3,FALSE,2009-02-20,
27,男性,既婚,研究開発,ラボ技術者,3468,1,6,9,1,12,3,FALSE,たまに,2,1,医療,3,3,2,1,4,3,FALSE,2015-07-27,
32,男性,独身,研究開発,ラボ技術者,3068,1,8,0,0,13,3,FALSE,頻繁,2,2,ライフサイエンス,2,3,4,4,3,2,FALSE,2010-07-04,
59,女性,既婚,研究開発,ラボ技術者,2670,1,12,4,3,20,4,TRUE,たまに,3,3,医療,3,4,1,3,1,2,FALSE,2016-04-24,
30,男性,離婚,研究開発,ラボ技術者,2693,1,1,1,1,22,4,FALSE,たまに,24,1,ライフサイエンス,2,3,3,4,2,3,FALSE,2016-03-30,
38,男性,独身,研究開発,製造ディレクター,9526,3,10,0,0,21,4,FALSE,頻繁,23,3,ライフサイエンス,2,2,3,4,2,3,FALSE,2008-11-05,
36,男性,既婚,研究開発,ヘルスケア担当,5237,2,17,6,2,13,3,FALSE,たまに,27,3,医療,3,3,3,3,2,2,FALSE,2010-02-25,
35,男性,既婚,研究開発,ラボ技術者,2426,1,6,0,1,13,3,FALSE,たまに,16,3,医療,5,4,2,1,3,3,FALSE,2012-01-21,
