都道府県,果物（合計）,りんご,みかん,オレンジ,他の柑きつ類,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,他の果物,果物加工品
北海道,38466,4616,4445,392,2227,791,2315,1349,700,1307,1784,2658,5644,2250,4176,3811
青森県,40284,8800,3942,503,2017,738,1950,906,700,1285,1478,3200,5959,2266,3210,3332
岩手県,44132,8218,45700,479,2653,1137,2781,1032,825,1613,1056,3941,5932,2192,4516,3464
宮城県,42336,4543,4490,710,2598,1827,2436,890,1298,1663,777,3711,5047,2252,5790,4304
秋田県,,6732,4511,535,2402,2034,3125,1021,996,2034,2020,3505,6413,2185,4900,3286
山形県,54312,6835,4264,657,2754,3568,4457,987,1369,1756,955,3523,5346,1964,12131,3747
福島県,45746,6331,3955,493,2292,2316,2772,859,6629,865,507,3403,5653,1433,4595,3642
茨城県,46653,5267,5407,557,2665,2370,3412,901,968,1755,3746,4272,5618,2359,3820,3535
栃木県,45999,5309,5280,646,2490,3707,2802,946,1044,1273,846,5406,6021,2155,4416,3658
群馬県,44242,6368,4479,529,2376,3071,2958,526,1037,1283,653,4638,5608,2383,4485,3847
埼玉県,45811,4652,4250,543,2604,1677,3145,871,1184,1665,1210,4771,5776,2979,5990,4493
千葉県,49751,5221,4536,746,2753,3605,3705,1358,1070,1955,1281,4143,5725,3137,5868,4646
東京都,47095,4542,4532,586,2742,1870,3511,1209,1233,1888,1064,4372,5450,2571,6580,4946
神奈川県,44880,4248,4105,738,2334,1719,3464,1091,1068,1538,1185,4021,5255,2762,6417,4937
新潟県,45105,5276,5325,619,2128,3317,2844,634,1458,2246,968,4597,6054,2295,4117,3224
富山県,45066,4586,4580,1095,2479,3835,3389,625,851,2198,729,3146,6377,2361,4566,4249
石川県,42161,4512,4439,703,2155,2218,4171,814,1005,1826,590,3146,5841,2408,4684,3649
福井県,37495,4105,4971,464,1822,2050,2805,704,657,1618,812,2781,5416,2209,3750,3331
山梨県,42164,3865,4547,542,2224,869,7301,749,2355,1072,404,3087,5225,1809,4262,3853
長野県,48059,8349,4299,427,2755,1029,5056,601,3056,2160,785,3439,5290,1958,4618,4238
岐阜県,41458,5012,4202,554,1780,1531,3346,2109,999,1406,675,3592,6184,2281,4412,3374
静岡県,42502,4445,5626,363,2511,1134,3359,913,1283,1541,968,4664,6015,1818,4056,3807
愛知県,43714,4341,4355,623,2102,1780,3586,1088,1016,1932,930,3935,6313,2565,5783,3366
三重県,40171,4318,4854,291,1263,2446,3681,1057,680,889,789,3799,6172,2209,3861,3862
滋賀県,39652,4577,4254,504,2057,1453,3115,1053,981,1568,710,3101,6478,1806,4162,3833
京都府,44446,5743,4198,367,2434,1514,3929,1419,1248,1718,751,3809,6633,2778,4362,3543
大阪府,40740,4075,4004,520,2134,1552,3719,1194,1090,1491,708,3538,5826,2223,5187,3479
兵庫県,44755,5442,4474,689,2627,1481,3520,1257,1039,1483,579,3395,6639,2937,5125,4068
奈良県,46138,5199,4610,489,2732,1771,3276,1753,1714,1643,710,4514,6305,2482,5086,3853
和歌山県,39902,3664,5699,358,1936,1159,3077,1338,2664,1654,664,3082,6555,1608,3707,2737
鳥取県,41926,4280,3711,564,1381,7173,3245,1198,596,2591,1026,2497,6204,1577,2939,2944
島根県,40440,4717,3627,587,1880,3634,3708,1042,547,1622,1310,3169,6184,1938,3551,2923
岡山県,40275,3783,3930,423,1845,1289,4569,497,3933,1192,578,2892,6078,1859,3963,3443
広島県,36636,4378,3436,462,1921,978,3257,845,833,1340,640,3055,5959,1986,4029,3518
山口県,37689,4738,3106,341,1893,3198,3948,624,583,1405,786,3426,5767,1672,2945,3258
徳島県,40572,4997,3845,394,3584,1876,3550,742,920,1333,710,3818,5136,2002,4073,3590
香川県,40540,4397,4576,536,2365,1925,4262,1110,1462,1539,563,3765,5910,1631,3362,3137
愛媛県,38764,4400,4541,159,4991,1355,3133,930,778,1330,646,2619,5593,1690,3738,2863
高知県,37026,3807,4244,302,4621,2045,2220,746,770,1444,652,3538,4963,1870,3648,2156
福岡県,37509,5089,3653,326,1634,1783,2290,1100,724,1212,363,3121,5271,2110,4747,4086
佐賀県,32217,3751,3144,223,1670,2010,1990,665,605,1333,665,2643,5540,1608,3021,3349
長崎県,39866,5263,3437,182,1512,1415,2714,1177,858,1450,818,2882,5912,2161,6909,3176
熊本県,35630,3726,3157,281,2820,1627,2881,800,506,2268,1540,2494,5015,1667,3478,3373
大分県,33692,3390,4046,288,1996,1619,2881,674,697,949,719,3007,4586,1698,3365,3776
宮崎県,38513,4743,3523,183,3510,1391,2787,1075,458,1301,1291,2858,5682,1441,5517,2754
鹿児島県,34467,4237,3259,141,2243,1244,2566,1208,578,1380,683,2979,5862,1852,2832,3403
沖縄県,36134,3523,3814,648,1781,860,1629,933,302,1299,476,2062,5873,1406,8305,3224
