年度,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2011,39292,9532,9310,18062,6658,8555,15072,23219,15913,15637,58059,50379,106027,76000,17667,7823,9555,6728,6412,16917,16851,31172,68973,15080,13338,20707,73919,47351,10400,7460,4931,5582,16635,25469,11222,5914,8311,11329,5244,46220,7613,11727,16118,9988,10152,15244,16918
2012,38686,9168,9277,18707,6543,8212,13770,22896,15973,14914,56943,48881,107401,75477,17476,7880,9544,6712,6336,16661,16496,30810,67913,14729,13236,20111,73012,46436,10565,7424,4771,5585,16279,24846,10797,5744,8161,11130,5266,45815,7440,11723,15996,9650,9858,14841,17074
2013,38190,9126,9231,18949,6177,8159,14546,22358,15588,14732,57470,48343,109986,74320,17066,7722,9449,6461,6198,16326,16000,30260,66825,14514,13015,20106,72054,45673,10190,7122,4759,5534,16210,24713,10705,5666,8059,10696,5266,45898,7276,11566,15954,9605,9854,14637,17209
2014,37058,8853,8803,18069,5998,7966,14518,21932,15442,14522,55765,46753,110629,72997,16480,7556,8961,6166,6063,15848,15138,28684,65219,13727,12729,19583,69968,44352,9625,7140,4527,5359,15837,23776,10197,5502,7745,10399,5015,45203,7159,11323,15558,9280,9509,14236,16375
2015,36696,8621,8814,18023,5861,7831,14195,21700,15306,14256,56078,47019,113194,73476,16340,7567,9072,6230,5988,15639,15467,28352,65615,13950,12622,19663,70596,44016,9832,7030,4624,5551,15599,23679,10360,5586,7719,10146,5052,45236,7064,11020,15577,9113,9226,14125,16942
2016,35129,8626,8342,17399,5666,7547,13745,20878,14621,13661,54452,45389,111964,70649,15737,7302,8928,6114,5819,15171,14831,27654,64231,13376,12073,19327,68817,43379,9430,6659,4436,5300,15477,22736,9844,5346,7510,9911,4779,44036,6811,10886,14896,9059,8929,13688,16617
2017,34058,8035,8175,16681,5396,7259,13219,20431,14029,13280,53076,44055,108990,68133,14967,7178,8696,5856,5705,14525,14040,26261,62436,12663,11600,18521,66605,41606,8965,6465,4310,5109,14910,22150,9455,5182,7387,9569,4837,43440,6743,10558,14657,8658,8797,13209,16218
2018,32642,7803,7615,16211,5040,6973,12495,19368,13495,12922,51241,43404,107150,66564,14509,6846,8359,5826,5556,14184,13720,25192,61230,12582,11350,17909,65446,39713,8947,6070,4190,4887,14485,21363,8987,4998,6899,9330,4559,42008,6535,10135,14301,8200,8434,12956,15732
2019,31020,7170,6974,14947,4696,6401,11552,18004,12608,11901,48298,40799,101818,63035,13640,6604,7808,5307,5193,13553,12776,23457,57145,11690,10627,16993,62557,38043,8323,5869,3988,4594,13695,20034,8771,4554,6631,8446,4270,39754,6231,9585,13305,7624,8043,11977,14902
2020,29523,6837,6718,14480,4499,6217,11215,17389,11808,11660,47328,40168,99661,60865,12981,6256,7712,5313,5184,12864,12092,22497,55613,11141,10437,16440,61878,36953,7831,5732,3783,4473,13521,19606,8203,4521,6179,8102,4082,38966,6004,9182,13011,7582,7720,11638,14943
2021,28762,6513,6472,13761,4335,5898,10649,16502,11475,11236,45424,38426,95404,58836,12608,6076,7258,5223,4966,12514,11730,21571,53918,10980,10130,15818,59780,35581,7751,5514,3708,4415,13107,18636,7978,4337,6223,8011,4090,37540,5853,8862,12670,7327,7590,11618,14535
2022,26407,5985,5788,12852,3992,5674,9709,15905,10518,10688,43451,36966,91097,56498,11732,6022,7075,4861,4759,12143,11124,20575,51152,10489,9766,15068,57315,33565,7315,5238,3752,4161,12371,17903,7762,4148,5802,7572,3721,35970,5552,8364,11875,6798,7136,10540,13594
