種,カテゴリー,品種名,頭数
カイネコ,ペルシャ系ファミリー,ラグドール,5175
カイネコ,ペルシャ系ファミリー,ミヌエット,4625
カイネコ,ペルシャ系ファミリー,ラガマフィン,1767
カイネコ,ペルシャ系ファミリー,エキゾチックショートヘア,1126
カイネコ,ペルシャ系ファミリー,ペルシャ(チンチラ),631
カイネコ,ペルシャ系ファミリー,ペルシャ,465
カイネコ,ペルシャ系ファミリー,エキゾチック,373
カイネコ,自然発生・地域系,ブリティッシュショートヘア,3254
カイネコ,自然発生・地域系,アメリカンショートヘア,3053
カイネコ,自然発生・地域系,ロシアンブルー,1333
カイネコ,自然発生・地域系,ソマリ,415
カイネコ,特徴遺伝子品種,スコティッシュフォールド,7982
カイネコ,特徴遺伝子品種,マンチカン,5989
カイネコ,特徴遺伝子品種,アメリカンカール,534
カイネコ,北方フォレスト系,サイベリアン,4129
カイネコ,北方フォレスト系,ノルウェージャンフォレストキャット,2990
カイネコ,北方フォレスト系,メインクーン,1480
カイネコ,非血統（雑種・在来）,混血猫,6259
カイネコ,非血統（雑種・在来）,日本猫,359
カイネコ,ワイルドハイブリッド,ベンガル,1579
