市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
さいたま市,1324025,652920,671105,1276491,630173,646318,168805,86414,82391,821211,416997,404214,304992,135350,169642,158215,64888,93327,22845
川越市,354571,177480,177091,323232,164161,159071,36460,18703,17757,181655,92689,88966,89061,40124,48937,44727,19323,25404,5909
熊谷市,194415,97087,97328,189946,94969,94977,21814,11224,10590,113744,59350,54394,57262,25737,31525,27885,11363,16522,3076
川口市,594274,299238,295036,555098,279135,275963,72665,37212,35453,373347,194020,179327,137923,61595,76328,71165,29061,42104,31592
行田市,78617,38736,39881,76691,37803,38888,8240,4151,4089,44778,23104,21674,25010,11209,13801,11842,4784,7058,1417
秩父市,59674,29068,30606,58967,28767,30200,6590,3335,3255,32459,16610,15849,20342,8939,11403,10737,4232,6505,511
所沢市,342464,168197,174267,311495,156622,154873,33050,16969,16081,174266,86788,87478,87050,38962,48088,44271,18905,25366,3865
飯能市,80361,40294,40067,78588,39382,39206,8424,4363,4061,45590,23587,22003,25204,11664,13540,12081,5077,7004,929
加須市,111623,55982,55641,108900,54587,54313,12547,6521,6026,64960,33591,31369,33283,15442,17841,14887,6168,8719,2142
本庄市,78569,39216,39353,75074,37358,37716,8894,4447,4447,45696,23856,21840,22661,10103,12558,11201,4504,6697,2403
東松山市,91791,46187,45604,87453,43979,43474,10582,5424,5158,52871,27444,25427,25995,12105,13890,12075,5231,6844,2454
春日部市,229792,113467,116325,225799,111498,114301,21178,10917,10261,116707,58934,57773,68663,30872,37791,34219,14997,19222,3442
狭山市,148699,74178,74521,145231,72421,72810,15467,7906,7561,84070,43670,40400,47661,21642,26019,24050,10425,13625,2327
羽生市,52862,26142,26720,49849,24786,25063,5295,2667,2628,29391,15110,14281,15821,7204,8617,7491,3083,4408,1210
鴻巣市,116828,57673,59155,114669,56543,58126,13254,6795,6459,67954,34434,33520,34993,16048,18945,16491,7091,9400,1611
深谷市,141268,70200,71068,137413,68297,69116,16815,8572,8243,81390,42073,39317,40881,18620,22261,19303,8076,11227,2611
上尾市,226940,112288,114652,217223,108149,109074,25395,13078,12317,127746,64559,63187,61216,27452,33764,31705,13653,18052,3225
草加市,248304,125213,123091,241115,121722,119393,29088,14982,14106,157501,82508,74993,61664,27692,33972,31840,13551,18289,7147
越谷市,341621,168747,172874,334953,165526,169427,43497,22267,21230,210444,107119,103325,87123,38985,48138,44440,18959,25481,6547
蕨市,74283,37470,36813,67534,34036,33498,7885,4065,3820,48527,25434,23093,17247,7580,9667,9028,3540,5488,6293
戸田市,140899,71388,69511,131679,67112,64567,20025,10168,9857,93035,48316,44719,23065,10552,12513,11548,4623,6925,5870
入間市,145651,71803,73848,143118,70495,72623,16610,8476,8134,85174,43264,41910,42924,19506,23418,20704,8770,11934,2023
朝霞市,141083,70696,70387,136913,68622,68291,19106,9711,9395,93817,48307,45510,27533,12297,15236,14237,5737,8500,3578
志木市,75346,36945,38401,73293,36019,37274,9897,5077,4820,46217,23397,22820,18689,8222,10467,9673,4020,5653,1613
和光市,83989,43138,40851,81671,41922,39749,11397,5860,5537,57416,30409,27007,15040,6824,8216,7308,3029,4279,2215
新座市,166017,81781,84236,159171,78712,80459,20924,10611,10313,98647,50543,48104,42180,18732,23448,22235,9339,12896,2985
桶川市,74748,36950,37798,73642,36328,37314,8611,4433,4178,43586,22221,21365,22126,10010,12116,11459,4934,6525,764
久喜市,150582,74607,75975,146370,72746,73624,16537,8466,8071,86097,44137,41960,46097,21260,24837,21374,9246,12128,2655
北本市,65201,32214,32987,64404,31794,32610,6593,3357,3236,37112,18900,18212,21183,9732,11451,10876,4838,6038,514
八潮市,93363,47995,45368,87987,45438,42549,11335,5796,5539,58742,31557,27185,21283,9754,11529,10855,4708,6147,3461
富士見市,111859,54871,56988,107437,52657,54780,13657,6999,6658,68450,34307,34143,27171,12095,15076,14308,6030,8278,1998
三郷市,142145,71486,70659,136429,68414,68015,18162,9217,8945,83860,43426,40434,38602,17883,20719,18135,8050,10085,4309
蓮田市,61499,30468,31031,60884,30162,30722,6739,3443,3296,34826,17941,16885,19902,9062,10840,10290,4486,5804,606
坂戸市,100275,50041,50234,96386,48054,48332,11428,5760,5668,57702,29940,27762,29435,13398,16037,14409,6448,7961,2296
