市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
千代田区,66680,33637,33043,63790,32065,31725,8976,4588,4388,46517,24136,22381,10852,4665,6187,5677,2159,3518,2724
中央区,169179,80931,88248,161672,77263,84409,23086,11669,11417,121217,58810,62407,24683,10353,14330,12585,4605,7980,7385
港区,260486,123410,137076,234966,110007,124959,34714,17733,16981,174886,83880,91006,42546,17325,25221,21714,7870,13844,17409
新宿区,349385,174822,174563,298415,148196,150219,29202,14761,14441,223593,114521,109072,63185,27132,36053,33311,12480,20831,27216
文京区,240069,115483,124586,217429,103879,113550,28065,14269,13796,152818,74459,78359,42020,17512,24508,21841,8138,13703,8457
台東区,211444,108586,102858,197051,101367,95684,18648,9551,9097,142955,75922,67033,47510,22080,25430,24888,10022,14866,14275
墨田区,272085,134787,137298,261231,130116,131115,28028,14365,13663,183630,93676,89954,60108,26500,33608,31520,12273,19247,10767
江東区,524310,258015,266295,492456,243169,249287,66472,33996,32476,341716,173311,168405,110002,48178,61824,54659,21642,33017,28682
品川区,422488,208688,213800,390799,192236,198563,47036,23838,23198,272685,138081,134604,79532,33927,45605,41045,15563,25482,11897
目黒区,288088,135820,152268,275731,129698,146033,31547,16182,15365,196916,94873,102043,55811,23133,32678,30144,11264,18880,8642
大田区,748081,372464,375617,700751,348501,352250,77231,39408,37823,475656,243431,232225,161855,70939,90916,84224,32771,51453,20358
世田谷区,943664,445592,498072,916972,432101,484871,108940,55950,52990,638629,307904,330725,190042,78845,111197,102105,37513,64592,22364
渋谷区,243883,117907,125976,214511,102183,112328,22984,11651,11333,154258,75693,78565,41261,17025,24236,21900,7981,13919,8704
中野区,344880,172525,172355,315718,158474,157244,29123,14850,14273,231515,121148,110367,65878,28075,37803,35029,13222,21807,15391
杉並区,591108,284301,306807,551816,263795,288021,58944,30083,28861,380639,186108,194531,117072,49081,67991,62778,23433,39345,14107
豊島区,301599,151020,150579,272053,136359,135694,26489,13465,13024,211034,109537,101497,58539,25291,33248,30361,11250,19111,25573
北区,355213,176289,178924,334774,166128,168646,36527,18658,17869,229948,119167,110781,87381,37587,49794,46989,17661,29328,20368
荒川区,217475,107683,109792,199289,98955,100334,24470,12428,12042,141156,72237,68919,50411,22315,28096,26272,10193,16079,16814
板橋区,584483,286179,298304,543391,265687,277704,60014,30821,29193,367976,184716,183260,132602,57258,75344,69519,26354,43165,23049
練馬区,752608,361770,390838,714410,344488,369922,85920,43973,41947,478648,236655,241993,159298,68154,91144,87102,33299,53803,18129
足立区,695043,347408,347635,644285,322261,322024,75589,38692,36897,424335,219784,204551,170261,74792,95469,92601,36575,56026,29791
葛飾区,453093,225758,227335,432623,216134,216489,51556,26487,25069,285968,148207,137761,111893,49424,62469,59706,23284,36422,19229
江戸川区,697932,351327,346605,650161,327003,323158,86270,44123,42147,449387,232990,216397,145764,64620,81144,76738,30631,46107,31840
八王子市,579355,291307,288048,554415,278465,275950,62867,32420,30447,344893,179495,165398,153504,68640,84864,79254,33113,46141,11790
立川市,183581,91191,92390,179304,89196,90108,21828,11219,10609,115971,60115,55856,45524,19759,25765,24008,9454,14554,4221
