市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
大島町,7102,3667,3435,7016,3596,3420,710,372,338,3679,2066,1613,2713,1229,1484,1418,563,855,86
利島村,327,197,130,322,194,128,50,28,22,197,126,71,80,43,37,32,14,18,5
新島村,2441,1204,1237,2430,1200,1230,272,128,144,1202,647,555,967,429,538,507,201,306,11
神津島村,1855,952,903,1850,948,902,274,144,130,994,535,459,587,273,314,269,102,167,5
三宅村,2273,1269,1004,2242,1260,982,225,123,102,1151,703,448,894,441,453,469,189,280,31
御蔵島村,323,181,142,313,172,141,60,36,24,205,114,91,58,31,27,17,9,8,10
八丈町,7042,3534,3508,6955,3524,3431,799,426,373,3415,1825,1590,2801,1262,1539,1392,545,847,82
青ヶ島村,169,102,67,169,102,67,21,12,9,117,69,48,31,21,10,7,4,3,0
小笠原村,2929,1805,1124,2905,1792,1113,416,231,185,2099,1327,772,413,246,167,158,83,75,23
所属未定地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
