都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
徳島県,徳島市,252391,120188,132203,232205,110343,121862,26272,13371,12901,130393,63687,66706,70811,29640,41171,36470,13664,22806,1506
徳島県,鳴門市,54622,25858,28764,53818,25540,28278,5592,2911,2681,29282,14365,14917,19121,8296,10825,9554,3700,5854,309
徳島県,小松島市,36149,17461,18688,35668,17245,18423,3683,1924,1759,19522,9846,9676,12528,5442,7086,6318,2489,3829,196
徳島県,阿南市,69470,33694,35776,68518,33338,35180,8291,4236,4055,37365,19125,18240,23131,10037,13094,11908,4652,7256,292
徳島県,吉野川市,38772,18231,20541,38028,17920,20108,3896,1976,1920,19597,9562,10035,14666,6346,8320,7688,2942,4746,306
徳島県,阿波市,34713,16476,18237,34280,16351,17929,3531,1794,1737,17908,8814,9094,13202,5832,7370,6519,2511,4008,390
徳島県,美馬市,28055,13342,14713,27647,13202,14445,2767,1463,1304,14275,7137,7138,10953,4701,6252,5697,2030,3667,403
徳島県,三好市,23605,11117,12488,23418,11066,12352,1961,1014,947,10739,5497,5242,10868,4580,6288,6150,2163,3987,187
徳島県,勝浦町,4837,2317,2520,4806,2308,2498,433,235,198,2275,1157,1118,2128,924,1204,1194,442,752,31
徳島県,上勝町,1380,651,729,1375,649,726,97,47,50,511,268,243,772,336,436,529,210,319,5
徳島県,佐那河内村,2058,998,1060,2053,996,1057,163,94,69,909,472,437,986,432,554,527,209,318,5
徳島県,石井町,24833,11752,13081,24510,11651,12859,3045,1573,1472,13480,6529,6951,8199,3587,4612,4060,1601,2459,237
徳島県,神山町,4647,2183,2464,4593,2167,2426,277,157,120,1845,948,897,2525,1078,1447,1466,513,953,54
徳島県,那賀町,7367,3521,3846,7350,3513,3837,559,298,261,2981,1589,1392,3808,1621,2187,2251,834,1417,12
徳島県,牟岐町,3743,1735,2008,3722,1726,1996,232,117,115,1495,775,720,2016,843,1173,1203,453,750,21
徳島県,美波町,6222,2923,3299,6168,2907,3261,482,237,245,2668,1378,1290,3071,1308,1763,1852,709,1143,54
徳島県,海陽町,8358,3965,4393,8143,3884,4259,623,329,294,3813,1894,1919,3873,1710,2163,2132,845,1287,213
徳島県,松茂町,14583,7193,7390,14446,7141,7305,1879,950,929,8772,4503,4269,3916,1732,2184,1865,742,1123,114
徳島県,北島町,22745,10976,11769,22366,10776,11590,3410,1768,1642,13241,6522,6719,5799,2527,3272,2773,1090,1683,112
徳島県,藍住町,35246,16868,18378,34653,16557,18096,5186,2666,2520,20635,9925,10710,8993,4031,4962,3961,1576,2385,193
徳島県,板野町,13042,6262,6780,12842,6201,6641,1400,741,659,7226,3597,3629,4375,1898,2477,2089,793,1296,162
徳島県,上板町,11384,5431,5953,11270,5379,5891,1202,622,580,6141,3022,3119,4040,1786,2254,1870,716,1154,112
徳島県,つるぎ町,7715,3608,4107,7685,3599,4086,583,324,259,3531,1769,1762,3596,1512,2084,2062,731,1331,30
徳島県,東みよし町,13622,6515,7107,13520,6473,7047,1565,791,774,7053,3541,3512,4969,2159,2810,2534,904,1630,89
