年度,事故種別,上半期,下半期,緯度,経度
令和1年,,1,0,35.64145063430,139.71871770200
令和1年,,1,0,35.64143866810,139.71867389500
令和1年,,1,0,35.63551946230,139.71570180000
令和1年,,1,0,35.63493147300,139.71497962200
令和1年,,1,0,35.63476162800,139.71506021000
令和1年,,1,0,35.63483924110,139.71516599500
令和1年,,1,0,35.63495058030,139.71622848000
令和1年,,1,0,35.63512371240,139.71646193800
令和1年,,1,0,35.63503744030,139.71664830100
令和1年,,1,0,35.63365329750,139.71572279200
令和1年,,1,0,35.63389367590,139.71460868200
令和1年,,1,0,35.63367161130,139.71616096400
令和1年,,1,0,35.63397276860,139.71622625500
令和1年,,1,0,35.63385748390,139.71723793400
令和1年,,1,0,35.63426999230,139.71839857200
令和1年,,1,0,35.63093743700,139.71566834600
令和1年,,1,0,35.63202467790,139.72050845600
令和1年,,1,0,35.62918810860,139.72683420500
令和1年,,1,0,35.62895053430,139.72652195700
令和1年,,1,0,35.62823186230,139.72560567900
令和1年,,1,0,35.62730881370,139.72462852700
令和1年,,1,0,35.62728494820,139.72461030200
令和1年,,1,0,35.62728167670,139.72428898600
令和1年,,1,0,35.62726946090,139.72396768300
令和1年,,1,0,35.62610061740,139.72458050400
令和1年,,1,0,35.62631147520,139.72567853600
令和1年,,1,0,35.62664189820,139.72715031200
令和1年,,1,0,35.62538470670,139.72948879300
令和1年,,1,0,35.62508034100,139.73054075100
令和1年,,1,0,35.62488063490,139.73127709900
令和1年,,1,0,35.62643810640,139.72329478000
令和1年,,1,0,35.62653401870,139.72386133500
令和1年,,1,0,35.62484480380,139.72309132500
令和1年,,1,0,35.62456638830,139.72324593500
令和1年,,1,0,35.62444993880,139.72317365400
令和1年,,1,0,35.62431050010,139.72299858600
令和1年,,1,0,35.62419795630,139.72302444600
令和1年,,1,0,35.62378376800,139.72284041000
令和1年,,1,0,35.62379314460,139.72266280200
令和1年,,1,0,35.62346277950,139.72234312100
令和1年,,1,0,35.62331590830,139.72238538500
令和1年,,1,0,35.62339322090,139.72347187200
令和1年,,1,0,35.62235032690,139.72129819200
令和1年,,1,0,35.62130955840,139.71826660800
令和1年,,1,0,35.62259496800,139.71771095900
令和1年,,1,0,35.62016850450,139.71814673600
令和1年,,1,0,35.61960021890,139.71684650400
令和1年,,1,0,35.62012596890,139.71598351200
令和1年,,1,0,35.61996207850,139.71618003100
令和1年,,1,0,35.61996210350,139.71620573400
令和1年,,1,0,35.61929877150,139.71685161400
令和1年,,1,0,35.61943846930,139.71728602800
令和1年,,1,0,35.61919503440,139.71612039700
令和1年,,1,0,35.61884565910,139.71588958000
令和1年,,1,0,35.61840989630,139.71511679800
令和1年,,1,0,35.61847214910,139.71832721800
令和1年,,1,0,35.61833661740,139.71825497700
令和1年,,1,0,35.61832330430,139.71829939200
令和1年,,1,0,35.61827902650,139.71788587500
令和1年,,1,0,35.61724087170,139.71763268000
令和1年,,1,0,35.61777303960,139.71948483500
令和1年,,1,0,35.61722929650,139.72153946000
令和1年,,1,0,35.61693840160,139.72473863300
令和1年,,1,0,35.61701293060,139.72487171700
令和1年,,1,0,35.61638906580,139.72704322100
令和1年,,1,0,35.61663633290,139.73056175900
令和1年,,1,0,35.61688034980,139.73033012600
令和1年,,1,0,35.61752462910,139.72963066000
令和1年,,1,0,35.61793700980,139.73219104300
令和1年,,1,0,35.61809406450,139.73420996600
令和1年,,1,0,35.61762949890,139.73480929100
令和1年,,1,0,35.61650150640,139.73344524700
令和1年,,1,0,35.61631360350,139.73699412300
令和1年,,1,0,35.61698213840,139.73794985700
令和1年,,1,0,35.61682888450,139.74020628900
令和1年,,1,0,35.61677589250,139.74107526200
令和1年,,1,0,35.61745423730,139.74086419000
令和1年,,1,0,35.61600682710,139.74116376500
令和1年,,1,0,35.61942266730,139.74045885300
令和1年,,1,0,35.61805992680,139.74392152600
令和1年,,1,0,35.61865533160,139.74442177600
令和1年,,1,0,35.61976036140,139.74553630600
令和1年,,1,0,35.62021130830,139.74581037200
令和1年,,1,0,35.62004959140,139.74644144700
令和1年,,1,0,35.62121783180,139.74593779400
令和1年,,1,0,35.62208087440,139.74553377000
令和1年,,1,0,35.62139658630,139.74912719900
令和1年,,1,0,35.62303842100,139.75059763000
令和1年,,1,0,35.62355329100,139.75020569200
令和1年,,1,0,35.62393000920,139.75006509500
令和1年,,1,0,35.62156659720,139.75363686700
令和1年,,1,0,35.61028269750,139.75592603000
令和1年,,1,0,35.60929049580,139.75580432800
令和1年,,1,0,35.60690499110,139.75488963800
令和1年,,1,0,35.60574594300,139.75491997300
令和1年,,1,0,35.60571252760,139.75487912100
令和1年,,1,0,35.60654780650,139.75574272600
令和1年,,1,0,35.60729849930,139.75863900500
令和1年,,1,0,35.60114434330,139.76541750900
令和1年,,1,0,35.59909584430,139.76255903200
令和1年,,1,0,35.59499815760,139.76392332200
令和1年,,1,0,35.59494187320,139.76559940400
令和1年,,1,0,35.59509028400,139.75846006700
令和1年,,1,0,35.59270143960,139.76181280300
令和1年,,1,0,35.58488258080,139.75806521200
令和1年,,1,0,35.58475972000,139.75612090800
令和1年,,1,0,35.58547491470,139.75568228500
令和1年,,1,0,35.59114341020,139.73914502100
令和1年,,1,0,35.59134020580,139.73919588700
令和1年,,1,0,35.59032987950,139.73580286000
令和1年,,1,0,35.59037189270,139.73614588000
令和1年,,1,0,35.59025855020,139.73607302300
令和1年,,1,0,35.58793811480,139.73471818700
令和1年,,1,0,35.58859331960,139.73392906800
令和1年,,1,0,35.58754052170,139.72985016100
令和1年,,1,0,35.58771935920,139.72981343500
令和1年,,1,0,35.58952006570,139.72992060700
令和1年,,1,0,35.59122656810,139.73142939900
令和1年,,1,0,35.59607846050,139.73695657100
令和1年,,1,0,35.59700894410,139.73741535400
令和1年,,1,0,35.59727081260,139.73682374100
令和1年,,1,0,35.59777562370,139.73437761900
令和1年,,1,0,35.59655124680,139.73918978500
令和1年,,1,0,35.59570074140,139.74192093000
令和1年,,1,0,35.59575820610,139.74708187000
令和1年,,1,0,35.59728194420,139.74351053300
令和1年,,1,0,35.59818163180,139.74268461800
令和1年,,1,0,35.59836054980,139.74275011700
令和1年,,1,0,35.59831884120,139.74278666500
令和1年,,1,0,35.59828310040,139.74283050500
令和1年,,1,0,35.60015055020,139.74451476400
令和1年,,1,0,35.60019900270,139.74554404900
令和1年,,1,0,35.60493459930,139.74768528300
令和1年,,1,0,35.60490892300,139.74515196800
令和1年,,1,0,35.60499834120,139.74512996800
令和1年,,1,0,35.60368333140,139.74072185600
令和1年,,1,0,35.60307479630,139.74022612100
令和1年,,1,0,35.60711933300,139.74299577700
令和1年,,1,0,35.60705708230,139.74755890600
令和1年,,1,0,35.60705085440,139.74718656700
令和1年,,1,0,35.60868831420,139.74420598600
令和1年,,1,0,35.60831935670,139.74516282800
令和1年,,1,0,35.60895970000,139.74847680900
令和1年,,1,0,35.61008162730,139.74993585800
令和1年,,1,0,35.61063199410,139.74417462600
令和1年,,1,0,35.61045268690,139.74358342700
令和1年,,1,0,35.60990332050,139.74246696500
令和1年,,1,0,35.60962898420,139.74237236000
令和1年,,1,0,35.61139346910,139.74191038200
令和1年,,1,0,35.61252610660,139.74165354400
令和1年,,1,0,35.61220900890,139.74022283900
令和1年,,1,0,35.61341351170,139.74038207600
令和1年,,1,0,35.61321017220,139.73957915100
令和1年,,1,0,35.61421834490,139.74028622500
令和1年,,1,0,35.61447537910,139.74114021000
令和1年,,1,0,35.61455302260,139.74131535900
令和1年,,1,0,35.61461857970,139.74127877600
令和1年,,1,0,35.61336414420,139.73824280300
令和1年,,1,0,35.61318517230,139.73811158900
令和1年,,1,0,35.61215245460,139.73655032300
令和1年,,1,0,35.61276608610,139.73595086800
令和1年,,1,0,35.60836116110,139.73744561200
令和1年,,1,0,35.60845667360,139.73759151900
令和1年,,1,0,35.62335672740,139.73801190300
令和1年,,1,0,35.62359514850,139.73792399100
令和1年,,1,0,35.62289566720,139.73555886600
令和1年,,1,0,35.62381151030,139.73270980900
令和1年,,1,0,35.62394321130,139.72721383800
令和1年,,1,0,35.62368400340,139.72657449000
令和1年,,1,0,35.62802037390,139.72198256800
令和1年,,1,0,35.62695311710,139.72196944200
令和1年,,1,0,35.62883563130,139.72029447400
令和1年,,1,0,35.62966473310,139.72066575700
令和1年,,1,0,35.62946779430,139.72046885500
令和1年,,1,0,35.62782737160,139.71961673500
令和1年,,1,0,35.62754110770,139.71953681000
令和1年,,1,0,35.62748716420,139.71923747400
令和1年,,1,0,35.62745132840,139.71917180000
令和1年,,1,0,35.62636011840,139.71904920600
令和1年,,1,0,35.62628837720,139.71884483400
令和1年,,1,0,35.62621684410,139.71885954200
令和1年,,1,0,35.62573987760,139.71887482700
令和1年,,1,0,35.62569826670,139.71900633300
令和1年,,1,0,35.62520273920,139.71831329700
令和1年,,1,0,35.62493440990,139.71828447100
令和1年,,1,0,35.62491643240,139.71818956400
令和1年,,1,0,35.62528008810,139.71814522700
令和1年,,1,0,35.62530983650,139.71807946200
令和1年,,1,0,35.62454830420,139.71980394000
令和1年,,1,0,35.62450068180,139.71988433500
令和1年,,1,0,35.62393519180,139.72087096100
令和1年,,1,0,35.62645140060,139.71479162900
令和1年,,1,0,35.62713708830,139.71481982800
令和1年,,1,0,35.62839573710,139.71666850700
令和1年,,1,0,35.62452072430,139.70994563300
令和1年,,1,0,35.62459862190,139.71032524300
令和1年,,1,0,35.62246982850,139.70436983300
令和1年,,1,0,35.61719405270,139.69966133300
令和1年,,1,0,35.61830266390,139.70480003400
令和1年,,1,0,35.61737462320,139.70675840900
令和1年,,1,0,35.61500347140,139.70851453200
令和1年,,1,0,35.61461568200,139.70828148400
令和1年,,1,0,35.61231820230,139.70636480000
令和1年,,1,0,35.61250950920,139.70685369000
令和1年,,1,0,35.61228278980,139.70670802000
令和1年,,1,0,35.61131614110,139.70598671700
令和1年,,1,0,35.61207734650,139.70982601900
令和1年,,1,0,35.61195384850,139.71150551600
令和1年,,1,0,35.61147251090,139.71310522900
令和1年,,1,0,35.61083634850,139.71492418800
令和1年,,1,0,35.61071711750,139.71493896600
令和1年,,1,0,35.61031062400,139.71386629000
令和1年,,1,0,35.61028671700,139.71380791600
令和1年,,1,0,35.60968138030,139.71067663200
令和1年,,1,0,35.61124332220,139.71650066300
令和1年,,1,0,35.61155245030,139.71556564700
令和1年,,1,0,35.61193991920,139.71548476400
令和1年,,1,0,35.61267502020,139.71572089700
令和1年,,1,0,35.61293840050,139.71580929600
令和1年,,1,0,35.61406255960,139.71620952800
令和1年,,1,0,35.61452814100,139.71625791600
令和1年,,1,0,35.61465042280,139.71643764900
令和1年,,1,0,35.61519997310,139.71650694500
令和1年,,1,0,35.61548733780,139.71575416400
令和1年,,1,0,35.61557629440,139.71502269900
令和1年,,1,0,35.61576846590,139.71448501200
令和1年,,1,0,35.61625862710,139.71239073600
令和1年,,1,0,35.61665601280,139.71103259400
令和1年,,1,0,35.61665582300,139.71084566900
令和1年,,1,0,35.61470230760,139.71010797400
令和1年,,1,0,35.61006505180,139.70685000500
令和1年,,1,0,35.60930728690,139.70519531000
令和1年,,1,0,35.60985358260,139.70533754100
令和1年,,1,0,35.60901751850,139.70407724800
令和1年,,1,0,35.60879437650,139.70505010700
令和1年,,1,0,35.60860080980,139.70468536400
令和1年,,1,0,35.60738585350,139.70595474900
令和1年,,1,0,35.60677814220,139.70865703200
令和1年,,1,0,35.60726458790,139.70858326900
令和1年,,1,0,35.60548263240,139.71049007000
令和1年,,1,0,35.60593332660,139.71043681500
令和1年,,1,0,35.60610979370,139.71278156400
令和1年,,1,0,35.60340845410,139.70655677800
令和1年,,1,0,35.60376583370,139.70621746700
令和1年,,1,0,35.60344351270,139.70815408600
令和1年,,1,0,35.60296960580,139.71115095700
令和1年,,1,0,35.60232240080,139.71027296600
令和1年,,1,0,35.60181460620,139.71282304800
令和1年,,1,0,35.60263994290,139.71297950100
令和1年,,1,0,35.60271644940,139.71316919900
令和1年,,1,0,35.60307425870,139.71324167000
令和1年,,1,0,35.60334363710,139.71312445800
令和1年,,1,0,35.60432752470,139.70291084800
令和1年,,1,0,35.60457791890,139.69855632500
令和1年,,1,0,35.60470225710,139.69884522300
令和1年,,1,0,35.60507223040,139.69912495100
令和1年,,1,0,35.60491742590,139.69931794800
令和1年,,1,0,35.60507485910,139.69934396800
令和1年,,1,0,35.60643200760,139.70162832700
令和1年,,1,0,35.60860133860,139.69650528900
令和1年,,1,0,35.61016839830,139.70093005200
令和1年,,1,0,35.61372339700,139.70054393200
令和1年,,1,0,35.61351226890,139.70377153300
令和1年,,1,0,35.61416931380,139.70488760900
令和1年,,1,0,35.61481992240,139.70556561700
令和1年,,1,0,35.61486762820,139.70557284300
令和1年,,1,0,35.61369529660,139.70769944200
令和1年,,1,0,35.61138385560,139.74776314000
令和1年,,1,0,35.61148510010,139.74760240400
令和1年,,1,0,35.61293391680,139.74757895400
令和1年,,1,0,35.61347654060,139.74765869100
令和1年,,1,0,35.61370308100,139.74762194200
令和1年,,1,0,35.61456786420,139.74797879700
令和1年,,1,0,35.61508042780,139.74770809200
令和1年,,1,0,35.61529506950,139.74770786300
令和1年,,1,0,35.61377047690,139.75020660200
令和1年,,1,0,35.61449202240,139.75036649000
令和1年,,1,0,35.61458476140,139.74495203100
令和1年,,1,0,35.61957311010,139.75042306700
令和1年,,1,0,35.60058662870,139.73906829100
令和1年,,1,0,35.60042206970,139.73906848400
令和1年,,1,0,35.60356524490,139.73298487800
令和1年,,1,0,35.60372884260,139.73183702100
令和1年,,1,0,35.60621377030,139.73452350400
令和1年,,1,0,35.60753641260,139.73333036500
令和1年,,1,0,35.60761508560,139.73329522200
令和1年,,1,0,35.60787681260,139.72974662700
令和1年,,1,0,35.60689006050,139.73920107500
令和1年,,1,0,35.60966321380,139.72986552300
令和1年,,1,0,35.61051310110,139.72810337700
令和1年,,1,0,35.61191785790,139.73092277300
令和1年,,1,0,35.61187488490,139.73087025800
令和1年,,1,0,35.61381767350,139.72842323600
令和1年,,1,0,35.61892492590,139.72568563000
令和1年,,1,0,35.62078548360,139.72605554500
令和1年,,1,0,35.62150186280,139.72154435700
令和1年,,1,0,35.62407251200,139.71684385100
令和1年,,1,0,35.62587289370,139.71661485900
令和1年,,1,0,35.61669376570,139.71335700500
令和1年,,1,0,35.61742698560,139.71321717500
令和1年,,1,0,35.60604425870,139.71366931800
令和1年,,1,0,35.60608618300,139.71385907600
令和1年,,1,0,35.60613385220,139.71382980200
令和1年,,1,0,35.60556123480,139.71358972800
令和1年,,1,0,35.60500065780,139.71346645200
令和1年,,1,0,35.60456552430,139.71358026100
令和1年,,1,0,35.60398092720,139.71328545700
令和1年,,1,0,35.60373569600,139.71860795300
令和1年,,1,0,35.60583402680,139.71819611400
令和1年,,1,0,35.60275996140,139.72081409700
令和1年,,1,0,35.60344725990,139.72257987200
令和1年,,1,0,35.60503438300,139.72253972100
令和1年,,1,0,35.60055399470,139.72089894900
令和1年,,1,0,35.60033259760,139.72132851500
令和1年,,1,0,35.59610786150,139.72194525600
令和1年,,1,0,35.59704834560,139.72027225700
令和1年,,1,0,35.59790700330,139.72036595000
令和1年,,1,0,35.59858705180,139.72073730100
令和1年,,1,0,35.59727557100,139.72756464100
令和1年,,1,0,35.59962529810,139.72823317000
令和1年,,1,0,35.60006197530,139.72315892000
令和1年,,1,0,35.59990114710,139.72332704600
令和1年,,1,0,35.59941308280,139.72425483900
