年度,名称,所属団体名,発生時期,地点住所,交通状況,概要,情報,緯度,経度
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.61295212370,139.70192709300
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.61232514560,139.71653124900
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.61195344190,139.71783014500
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.63460853810,139.71936179800
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.61145484140,139.72031993900
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.59815921100,139.72638757800
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.59560733720,139.73285213800
令和1年,ヒヤリハット地点,,,,,,登下校時間帯に自転車が多く通るため、危険が生じている。,35.59771537190,139.73705159100
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.62075002650,139.74252478900
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.61926140270,139.74406411300
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点。車両、歩行者ともに道路状況に注意しながわ通行しましょう。（道路横断が多い）,35.61324696900,139.74480335200
令和1年,ヒヤリハット地点,,,,,,見通しが悪く、自転車と接触しやすい。,35.60033361850,139.74556875800
令和1年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.62137791700,139.74596700500
令和2年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.62273308,139.7264058
令和2年,ヒヤリハット地点,,,,,,交通上危険と思われる地点です。車両、歩行者ともに道路状況に注意しながら通行しましょう。,35.63099955,139.7164392
令和3年,ヒヤリハット地点,荏原三丁目町会,令和3年・平日,荏原３丁目５番１号付近,,信号もなく、ヤマト運輸・佐川急便の営業所もあるためトラックの交通量も多い。荏原２丁目から入る鋭角な道路からの見通しも悪く、通学路のため子供たちも多いので危険。,,35.61761187,139.7085664
