市区町村,店舗名,住所
千代田区,皇居外苑 和田倉噴水公園店,東京都 千代田区 皇居外苑3-1
千代田区,竹橋パレスサイド店,東京都 千代田区 一ツ橋1-1-1 竹橋パレスサイドビルディング 1F
千代田区,ＫＤＤＩ大手町ビル店,東京都 千代田区 大手町1-8-1 ＫＤＤＩ大手町ビル 1F
千代田区,大手町東京サンケイビル店,東京都 千代田区 大手町1-7-2 東京サンケイビル　B1階
千代田区,大手町ビル店,東京都 千代田区 大手町1-6-1 大手町ビル
千代田区,大手町プレイス店,東京都 千代田区 大手町2-3-1 大手町プレイス
千代田区,丸の内三菱ビル店,東京都 千代田区 丸の内2-5-2 三菱ビル
千代田区,丸の内新東京ビル店,東京都 千代田区 丸の内3-3-1 丸の内新東京ビル
千代田区,ＪＲ東京駅日本橋口店,東京都 千代田区 丸の内1-9-1 丸の内中央ビル
千代田区,東京ステーションシティ サピアタワー店,東京都 千代田区 丸の内1-7-12
千代田区,グランスタ丸の内店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内地下1階改札外
千代田区,グランスタ八重洲店,東京都 千代田区 丸の内1-9-1 東京駅八重洲中央口B1F　グランスタ八重洲
千代田区,丸の内オアゾ店,東京都 千代田区 丸の内1-6-4 丸の内OAZO
千代田区,グランスタ東京店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内１F グランスタ東京 京葉ストリートエリア
千代田区,東京駅八重洲北口 東京ギフトパレット店,東京都 千代田区 丸の内1-9-1 東京駅
千代田区,東京ミッドタウン日比谷店,東京都 千代田区 有楽町1-1-4 東京ミッドタウン日比谷
千代田区,有楽町メトロピア店,東京都 千代田区 有楽町1-11-1 東京メトロ有楽町駅構内
千代田区,JR有楽町駅京橋口店,東京都 千代田区 有楽町2-9
千代田区,日比谷シティ店,東京都 千代田区 内幸町2-2-3 日比谷国際ビルヂング B1F(B132)
千代田区,山王パークタワー店,東京都 千代田区 永田町2-11-1 山王パークタワー
千代田区,赤坂プルデンシャルタワー店,東京都 千代田区 永田町2-13-10 プルデンシャルタワー
千代田区,霞ダイニング店,東京都 千代田区 霞が関3-2-5 霞が関ビルディング
千代田区,丸の内ビル店,東京都 千代田区 丸の内2-4-1 丸の内ビルディング
千代田区,TSUTAYA BOOKSTORE MARUNOUCHI店 ,東京都 千代田区 丸の内2-4-1 丸の内ビルディング
千代田区,新丸ビル店,東京都 千代田区 丸の内1-5-1 新丸の内ビル
千代田区,大手町カンファレンスセンター店,東京都 千代田区 大手町1-3-1 JAビル
千代田区,丸の内パークビル店,東京都 千代田区 丸の内2-6-1 丸の内パークビルディング
千代田区,ＫＩＴＴＥ丸の内店,東京都 千代田区 丸の内2-7-2
千代田区,アトレ秋葉原1店,東京都 千代田区 外神田1-17-6 アトレ秋葉原１
千代田区,JR東日本ホテルメッツ プレミア 秋葉原店,東京都 千代田区 外神田1-17-4 JR東日本ホテルメッツ プレミア 秋葉原
千代田区,秋葉原駅前店,東京都 千代田区 神田佐久間町1-6-5 AKIBA・TOLIM
千代田区,神田駅南口店,東京都 千代田区 鍛冶町2-13-1 JR神田駅南改札口外
千代田区,神田駅前店,東京都 千代田区 神田鍛冶町3-2 神田サンミビル
千代田区,都営神保町駅店,東京都 千代田区 神田神保町2-7 都営三田線・新宿線「神保町駅」構内
千代田区,神田小川町２丁目店,東京都 千代田区 神田小川町2-5-5 紀陽東京ビル 1F
千代田区,お茶の水村田ビル店,東京都 千代田区 神田駿河台2-5 村田ビルディング 1F
千代田区,お茶の水サンクレール店,東京都 千代田区 神田駿河台4-3
千代田区,御茶ノ水ソラシティ店,東京都 千代田区 神田駿河台4-6 御茶ノ水ソラシティ
千代田区,淡路町駅前店,東京都 千代田区 神田淡路町1-2
千代田区,飯田橋サクラテラス店,東京都 千代田区 富士見2-10-2
千代田区,飯田橋サクラテラス 2階店,東京都 千代田区 富士見2-10-2 飯田橋グラン・ブルーム　サクラテラス
千代田区,飯田橋アイガーデンテラス店,東京都 千代田区 飯田橋3-10-9 アイガーデンテラス
千代田区,九段下店,東京都 千代田区 九段北1-2-1 九段北1丁目ビル 1F
千代田区,北の丸スクエア店,東京都 千代田区 九段北1-13-12 北の丸スクエア
